strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,family,variant_id,params,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,pct_cash_sessions
Guarded vol-scale 0.5x in top Q4,0.17192331799195393,0.13389828020197378,3.1435662067379035,-0.21437138917767715,5892.777169755915,730,32.093812683227895,vol_scaled,vol_q4_scale0.5,"{""scale"": 0.5}",0.801988169463505,,,,,,,,,,,32.093812683227895
Guarded vol-scale 0.75x in top Q4,0.1787985198542552,0.13508318521661325,3.165583994289241,-0.2153711639104444,6851.008825317502,730,32.093812683227895,vol_scaled,vol_q4_scale0.75,"{""scale"": 0.75}",0.8301878329849357,,,,,,,,,,,32.093812683227895
Guarded sell buffer X=-0.020,0.18371703492001856,0.14657415918264466,2.082630189090787,-0.1967005201086157,7626.62832074879,377,24.07035951242092,sell_buffer,buf_m2p0%,"{""sell_buffer_x"": -0.02}",0.933993640782303,,,,,,,,,,,24.07035951242092
Guarded sell buffer X=-0.019,0.1883578346247008,0.1450478367668068,2.19879879477972,-0.1926354456315868,8435.359042620876,401,24.857275111865455,sell_buffer,buf_m1p9%,"{""sell_buffer_x"": -0.019}",0.9777942683764083,,,,,,,,,,,24.85727511186545
Guarded sell buffer X=-0.018,0.18149591168487933,0.14438367282954775,2.2635326310200274,-0.20576070435328078,7266.456610993753,437,26.091652522758835,sell_buffer,buf_m1p8%,"{""sell_buffer_x"": -0.018}",0.8820727565806733,,,,,,,,,,,26.091652522758835
Guarded sell buffer X=-0.017,0.18166465021525813,0.14395524146825997,2.312444203717948,-0.19291270547740394,7293.23471321036,453,26.539114334207685,sell_buffer,buf_m1p7%,"{""sell_buffer_x"": -0.017}",0.9416935487255229,,,,,,,,,,,26.539114334207685
Guarded sell buffer X=-0.016,0.18064837723824678,0.14354067473844281,2.3506479876818407,-0.19194483646961877,7133.379542636934,467,26.94028699274803,sell_buffer,buf_m1p6%,"{""sell_buffer_x"": -0.016}",0.941147365883114,,,,,,,,,,,26.94028699274803
Guarded sell buffer X=-0.015,0.18409359891651378,0.14298285700543112,2.413810058387825,-0.1961554921967926,7689.367919599961,479,27.32602993365221,sell_buffer,buf_m1p5%,"{""sell_buffer_x"": -0.015}",0.9385085110531712,,,,,,,,,,,27.326029933652215
Guarded sell buffer X=-0.014,0.18563082936167974,0.1422493813861586,2.4983979004486856,-0.19615549219679232,7950.6717114744115,501,27.958648356735072,sell_buffer,buf_m1p4%,"{""sell_buffer_x"": -0.014}",0.9463453063829905,,,,,,,,,,,27.958648356735072
Guarded sell buffer X=-0.013,0.18502993942117896,0.14135393768470098,2.587709088794563,-0.1961554921967932,7847.530055524017,529,28.575837062181762,sell_buffer,buf_m1p3%,"{""sell_buffer_x"": -0.013}",0.9432819716082559,,,,,,,,,,,28.575837062181762
Guarded sell buffer X=-0.012,0.18505875634432822,0.14065408419399003,2.680329996114101,-0.2071840254879728,7852.446929704483,557,29.100447461811445,sell_buffer,buf_m1p2%,"{""sell_buffer_x"": -0.012}",0.8932095797852476,,,,,,,,,,,29.10044746181145
Guarded sell buffer X=-0.011,0.1867197531039555,0.13989795762623572,2.7673926788206358,-0.20718402548797285,8140.912785003336,579,29.686776731985802,sell_buffer,buf_m1p1%,"{""sell_buffer_x"": -0.011}",0.9012265915008717,,,,,,,,,,,29.686776731985805
Guarded sell buffer X=-0.010,0.19114279431368186,0.1388498677525796,2.880321414958028,-0.2020644359424547,8959.601613211747,601,30.242246566887825,sell_buffer,buf_m1p0%,"{""sell_buffer_x"": -0.01}",0.9459497086766758,,,,,,,,,,,30.242246566887825
Guarded sell buffer X=-0.009,0.19139790358903652,0.13787482677542062,3.0030084520930433,-0.20133467119402024,9009.159186658397,637,30.766856966517516,sell_buffer,buf_m0p9%,"{""sell_buffer_x"": -0.009}",0.9506455219756564,,,,,,,,,,,30.766856966517512
Guarded sell buffer X=-0.008,0.18799184319428974,0.13740233973374258,3.0748829892955003,-0.20193567750735109,8368.696864965455,667,31.30689708378337,sell_buffer,buf_m0p8%,"{""sell_buffer_x"": -0.008}",0.9309491295189591,,,,,,,,,,,31.306897083783365
Guarded sell buffer X=-0.007,0.185840603030758,0.13705850233246816,3.131175423884819,-0.21631712965863636,7986.984857408541,689,31.67721030705138,sell_buffer,buf_m0p7%,"{""sell_buffer_x"": -0.007}",0.8591118203353916,,,,,,,,,,,31.677210307051382
Guarded sell buffer X=-0.006,0.18498657421729403,0.13700332330204257,3.1379144863525053,-0.21621435731562766,7840.136464544607,693,31.754358895232215,sell_buffer,buf_m0p6%,"{""sell_buffer_x"": -0.006}",0.8555702614477743,,,,,,,,,,,31.75435889523222
Guarded sell buffer X=-0.005,0.1849682143183815,0.13689399156072202,3.15091188891347,-0.216203733079934,7837.008194264293,697,31.84693720104922,sell_buffer,buf_m0p5%,"{""sell_buffer_x"": -0.005}",0.8555273846728436,,,,,,,,,,,31.846937201049222
Guarded sell buffer X=-0.004,0.18527414419013066,0.13688426966587586,3.153222641620775,-0.21621021788466985,7889.291273479638,697,31.893226353957722,sell_buffer,buf_m0p4%,"{""sell_buffer_x"": -0.004}",0.856916689705012,,,,,,,,,,,31.893226353957722
Guarded sell buffer X=-0.003,0.18536161104747406,0.1368811022802735,3.154232866285616,-0.2162223043596887,7904.30078512517,697,31.924085789230055,sell_buffer,buf_m0p3%,"{""sell_buffer_x"": -0.003}",0.8572733122810612,,,,,,,,,,,31.924085789230055
Guarded sell buffer X=-0.002,0.18617827877999882,0.1367959904273482,3.1677883128019118,-0.21627060651693583,8045.773728987129,699,32.001234377410896,sell_buffer,buf_m0p2%,"{""sell_buffer_x"": -0.002}",0.8608579861055666,,,,,,,,,,,32.001234377410896
Guarded sell buffer X=-0.001,0.18634702016353621,0.1367917350591951,3.1690643745326126,-0.21629364958665803,8075.3069969048265,699,32.01666409504706,sell_buffer,buf_m0p1%,"{""sell_buffer_x"": -0.001}",0.8615464232059032,,,,,,,,,,,32.01666409504706
Guarded sell buffer X=0.000,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,sell_buffer,buf_0p0%,"{""sell_buffer_x"": 0.0}",0.8587614738958949,,,,,,,,,,,32.093812683227895
Guarded Donchian55+SMA20 exit,0.18270107783094658,0.13564420661620916,3.105384821734817,-0.216023548226979,7459.803819062027,675,33.42076839993828,donchian,breakout_sma_exit,,0.8457461204135948,,,,,,,,,,,33.42076839993828
Guarded Donchian+ATR trail k=2.0,0.18739388615074803,0.13463468710764265,3.189227981163665,-0.2163941746681892,8260.87226713692,685,34.03795710538497,donchian,breakout_trail2.0,"{""trail_k"": 2.0}",0.8659839685522537,,,,,,,,,,,34.03795710538497
Guarded Donchian+ATR trail k=2.5,0.18927899098858902,0.13493920268013485,3.1656101452101497,-0.21655526705694694,8605.406297005868,675,33.72936275266162,donchian,breakout_trail2.5,"{""trail_k"": 2.5}",0.8740447349120114,,,,,,,,,,,33.72936275266163
Guarded profit skim 10% -> cash,0.16397814931679555,0.1337345280451687,3.1193645395516922,-0.21403211782834033,4945.637660847201,711,33.72936275266162,profit_skim,skim_10_cash,"{""after_lev"": 0.0, ""profit_thresh"": 0.1}",0.7661380496562229,,,,,,,,,,,33.72936275266163
Guarded profit skim 10% -> half,0.16826239300490697,0.13638275552606544,2.9808331343188184,-0.21417023714474545,5436.513686556293,711,28.390680450547755,profit_skim,skim_10_half,"{""after_lev"": 0.5, ""profit_thresh"": 0.1}",0.7856478810881085,,,,,,,,,,,28.390680450547755
Guarded profit skim 20% -> cash,0.17571029975218755,0.13589778465883742,3.146173733181307,-0.21549185883350508,6403.388244662226,709,32.340688165406576,profit_skim,skim_20_cash,"{""after_lev"": 0.0, ""profit_thresh"": 0.2}",0.8153918236324006,,,,,,,,,,,32.340688165406576
Guarded profit skim 20% -> half,0.177851558388318,0.1367513296362223,3.1141926761008225,-0.21543171021554203,6710.64939400196,709,31.337756519055702,profit_skim,skim_20_half,"{""after_lev"": 0.5, ""profit_thresh"": 0.2}",0.8255588660108365,,,,,,,,,,,31.337756519055702
Guarded profit skim 30% -> cash,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,profit_skim,skim_30_cash,"{""after_lev"": 0.0, ""profit_thresh"": 0.3}",0.8587614738958949,,,,,,,,,,,32.093812683227895
Guarded profit skim 30% -> half,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,profit_skim,skim_30_half,"{""after_lev"": 0.5, ""profit_thresh"": 0.3}",0.8587614738958949,,,,,,,,,,,32.093812683227895
Guarded + buffer -0.9%,0.19139790358903652,0.13787482677542062,3.0030084520930433,-0.20133467119402024,9009.159186658397,637,30.766856966517516,combined,combo_buf09,"{""sell_buffer_x"": -0.009}",0.9506455219756564,,,,,,,,,,,30.766856966517512
Guarded buffer -0.9% SMA50,0.13698372779605306,0.1417675019441067,2.0677433429325336,-0.26520985947101383,2702.317858763864,463,33.359049529393616,combined,combo_buf09_sma50,"{""sell_buffer_x"": -0.009, ""sma_window"": 50}",0.5165106910779262,,,,,,,,,,,33.35904952939361
Guarded ATR2 + buffer -0.9%,0.186080766775363,0.13605316377939458,3.225946537593861,-0.21635550214173538,8028.754451083308,715,31.893226353957722,combined,combo_atr2_buf09,"{""atr_k"": 2.0, ""sell_buffer_x"": -0.009}",0.8600694918008636,,,,,,,,,,,31.893226353957722
Guarded ATR2.5 + buffer -0.9%,0.18881165968573943,0.136405160278647,3.179795204011726,-0.2164976048402409,8518.728376858704,695,31.708069742323712,combined,combo_atr25_buf09,"{""atr_k"": 2.5, ""sell_buffer_x"": -0.009}",0.8721189309464572,,,,,,,,,,,31.708069742323715
Guarded weekly gate + buffer -0.9%,0.19055814638825153,0.13727350261369184,3.035836400296543,-0.22770294329102078,8847.014190245414,645,31.754358895232215,combined,combo_weekly_buf09,"{""sell_buffer_x"": -0.009, ""weekly_gate"": true}",0.8368716874454472,,,,,,,,,,,31.75435889523222
Guarded vol0.75 Q4 + buffer -0.9%,0.1845245968131286,0.1360496010424432,3.0063161475273095,-0.20265769137052983,7761.785649602314,679,30.766856966517516,combined,combo_vol75_buf09,"{""sell_buffer_x"": -0.009, ""vol_scale"": 0.75}",0.9105235314052427,,,,,,,,,,,30.766856966517512
Guarded chandelier roll20 k=1.5,0.15985084227791768,0.1622627376179018,1.6520432569065033,-0.4114392984391601,4513.217528575508,330,13.855886437278198,chandelier_hwm,roll_chand_k1.5,"{""atr_k"": 1.5}",0.3885162231326208,,,,,,,,,,,13.855886437278198
Guarded chandelier roll20 k=2.0,0.17982296362146322,0.1567829291952237,1.9434560013434878,-0.3142738253162564,7006.029378275031,380,18.315074834130534,chandelier_hwm,roll_chand_k2.0,"{""atr_k"": 2.0}",0.5721856201053519,,,,,,,,,,,18.315074834130534
Guarded chandelier roll20 k=2.5,0.1803381423168815,0.14971314209676415,2.30437354113892,-0.27426557637062726,7085.255675885815,482,22.21879339608085,chandelier_hwm,roll_chand_k2.5,"{""atr_k"": 2.5}",0.6575310861220971,,,,,,,,,,,22.21879339608085
Guarded chandelier roll20 k=3.0,0.18358480251161424,0.14165312150232418,2.7736311520847963,-0.219228887921456,7604.713938391459,600,27.66548372164789,chandelier_hwm,roll_chand_k3.0,"{""atr_k"": 3.0}",0.8374115485062712,,,,,,,,,,,27.665483721647895
Guarded entry-HWM chandelier k=1.5,0.18716384774093564,0.13600575165673948,3.2669852557150003,-0.21652886268661034,8219.74807661849,725,31.893226353957722,chandelier_entry,entry_chand_k1.5,"{""atr_k"": 1.5}",0.8643829068267186,,,,,,,,,,,31.893226353957722
Guarded entry-HWM chandelier k=2.0,0.18707809559091837,0.1387853249714232,2.9671206866301927,-0.22811623437785253,8204.468487824515,641,29.08501774417528,chandelier_entry,entry_chand_k2.0,"{""atr_k"": 2.0}",0.820099876280798,,,,,,,,,,,29.085017744175282
Guarded entry-HWM chandelier k=2.5,0.18795180258818367,0.13962372270709217,2.8644748299183935,-0.21652251437810485,8361.434619594842,609,28.869001697268942,chandelier_entry,entry_chand_k2.5,"{""atr_k"": 2.5}",0.8680473858712482,,,,,,,,,,,28.86900169726894
Guarded entry-HWM chandelier k=3.0,0.1836983942144621,0.14157059437528083,2.7027395357075665,-0.2421780949806742,7623.53539526433,575,27.86607005091807,chandelier_entry,entry_chand_k3.0,"{""atr_k"": 3.0}",0.758526051784829,,,,,,,,,,,27.86607005091807
Guarded SMA20 in / SMA50 out,0.15956225767891885,0.14619773932588082,2.4080230096620445,-0.2614474210999776,4484.382040593023,557,26.739700663477862,asymmetric_ma,sma20_buy_sma50_exit,,0.6103034292998522,,,,,,,,,,,26.73970066347786
