strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,family,variant_id,params,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,pct_cash_sessions,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,beats_guarded_all_three
Guarded sell buffer X=-0.012,0.18505875634432822,0.14065408419399003,2.680329996114101,-0.2071840254879728,7852.446929704483,557,29.100447461811445,sell_buffer,buf_m1p2%,"{""sell_buffer_x"": -0.012}",0.8932095797852476,,,,,,,,,,,29.10044746181145,-0.06447913774880742,-0.4955061755657648,0.9061757964963751,False
Guarded sell buffer X=-0.013,0.18502993942117896,0.14135393768470098,2.587709088794563,-0.1961554921967932,7847.530055524017,529,28.575837062181762,sell_buffer,buf_m1p3%,"{""sell_buffer_x"": -0.013}",0.9432819716082559,,,,,,,,,,,28.575837062181762,-0.06736083006373406,-0.5881270828853027,2.009029125614334,False
Guarded sell buffer X=-0.014,0.18563082936167974,0.1422493813861586,2.4983979004486856,-0.19615549219679232,7950.6717114744115,501,27.958648356735072,sell_buffer,buf_m1p4%,"{""sell_buffer_x"": -0.014}",0.9463453063829905,,,,,,,,,,,27.958648356735072,-0.007271836013655886,-0.6774382712311802,2.009029125614423,False
Guarded sell buffer X=-0.015,0.18409359891651378,0.14298285700543112,2.413810058387825,-0.1961554921967926,7689.367919599961,479,27.32602993365221,sell_buffer,buf_m1p5%,"{""sell_buffer_x"": -0.015}",0.9385085110531712,,,,,,,,,,,27.326029933652215,-0.1609948805302519,-0.7620261132920407,2.009029125614395,False
Guarded SMA20 in / SMA50 out,0.15956225767891885,0.14619773932588082,2.4080230096620445,-0.2614474210999776,4484.382040593023,557,26.739700663477862,asymmetric_ma,sma20_buy_sma50_exit,,0.6103034292998522,,,,,,,,,,,26.73970066347786,-2.6141290042897447,-0.7678131620178212,-4.520163764704105,False
SMA50 1x/cash,0.15549222914884497,0.13392264494660855,2.358770798390752,-0.19724600049727684,4096.090219739241,477,42.123129146736616,longer_sma,sma50_simple,"{""sma_window"": 50}",0.7883162586659986,,,,,,,,,,,42.123129146736616,-3.0211318572971324,-0.8170653732891138,1.8999782955659712,False
Guarded sell buffer X=-0.016,0.18064837723824678,0.14354067473844281,2.3506479876818407,-0.19194483646961877,7133.379542636934,467,26.94028699274803,sell_buffer,buf_m1p6%,"{""sell_buffer_x"": -0.016}",0.941147365883114,,,,,,,,,,,26.94028699274803,-0.5055170483569515,-0.8251881839980251,2.4300946983317777,False
Guarded sell buffer X=-0.017,0.18166465021525813,0.14395524146825997,2.312444203717948,-0.19291270547740394,7293.23471321036,453,26.539114334207685,sell_buffer,buf_m1p7%,"{""sell_buffer_x"": -0.017}",0.9416935487255229,,,,,,,,,,,26.539114334207685,-0.403889750655817,-0.8633919679619178,2.333307797553261,False
Guarded chandelier roll20 k=2.5,0.1803381423168815,0.14971314209676415,2.30437354113892,-0.27426557637062726,7085.255675885815,482,22.21879339608085,chandelier_hwm,roll_chand_k2.5,"{""atr_k"": 2.5}",0.6575310861220971,,,,,,,,,,,22.21879339608085,-0.5365405404934798,-0.8714626305409459,-5.801979291769071,False
Guarded sell buffer X=-0.018,0.18149591168487933,0.14438367282954775,2.2635326310200274,-0.20576070435328078,7266.456610993753,437,26.091652522758835,sell_buffer,buf_m1p8%,"{""sell_buffer_x"": -0.018}",0.8820727565806733,,,,,,,,,,,26.091652522758835,-0.4207636036936968,-0.9123035406598383,1.0485079099655765,False
Guarded sell buffer X=-0.019,0.1883578346247008,0.1450478367668068,2.19879879477972,-0.1926354456315868,8435.359042620876,401,24.857275111865455,sell_buffer,buf_m1p9%,"{""sell_buffer_x"": -0.019}",0.9777942683764083,,,,,,,,,,,24.85727511186545,0.2654286902884495,-0.9770373769001459,2.3610337821349745,False
Guarded SMA50 base,0.1305837084778989,0.14109923297511232,2.1642522911482103,-0.2835236157091782,2336.6343416901013,511,34.0225273877488,longer_sma,sma50_guarded,"{""sma_window"": 50}",0.46057436221413023,,,,,,,,,,,34.0225273877488,-5.511983924391739,-1.0115838805316555,-6.727783225624168,False
Guarded sell buffer X=-0.020,0.18371703492001856,0.14657415918264466,2.082630189090787,-0.1967005201086157,7626.62832074879,377,24.07035951242092,sell_buffer,buf_m2p0%,"{""sell_buffer_x"": -0.02}",0.933993640782303,,,,,,,,,,,24.07035951242092,-0.19865128017977352,-1.0932059825890788,1.9545263344320856,False
Guarded buffer -0.9% SMA50,0.13698372779605306,0.1417675019441067,2.0677433429325336,-0.26520985947101383,2702.317858763864,463,33.359049529393616,combined,combo_buf09_sma50,"{""sell_buffer_x"": -0.009, ""sma_window"": 50}",0.5165106910779262,,,,,,,,,,,33.35904952939361,-4.871981992576324,-1.1080928287473322,-4.896407601807729,False
