strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,avg_leverage
SMA200 ATR×2.0 Band + RSI>30 Exit 3x,0.19435725253731628,0.3472105591084331,0.6432238326292226,0.71176821636985,-0.5372823903074471,20571.98729982672,62,29.248907140018545,3.0
SMA200 ATR×2.0 Band + RSI>30 Exit 2x,0.16118609580108623,0.23162245102810616,0.6860480488338284,0.7587607674627881,-0.3636384238284952,8837.995124593936,62,29.248907140018545,2.0
SMA200 VIX-Scaled ±3% Band + RSI>30 Exit 3x,0.19706252498048404,0.3732013522450511,0.625380337229249,0.6890301995137311,-0.5560329659553299,22016.57363097214,30,26.798251424029672,3.0
SMA200 VIX-Scaled ±3% Band + RSI>30 Exit 2x,0.16541103006228552,0.24865797137888604,0.6662762542127191,0.7326812684608446,-0.404460660061532,9855.217157090672,30,26.798251424029672,2.0
SMA200 Entry±5% Exit±2% + RSI>30 Exit 3x,0.16698789865570363,0.3351371702289957,0.5732098396339075,0.6090875107306362,-0.5569793788880413,10263.149102304553,42,33.87203603126242,3.0
SMA200 Entry±5% Exit±2% + RSI>30 Exit 2x,0.1424677665970091,0.2235384051707639,0.6170861357324922,0.6552318254724955,-0.38262715463090696,5428.084628133191,42,33.87203603126242,2.0
SMA200 Entry±4% Exit±2% + RSI>30 Exit 3x,0.18513825987647348,0.33762583886921144,0.622973557851164,0.6710687477276286,-0.5342726923096979,16305.461538920752,42,32.36190223870712,3.0
SMA200 Entry±4% Exit±2% + RSI>30 Exit 2x,0.15453653313616256,0.22516794242279634,0.6671780235616805,0.7180046437232961,-0.3615863443158844,7439.42878740832,42,32.36190223870712,2.0
SMA200 Entry±3% Exit±1.5% + RSI>30 Exit 3x,0.18830201340450814,0.34293290685110195,0.6311791423640384,0.6837941099914597,-0.5613038766535172,17662.930890902335,50,31.540601404159492,3.0
SMA200 Entry±3% Exit±1.5% + RSI>30 Exit 2x,0.1568721038641907,0.22872440824079052,0.6741953008788429,0.7300097054280257,-0.38553774454796175,7904.3480610627985,50,31.540601404159492,2.0
B1 + Slope Leverage Scale (max 3x),0.17506614913183927,0.324719988797054,0.623593477568879,0.6686638940958703,-0.47809857502063485,12622.553543374039,168,28.67929527089681,2.7161961367013374
