strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,leverage
SMA200 ±5% Band 2x,0.1616794170251703,0.24294645357788644,0.6660873834001886,0.7216450928530588,-0.433061379095781,8951.318855838606,22,28.41435951781693,2.0
SMA200 ±5% Band 3x,0.19220628474846646,0.3646583798152153,0.6232380644913318,0.6764036936830435,-0.5886525009975855,19489.20558848339,22,28.41435951781693,3.0
SMA50 ±2% Band 1x,0.08369790614709438,0.11397876839931516,0.4854174438274268,0.5065076324155658,-0.2793543213664385,1113.4459898834255,146,34.1237249966883,1.0
SMA50 ±2% Band 2x,0.08995275507103329,0.2228119367553737,0.3415363720145214,0.35861144017187807,-0.6594026413280423,1323.250503256435,146,34.1237249966883,2.0
SMA50 ±2% Band 3x,0.09114530970464507,0.3348668413852106,0.29156574200354946,0.30606952432136625,-0.8354524327543998,1367.3749469025324,146,34.1237249966883,3.0
SMA50 ±3% Band 1x,0.08467405321993215,0.11631853718075197,0.5012334064982361,0.524497180130451,-0.28089258970909764,1143.926350854225,108,33.4746324016426,1.0
SMA50 ±3% Band 2x,0.08920951839291003,0.22722850797392613,0.3532129239852644,0.37160358076865435,-0.6369585740214609,1296.4504324367347,108,33.4746324016426,2.0
SMA50 ±3% Band 3x,0.08791339088830541,0.3413676119643774,0.3063661432248994,0.322166521742898,-0.8240170543118497,1250.9641855883945,108,33.4746324016426,3.0
SMA100 ±3% Band 1x,0.09050723609763023,0.11803132538391191,0.49100440605109286,0.5237712109242719,-0.36108989024474414,1343.592302814532,78,31.0902106239237,1.0
SMA100 ±3% Band 2x,0.10289411046970187,0.23112756126770934,0.3459273000418063,0.3710101395967758,-0.7114436219238586,1885.407968856725,78,31.0902106239237,2.0
SMA100 ±3% Band 3x,0.1121198912845549,0.34697834765105723,0.30203715540579457,0.32375578767480545,-0.8701200912858912,2420.606588969401,78,31.0902106239237,3.0
SMA50/200 Cross ±2% Band 1x,0.11620042669760555,0.13982039027606438,0.6913149103752735,0.7375655692964962,-0.3371725988642293,2701.68646970661,22,27.010200026493575,1.0
SMA50/200 Cross ±2% Band 2x,0.14404653245407228,0.27539396598997234,0.5543215884000413,0.5907884070062891,-0.619093106583395,5657.650906851724,22,27.010200026493575,2.0
SMA50/200 Cross ±2% Band 3x,0.15735534360183578,0.41314445691806034,0.5159075206642093,0.5511437279253616,-0.8009267754994354,8003.988930385452,22,27.010200026493575,3.0
SMA50/200 Cross ±3% Band 1x,0.11276819027615725,0.1422466986090898,0.6552595718245627,0.7011493643170638,-0.33717259886422934,2463.292505549474,22,27.314876142535436,1.0
SMA50/200 Cross ±3% Band 2x,0.13732651013415742,0.280322444255656,0.5256511297740912,0.5620379350027712,-0.5934106544753611,4741.228098855808,22,27.314876142535436,2.0
SMA50/200 Cross ±3% Band 3x,0.14633077274284112,0.42029512379438944,0.48840211139389167,0.5233399255785399,-0.7781111541987811,6006.485676623611,22,27.314876142535436,3.0
SMA200 2x + DD15% Breaker,0.11472766186908734,0.22597938922215172,0.5219745380347711,0.5607468675959777,-0.4643586036472051,2596.7797980760265,210,29.76553185852431,2.0
SMA200 2x + DD20% Breaker,0.12062662314354022,0.22891150937897908,0.5152436939341709,0.5560207237581499,-0.5702878634669972,3042.218771319459,200,28.772022784474764,2.0
SMA200 3x + DD20% Breaker,0.11929661054721663,0.3371908123299977,0.45901572482727465,0.4921886761822577,-0.6592233039531455,2935.757237807476,220,29.990727248642205,3.0
SMA50/200 Cross 2x + DD15% Breaker,0.12065889115140327,0.24150428407443203,0.5162948451787566,0.5420216473982883,-0.41512216544111974,3044.8474939954335,96,30.48085839183998,2.0
SMA50/200 Cross 3x + DD20% Breaker,0.13520181454112956,0.3589279749390097,0.480245986377513,0.503966324911669,-0.6826319924469202,4482.6168016712445,110,30.970989535037752,3.0
SMA200 2x + VIX>30 Filter,0.11575786425528967,0.22516092686573505,0.5256285936352766,0.5685948668943737,-0.46299525969812894,2669.7391278793016,242,29.421115379520465,2.0
SMA200 3x + VIX>30 Filter,0.1260468119609892,0.33753280309545375,0.47754577309989504,0.5172175291969747,-0.6540236722030126,3515.9858468488687,242,29.421115379520465,3.0
SMA200 2x + VIX>25 Filter,0.1039481799814781,0.2047622318214515,0.49843873706478836,0.5287879465968586,-0.44832448572078515,1940.2144828649334,312,34.083984633726324,2.0
SMA50/200 Cross 2x + VIX>30 Filter,0.1356606624445289,0.23130386576679934,0.5828181270923968,0.6331303578758952,-0.3857650252844559,4537.285183962579,98,30.427871241224004,2.0
SMA50/200 Cross 3x + VIX>30 Filter,0.15491355191947753,0.34703473859164746,0.5396449771387934,0.58736429196909,-0.6147218293422678,7512.646170859991,98,30.427871241224004,3.0
SMA200 2x + 10% Trailing Stop,0.11986393872152123,0.23157940901650118,0.5348082791441132,0.5815905472890405,-0.4504628068030637,2980.7213332113392,212,28.268644853622998,2.0
SMA200 2x + 15% Trailing Stop,0.12354720684333165,0.23249234470653096,0.5572663814105894,0.6084022022997349,-0.45315832038311116,3289.2543165609195,206,28.228904490661016,2.0
SMA200 3x + 15% Trailing Stop,0.1358064198156106,0.34857757922169097,0.510394266117385,0.5579021318109846,-0.6666899128685639,4554.7855910079315,206,28.228904490661016,3.0
SMA50/200 Cross 2x + 10% Trailing Stop,0.12126005897967396,0.26198030394202837,0.5008733055684891,0.5144769456709308,-0.7268672789019893,3094.2252152970777,72,28.49384024374089,2.0
