dd_trigger_pct,pause_days,cagr,cagr_vs_baseline,cagr_drag_pp,max_drawdown,mdd_improve_pp,sharpe,risk_off_days,rebalances,end_$
16.0,21,0.42902922782417985,0.8842203271032296,-5.617702074704556,-0.47093450172487145,-3.2078803424609004,3.6121703387753623,567,812,4428246.822270455
16.0,30,0.405353331036336,0.8354247955997469,-7.985291753488943,-0.42496497375363435,1.3890724546628097,3.534283082703022,750,788,2682835.8081404692
16.0,42,0.38539574508204133,0.7942926254905135,-9.981050348918409,-0.43449989188337407,0.4355806416888375,3.479712793159286,1008,756,1746904.9142972701
18.0,5,0.4428240244656443,0.9126511164471129,-4.238222410558112,-0.4468884309636856,-0.8032732663423137,3.6978092108154135,85,868,5907208.436895362
18.0,10,0.4511958749742273,0.9299053264521066,-3.40103735969981,-0.47694589172283824,-3.80901934225758,3.6810702462159655,180,854,7026710.791616767
18.0,15,0.46187492516399575,0.9519146270767682,-2.3331323407229654,-0.3742746557031343,6.458104259712815,3.6826221294499355,255,846,8755167.371884067
18.0,21,0.4370141991269756,0.9006771871010323,-4.819204944424982,-0.4412848840699315,-0.2429185769669051,3.6169483727704916,357,832,5233838.52675401
18.0,30,0.43618050691140065,0.8989589647615017,-4.902574165982476,-0.5035338500408942,-6.46781517406318,3.6275242929802456,510,822,5143519.688642562
18.0,42,0.4285975315101007,0.8833306099667534,-5.660871706112469,-0.460082227598958,-2.122652929869556,3.5903885189862272,672,804,4388295.609423607
20.0,5,0.45305996192864106,0.9337471709458716,-3.2146286642584343,-0.4883535224970598,-4.949782419679738,3.7040557289401836,60,860,7302554.720307277
20.0,10,0.46117542364432995,0.9504729689742075,-2.4030824926895455,-0.41076540208034734,2.80902962199151,3.7168208609335727,120,854,8630373.026016565
20.0,15,0.468756243558619,0.9660968813549984,-1.6450005012606406,-0.3705767504585714,6.827894784169103,3.720374797463175,165,844,10079554.618039986
20.0,21,0.4688043094390457,0.9661959441361729,-1.6401939132179688,-0.37350994221706846,6.534575608319399,3.718764456510337,231,840,10089453.733369691
20.0,30,0.46686791124736304,0.9622050676843862,-1.8338337323862364,-0.3381709840943765,10.068471420588592,3.692834739764239,330,822,9697998.431750728
20.0,42,0.4405977352304329,0.908062780575992,-4.460851334079252,-0.3960765135420249,4.277918475823755,3.655954218488341,462,816,5639828.861148274
22.0,5,0.48545382686798955,1.000510253727138,0.024757829676413934,-0.44877702598974517,-0.9921327689482728,3.740366037657776,40,860,14148295.307676902
22.0,10,0.48555730894844085,1.0007235281455036,0.03510603772154397,-0.4369517379022155,0.19039603980469666,3.731893689130838,80,856,14177889.780046718
22.0,15,0.4905238804673595,1.0109595288844544,0.5317631896134101,-0.3705767504585704,6.827894784169203,3.718678855091599,105,846,15670811.438174648
22.0,21,0.4867003275284292,1.003079265697017,0.14940789572037705,-0.37057675045857147,6.827894784169097,3.712399240390684,147,846,14508784.316279877
22.0,30,0.47286224617444317,0.9745592674597013,-1.2344002396782239,-0.35805438128370803,8.080131701655441,3.6840813045775,210,840,10959947.961697873
22.0,42,0.4752843858574862,0.9795512470357588,-0.9921862713739182,-0.4003457199806499,3.850997831961256,3.6893780730990007,294,832,11513676.900683187
25.0,5,0.48043691468651795,0.9901705019283004,-0.47693338847074607,-0.4073473249031412,3.150837339712126,3.7444265355476967,25,864,12782994.794054518
25.0,10,0.48381676421986697,0.9971363016130769,-0.13894843513584387,-0.407347324903142,3.1508373397120426,3.740716315604146,50,860,13687986.797237126
25.0,15,0.4808221660253795,0.99096449693557,-0.438408254584588,-0.4150847831668952,2.3770915133367265,3.7308959204658905,75,858,12883153.347764993
25.0,21,0.4810652434660585,0.9914654744918047,-0.4141005105166906,-0.3768346863275947,6.202101197266774,3.723838365298636,105,854,12946739.073067782
25.0,30,0.4819824279740581,0.9933557727117892,-0.3223820597167304,-0.4080190247925052,3.083667350775726,3.7168016075348502,150,850,13189405.067350017
25.0,42,0.47214103910377436,0.9730728746673732,-1.3065209467451044,-0.45018697712119604,-1.13312788209336,3.684358286178569,210,844,10800106.966158861
