Date,equity
2020-03-26,10434.297158710277
2020-03-27,10387.788895905582
2020-03-30,10680.082478252954
2020-03-31,10543.349387220715
2020-04-01,10506.187828554732
2020-04-02,10567.44086816787
2020-04-03,10525.018671476199
2020-04-06,11440.572378157878
2020-04-07,11489.918133643805
2020-04-08,11924.472507407208
2020-04-09,12171.067529347665
2020-04-13,12148.638325757802
2020-04-14,12648.251324582552
2020-04-15,12234.806707452748
2020-04-16,12390.289566928903
2020-04-17,12752.84895760733
2020-04-20,12493.058374942922
2020-04-21,11903.093293032383
2020-04-22,12354.652905900788
2020-04-23,12372.123003080571
2020-04-24,12568.498812471049
2020-04-27,12795.563560646413
2020-04-28,12684.236678921869
2020-04-29,13241.199839316765
2020-04-30,13040.915200397358
2020-05-01,12539.701133612336
2020-05-04,12631.046948433603
2020-05-05,12808.777852657646
2020-05-06,12729.0876555009
2020-05-07,12964.103262313667
2020-05-08,13231.638839641328
2020-05-11,13251.820051835355
2020-05-12,12890.724152763523
2020-05-13,12718.121465505337
2020-05-14,12804.664604559242
2020-05-15,12867.156649003498
2020-05-18,13389.457431966292
2020-05-19,13267.43025529412
2020-05-20,13585.400882671078
2020-05-21,13393.061034533826
2020-05-22,13419.665860280482
2020-05-26,13610.286210765811
2020-05-27,13841.581715282084
2020-05-28,13818.490446984579
2020-05-29,13961.467845277119
2020-06-01,14101.27401494393
2020-06-02,14277.606384732953
2020-06-03,14542.662451982611
2020-06-04,14425.198237341116
2020-06-05,14935.193442622609
2020-06-08,15138.664934737133
2020-06-09,15018.848190524217
2020-06-10,15046.445902866757
2020-06-11,14433.944373838392
2020-06-12,14561.590175316014
2020-06-15,14717.539827202145
2020-06-16,15118.262162994954
2020-06-17,15121.295886903725
2020-06-18,15137.169445593787
2020-06-19,15096.312040410388
2020-06-22,15275.720209876668
2020-06-23,15422.464727816656
2020-06-24,15109.911183373824
2020-06-25,15175.87038681652
2020-06-26,15009.117021643155
2020-06-29,15084.132943797813
2020-06-30,15272.380120519381
2020-07-01,15422.538583800597
2020-07-02,15561.327593897191
2020-07-03,15551.712762994495
2020-07-06,16012.061629610518
2020-07-07,15783.551743274766
2020-07-08,15997.248136117034
2020-07-09,15935.177606243527
2020-07-10,16084.39144667341
2020-07-13,15844.399532769
2020-07-14,16044.029136105382
2020-07-15,16186.360820580961
2020-07-16,16037.26532922687
2020-07-17,16118.899958462227
2020-07-20,16418.362914114292
2020-07-21,16449.696972268557
2020-07-22,16566.021800367464
2020-07-23,16266.391425472571
2020-07-24,16123.060607780795
2020-07-27,16318.459854694087
2020-07-28,16178.15419270686
2020-07-29,16403.782117625862
2020-07-30,16304.178843647047
2020-07-31,16499.450314458165
2020-08-03,16691.412446656854
2020-08-04,16830.947828737713
2020-08-05,17021.5975362508
2020-08-06,17165.35994688907
2020-08-07,17072.428611489275
2020-08-10,17109.391565978574
2020-08-11,16951.255904772817
2020-08-12,17257.12948101954
2020-08-13,17237.617352877118
2020-08-14,17190.330048668795
2020-08-17,17349.814711910112
2020-08-18,17409.754096720655
2020-08-19,17264.993832469583
2020-08-20,17327.529189251367
2020-08-21,17418.09858368081
2020-08-24,17621.883923703015
2020-08-25,17706.77315733151
2020-08-26,17947.615751522426
2020-08-27,17943.376787464018
2020-08-28,18117.216865132825
2020-08-31,18061.76813528576
2020-09-01,18239.043183588085
2020-09-02,18490.190095776357
2020-09-03,17525.31230928628
2020-09-04,17339.12436456789
2020-09-07,17327.236495623165
2020-09-08,17076.798219689364
2020-09-09,17071.69865551972
2020-09-10,17061.11931974951
2020-09-11,17057.839758924914
2020-09-14,17109.222663932193
