strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2781611588381807,0.21993889642092468,3.414872566203564,-0.37365815617388615,1057.5109576558714,260,3368.526682027496,89.15246808450841,3,1,0,880,45.198412698412696,16.865079365079367,27.936507936507937,10.0,11
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.31939209734508545,0.274712525462813,3.0774598833038542,-0.2926788200586175,1436.661158958167,256,4057.454204961441,144.90174288703122,3,2,220,712,38.84920634920635,17.936507936507937,17.817460317460316,25.396825396825395,11
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.30684920387926984,0.23946802193811892,3.1894766257221847,-0.2916689857887672,1310.142240315428,262,3573.188759693837,120.11274023836748,3,2,220,631,39.76190476190476,24.88095238095238,19.603174603174605,15.753968253968253,11
Original strict SMA20,0.0,0.25,0.3333333333333333,0.3382894758695172,0.26307752194989026,2.8752213556505395,-0.21191129845458237,1648.0114904988632,273,3464.808488435936,84.3212674090182,4,2,0,641,39.404761904761905,24.92063492063492,29.404761904761905,6.26984126984127,12
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3668547345883999,0.27921439148022387,2.7189388158486807,-0.2644841844245547,2020.6048605548676,263,4095.464692227796,118.94869896526626,4,2,241,471,33.53174603174603,26.34920634920635,33.33333333333333,6.785714285714286,12
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.32734642190839236,0.26440119003466084,2.903326241668861,-0.3464024265973891,1522.464484428435,268,3649.509098540647,118.41439420836579,4,2,241,529,32.06349206349206,21.03174603174603,40.95238095238095,5.952380952380952,12
Original strict SMA20,0.0,0.25,0.3333333333333333,0.40461016456366616,0.2554956411124699,3.802823369685979,-0.27230078391798807,2628.3613745973457,348,5848.619554975374,184.8420315946352,2,2,0,542,37.89682539682539,32.06349206349206,7.817460317460317,22.22222222222222,13
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.40950605551646246,0.2791231257560992,3.3248454666186724,-0.33077170764828506,2718.1221227159062,329,5273.628100566216,239.0920988867816,2,2,270,415,32.857142857142854,32.06349206349206,8.73015873015873,26.34920634920635,13
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.4279531369908953,0.2760071181938585,3.347117890802206,-0.3307717076482858,3081.5400642788136,324,5685.509333948596,264.43680161562276,3,2,270,443,32.22222222222222,26.031746031746035,21.785714285714285,19.960317460317462,13
Original strict SMA20,0.0,0.25,0.3333333333333333,0.1916611376324362,0.23243977396148766,3.607961821055033,-0.32506219705859235,537.7493001553631,330,1974.9522223583992,58.26413690954074,4,2,0,773,39.920634920634924,15.357142857142858,23.214285714285715,21.50793650793651,14
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.2732205403366048,0.2546069843025124,3.1308325232530696,-0.3654407449398078,1018.7138681351231,280,2537.1916042417392,109.05233166299095,4,2,286,559,31.428571428571427,15.357142857142858,27.976190476190478,25.238095238095237,14
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2213849547465503,0.2408677350804396,3.0047242693365073,-0.36471887468158865,682.0916140115748,294,1876.790791728971,74.34160037718078,2,3,286,483,33.53174603174603,24.444444444444443,16.626984126984127,25.396825396825395,14
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2075883018124418,0.141606035145659,4.112137721207781,-0.23673051674403536,611.263196591705,351,1047.4049708232667,10.841303133802908,2,0,0,277,36.15079365079365,47.460317460317455,16.38888888888889,0.0,15
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.26137171362457634,0.15978493319097634,3.873719596180961,-0.1710436269388956,930.8167121710964,330,1391.791616328067,22.07609250015469,3,0,286,216,32.22222222222222,42.06349206349206,25.71428571428571,0.0,15
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2412638886546321,0.16248466072724904,3.8683787337889934,-0.17104362693889535,797.0961180895279,336,1305.7557042736205,20.84709674233693,2,0,286,245,31.666666666666664,40.27777777777778,28.055555555555557,0.0,15
Original strict SMA20,0.0,0.25,0.3333333333333333,0.3757233884448685,0.25051895030663607,3.504036961307922,-0.24334440478907465,2150.742987814236,321,4648.832816954876,111.27773859338724,4,1,0,574,40.91269841269841,30.873015873015873,13.095238095238097,15.119047619047619,16
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3542458173238079,0.27257747144496824,3.3298338186319834,-0.341187191279345,1847.7269338662918,331,4409.101340253897,120.6827703913779,4,1,303,446,35.317460317460316,30.317460317460316,15.873015873015872,18.492063492063494,16
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.37618107358894437,0.28191930146203026,3.4114466610691663,-0.3423127553300173,2157.658401236918,330,5326.078496686317,152.44232463433931,3,1,303,493,34.04761904761905,24.325396825396826,23.134920634920636,18.492063492063494,16
Original strict SMA20,0.0,0.25,0.3333333333333333,0.21529680173056276,0.3130248396006428,3.454808142318168,-0.5617449200110463,649.9772689822237,340,4889.819323682146,120.98076245829967,3,3,0,1008,47.460317460317455,8.174603174603174,5.674603174603175,38.69047619047619,17
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.38976069297947125,0.3570091451443233,3.155883970216103,-0.3582238435280483,2372.1301232217393,306,9014.103598309744,339.5927348014379,3,3,305,753,37.34126984126984,8.174603174603174,6.825396825396825,47.65873015873016,17
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.278969340263846,0.3344213355883043,3.0599613711173097,-0.35385915644906263,1063.9818638441238,306,4232.767838785117,149.20592069644303,3,3,305,745,37.46031746031746,12.063492063492063,6.825396825396825,43.65079365079365,17
Original strict SMA20,0.0,0.25,0.3333333333333333,0.3449925306202477,0.26392971475261806,3.460320086459725,-0.3991244658160624,1729.4217022926152,299,2463.8345558964884,88.16326049790042,1,1,0,625,38.41269841269842,25.515873015873012,3.7698412698412698,32.301587301587304,18
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.36382708870971947,0.2927368156906481,2.9696215373539685,-0.42653338490705145,1977.8214332317038,266,2846.884804268707,122.72330779474963,2,1,274,524,31.38888888888889,19.20634920634921,11.984126984126984,37.420634920634924,18
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.3859430915411628,0.28814539550920626,2.98909565389791,-0.43016739294852757,2309.9855410927257,259,2893.75202755985,114.45803070042358,3,1,274,535,30.992063492063494,14.285714285714285,25.992063492063494,28.730158730158728,18
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2662769357539978,0.2477112545364606,3.1610457639291765,-0.3526871016158987,966.3442257572979,292,2889.356081524254,70.66666056426267,3,2,0,687,43.095238095238095,27.460317460317462,15.079365079365079,14.365079365079364,19
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.2396157214791539,0.2699215841453777,2.8686557650837683,-0.36850731551316107,786.940094841634,299,2996.138200503089,89.17466804672961,3,2,280,541,36.666666666666664,26.111111111111114,19.166666666666668,18.055555555555554,19
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.24648204495080805,0.27237470355774496,2.8653968423663203,-0.3688699271623543,830.0299664542067,296,3075.6792155715702,95.57149793778407,4,3,280,553,36.388888888888886,23.730158730158728,22.57936507936508,17.3015873015873,19
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2830050439781293,0.19807838514232412,3.5352789938127738,-0.24737520516477995,1096.828964348654,310,1544.2858026327676,41.57595604004175,3,1,0,490,33.76984126984127,38.05555555555556,21.626984126984127,6.547619047619048,20
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3028578477016566,0.2135637653770947,3.183600752972482,-0.20382083695718384,1272.0311110362475,282,1668.0399336765547,62.97825925049032,3,1,255,363,28.095238095238095,35.55555555555556,28.333333333333332,8.015873015873016,20
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.31937434900119555,0.19842915347168893,3.4114208646912023,-0.20382083695718373,1436.4746576278098,280,1677.0531938316205,60.18639403217677,3,1,255,367,27.857142857142858,32.817460317460316,34.20634920634921,5.119047619047619,20
Original strict SMA20,0.0,0.25,0.3333333333333333,0.603127090983038,0.41150838198875306,3.4971344072841943,-0.3250285480820297,9413.80805451448,308,19234.64195284615,738.3640524907626,0,1,0,1103,44.96031746031746,0.2380952380952381,0.0,54.801587301587304,21
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.735801173006595,0.44272211135408285,3.265994437993788,-0.4668916900228503,20278.287753862103,282,25890.89031612362,1541.68837893288,0,1,254,851,34.960317460317455,0.2380952380952381,0.0,64.8015873015873,21
