A,B,cagr,sharpe,max_dd,end,rebalances,tier2,tier3,cash_pct,pct2,pct3
0.06,0.13,0.40364127076351575,3.0725365072753092,-0.36273913777210537,2584110.9444734165,783,9,6,29.720418709420958,21.385981184576654,31.933218497416192
0.06,0.14,0.40400906789393276,3.0834714231009483,-0.3626999347628189,2604497.1364142275,779,9,5,29.574665429972175,24.645554524976813,30.820193454352722
0.06,0.15,0.4014914399897176,3.0863049375855534,-0.3584684855035129,2468000.9552030256,781,10,6,29.58791572810388,25.18881674837684,29.958924075791703
0.06,0.16,0.40846134356988495,3.122922362066428,-0.3538893486863128,2863947.470566964,761,10,5,28.408639194381873,35.312044521001724,27.189611766264743
0.06,0.17,0.41053667732883437,3.12472547661368,-0.3538893486863128,2993258.429611338,763,10,5,28.580893070094078,37.339340135153044,26.036835828806147
0.06,0.18,0.4089129655910262,3.1225190017106264,-0.36653411013624665,2891619.2743348726,764,10,5,28.580893070094078,37.511594010865245,25.944083741884192
0.06,0.19,0.4095255999059497,3.118603234582829,-0.31928950294177927,2929570.03457846,761,9,4,28.580893070094078,39.393136345567775,24.07579170531337
0.06,0.2,0.40862584774164734,3.1190633858620087,-0.31928950294177927,2873997.207588173,762,9,4,28.580893070094078,39.41963694183119,23.890287531469458
0.06,0.21,0.41051435225096067,3.132194729563091,-0.31928950294177927,2991837.818103932,756,11,6,28.36888829998675,43.79223532529482,20.140453160196103
0.06,0.22,0.41051435225096067,3.132194729563091,-0.31928950294177927,2991837.818103932,756,11,6,28.36888829998675,43.79223532529482,20.140453160196103
0.06,0.23,0.39781015267046893,3.1324141350221697,-0.31928950294177927,2280790.379310457,755,10,5,28.488140983172123,42.983967139260635,19.676692725586324
0.06,0.24,0.38181166700535507,3.119070561295982,-0.31928950294177927,1614877.3060214834,762,8,4,28.83264873459653,43.01046773552405,18.08665694978137
0.06,0.25,0.3855367049424647,3.125265368975459,-0.2750717334360087,1750680.6574537137,766,8,4,28.89890022525507,47.05180866569498,13.621306479395786
0.06,0.26,0.3836287218293597,3.119217114920757,-0.2750717334360087,1679797.8777941582,767,8,4,28.89890022525507,47.18431164701206,13.475553199946999
0.06,0.27,0.37432783019627447,3.1284107948020288,-0.2750717334360087,1372145.7655389335,773,7,3,29.057903802835565,47.03855836756327,12.56128262885915
0.06,0.28,0.37432783019627447,3.1284107948020288,-0.2750717334360087,1372145.7655389335,773,7,3,29.057903802835565,47.03855836756327,12.56128262885915
0.06,0.29,0.37432783019627447,3.1284107948020288,-0.2750717334360087,1372145.7655389335,773,7,3,29.057903802835565,47.03855836756327,12.56128262885915
0.06,0.3,0.372782492344103,3.127910275426135,-0.2750717334360087,1326616.2605835854,775,8,3,29.057903802835565,46.99880747316815,12.455280243805486
0.06,0.31,0.3717720800893467,3.1264288599537085,-0.2750717334360087,1297640.3191107318,775,8,3,29.057903802835565,47.02530806943156,12.336027560620114
0.06,0.32,0.37003434912618904,3.1350022121303387,-0.27507173343600877,1249231.6906989287,777,9,4,29.08440439909898,48.65509473963164,10.467735524049292
0.06,0.33,0.3543835396061228,3.105396379645309,-0.27507173343600877,885081.9440694023,775,8,3,29.362660659864847,49.9271233602756,7.751424407049158
0.06,0.34,0.35253163474578675,3.098524483893714,-0.27507173343600877,849494.3434637107,774,8,2,29.362660659864847,52.709685967934284,4.876109712468531
0.06,0.35,0.35253163474578675,3.098524483893714,-0.27507173343600877,849494.3434637107,774,8,2,29.362660659864847,52.709685967934284,4.876109712468531
0.07,0.1,0.37929338922914146,2.9915069426086753,-0.3616141740915811,1528899.4971004683,811,6,9,31.310454485225918,5.313369550814893,36.4250695640652
