strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_original,max_dd_delta_pp_vs_original,sharpe_delta_vs_original,keeps_original_cagr,improves_original_drawdown,improves_original_sharpe
Lead 0.75 X55.00% Y70.00%,0.0075,0.55,0.7,0.44191985121951616,0.3187126413810343,3.1685395758538344,-0.3618685094442792,5791364.888725669,765,5883462.979157726,635767.7591904579,3,3,751,1672,29.177156486020934,12.534782032595734,14.90658539817146,43.38147608321187,14.801267044629473,-1.8153386291205165,-0.0639308067516029,True,False,False
Lead 0.75 X55.00% Y60.00%,0.0075,0.55,0.6,0.43768536264928604,0.3157808889083159,3.1669800313888987,-0.3618685094442792,5302388.906515155,775,5308153.780776938,562408.2529908617,4,3,751,1662,29.137405591625807,13.091294554127467,17.993904862859413,39.777394991387304,14.377818187606461,-1.8153386291205165,-0.06549035121653857,True,False,False
Lead 0.75 X45.00% Y70.00%,0.0075,0.45,0.7,0.4477287191133321,0.31626811739357114,3.166796432500974,-0.3618624818933771,6533577.43946169,765,6592846.720184775,716705.3394860127,5,3,751,1583,29.58791572810388,13.72730886444945,13.303299324234796,43.38147608321187,15.38215383401107,-1.81473587403031,-0.06567395010446342,True,False,False
Lead 0.75 X30.00% Y75.00%,0.0075,0.3,0.75,0.43411613237787594,0.31416983039536733,3.1656148183565542,-0.36078043037910323,4921449.9149812255,784,4964476.033322543,541081.6354096656,5,3,751,1538,29.892672585133166,15.767854776732475,9.3149595865907,45.02451305154366,14.020895160465452,-1.7065307226029225,-0.06685556424888306,True,False,False
Lead 0.75 X45.00% Y60.00%,0.0075,0.45,0.6,0.44347710226824355,0.3133124636860081,3.165449871141546,-0.3618624818933771,5981926.414743593,775,5947408.559729254,634013.1713068793,6,3,751,1573,29.548164833708757,14.283821385981184,16.39061878892275,39.777394991387304,14.956992149502213,-1.81473587403031,-0.0670205114638911,True,False,False
Lead 0.75 X50.00% Y65.00%,0.0075,0.5,0.65,0.43972348881239154,0.3172622632144712,3.1637670544146754,-0.3618685094442792,5532539.681008459,771,6079710.166159123,592767.4080201465,4,3,751,1636,29.362660659864847,13.515304094342124,14.787332714986087,42.33470253080694,14.581630803917012,-1.8153386291205165,-0.06870332819076186,True,False,False
Lead 0.75 X60.00% Y65.00%,0.0075,0.6,0.65,0.4334106286484145,0.3181144230956783,3.1615061284498913,-0.3618685094442792,4849349.7553091915,771,5378151.526000021,520837.2941640479,3,3,751,1694,29.110904995362397,12.746786802703062,15.8076056711276,42.33470253080694,13.95034478751931,-1.8153386291205165,-0.07096425415554597,True,False,False
Lead 0.75 X50.00% Y55.00%,0.0075,0.5,0.55,0.4378299671984358,0.31379976478377214,3.157028924064788,-0.3618685094442792,5318408.2683864385,775,4933396.460508252,504089.6881414566,5,3,751,1611,29.33616006360143,14.336822578508016,17.87465217967404,38.45236517821651,14.39227864252144,-1.8153386291205165,-0.0754414585406491,True,False,False
Lead 0.75 X15.00% Y80.00%,0.0075,0.15,0.8,0.4271552389291311,0.31274000251196166,3.155229492050505,-0.36049348293231154,4253186.040675024,804,4173265.232859132,466663.67364321434,5,3,751,1470,30.687690473035644,19.477938253610706,3.5908307936928585,46.243540479660794,13.324805815590967,-1.6778359779237528,-0.07724089055493222,True,False,False
Lead 0.75 X60.00% Y55.00%,0.0075,0.6,0.55,0.43152552516016374,0.3146616277285392,3.1546640851987533,-0.3618685094442792,4661671.802619532,775,4368823.262988538,442954.2516208386,4,3,751,1669,29.08440439909898,13.568305286868954,18.894925135815555,38.45236517821651,13.761834438694232,-1.8153386291205165,-0.07780629740668399,True,False,False
Lead 0.75 X40.00% Y70.00%,0.0075,0.4,0.7,0.442960221852728,0.31528489000538845,3.1536836627416167,-0.3615812830636155,5918013.196119891,767,5978697.49515441,649188.7512429877,5,3,751,1557,29.693918113157547,14.297071684112892,12.627534119517689,43.38147608321187,14.905304107950656,-1.7866159910541468,-0.07878671986382058,True,False,False
Lead 0.75 X55.00% Y65.00%,0.0075,0.55,0.65,0.4323726302049309,0.31778488554179857,3.1535955730340857,-0.3618685094442792,4745122.917195418,771,5258275.60390147,508893.62502802676,3,3,751,1670,29.216907380416057,13.541804690605538,14.90658539817146,42.33470253080694,13.846544943170947,-1.8153386291205165,-0.07887480957135162,True,False,False
Lead 0.75 X25.00% Y75.00%,0.0075,0.25,0.75,0.4273955192644727,0.3135556322173975,3.153248567324517,-0.3605640363421126,4274716.034235106,792,4329571.872140359,469762.93483885936,5,3,751,1528,30.25043063468928,17.17238637869352,7.5526699350735385,45.02451305154366,13.34883384912513,-1.6848913189038583,-0.0792218152809201,True,False,False
Lead 0.75 X40.00% Y60.00%,0.0075,0.4,0.6,0.4387229642038186,0.3123190306850085,3.1523117771148166,-0.3615812830636155,5418376.381756105,777,5393631.644010343,574287.2209827261,6,3,751,1547,29.654167218762424,14.853584205644626,15.714853584205645,39.777394991387304,14.48157834305972,-1.7866159910541468,-0.0801586054906207,True,False,False
