strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2670331979380758,0.2192775484313538,3.1425923885192106,-0.24352099488193218,971.9284984347513,258,1561.9725863312904,0.0,3,0,313,30.753968253968257,9.007936507936508,60.238095238095234,0.0,141
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.24623543544529913,0.2713552122200149,3.092886303368926,-0.3563440126226628,828.4464782704655,339,2998.7851695866043,0.0,3,2,0,36.23015873015873,30.0,17.182539682539684,16.587301587301585,142
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.32626833135499234,0.28978699977189076,2.649203935413194,-0.33932844947723323,1510.5722971554571,256,2408.2103652483656,0.0,4,2,284,26.785714285714285,10.396825396825397,57.460317460317455,5.357142857142857,142
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.29627415459386097,0.29385586035319367,2.5911902337355874,-0.33932844947723306,1211.3343928468419,253,2042.1515490880915,0.0,4,1,284,25.436507936507937,6.23015873015873,63.650793650793645,4.682539682539683,142
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3126990360472277,0.20679889014091754,3.574544856807916,-0.3483036552577637,1367.849251741054,296,4249.67400230428,0.0,4,1,0,36.62698412698413,27.34126984126984,30.0,6.031746031746032,143
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.39834644340119674,0.23345684298731592,3.280630373559516,-0.21201677855183917,2517.400963090333,248,5146.354721035636,0.0,4,1,245,28.53174603174603,13.61111111111111,56.30952380952381,1.5476190476190477,143
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3786497618886169,0.2362890052386831,3.2134510058924617,-0.21157008122199883,2195.3040188288946,251,4502.072928120744,0.0,3,0,245,28.373015873015873,12.658730158730158,58.96825396825397,0.0,143
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2953338299500723,0.2691752963780427,3.450495088475851,-0.31124754726172593,1202.8806001822184,273,3470.403050801907,0.0,2,2,0,42.698412698412696,8.055555555555555,15.476190476190476,33.76984126984127,144
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.30868601521959715,0.2742025948218608,3.1592508309103597,-0.30905304647239334,1328.0222673608396,260,3941.951328070102,0.0,2,2,275,32.57936507936508,6.746031746031746,32.976190476190474,27.6984126984127,144
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3145856061109997,0.24880362738140196,3.221751288361036,-0.29513399140142565,1386.9397016431858,259,3287.757696531412,0.0,2,1,275,32.57936507936508,6.7063492063492065,47.65873015873016,13.055555555555557,144
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.22965296504930577,0.17925958454964408,3.508161179684775,-0.23221314422227504,727.9807120437281,313,2015.579734863469,0.0,2,1,0,40.317460317460316,42.5,11.34920634920635,5.833333333333333,145
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.16873013073625653,0.20724570718924432,3.267442672696457,-0.474939231696962,445.80012530409823,332,2125.080276090284,0.0,2,1,317,34.8015873015873,32.77777777777778,25.07936507936508,7.341269841269842,145
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2342159718480934,0.25255188327452954,3.2698056994563243,-0.41805746913614755,754.47413912432,323,3682.788259825633,0.0,3,0,317,29.08730158730159,8.015873015873016,62.89682539682539,0.0,145
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.19000343174252743,0.175156094166996,3.6583568791274406,-0.30751942201386034,530.5731474248648,324,1411.147727415882,0.0,4,0,0,39.166666666666664,27.18253968253968,33.65079365079365,0.0,146
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.27379863843347163,0.21657613832463266,3.3578616476616547,-0.18301727988316963,1023.1865921481308,266,2407.036176941098,0.0,4,0,270,29.28571428571429,6.865079365079366,63.84920634920634,0.0,146
