strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.26299853128106965,0.2602231750838452,3.032297447086023,-0.2825086675139014,942.4674341727729,289,2020.200967846844,0.0,2,0,262,28.849206349206348,5.595238095238096,65.55555555555556,0.0,8
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.05026667098806925,0.2637248543172476,3.573068954690155,-0.4985714948889535,158.92633206808603,351,1162.6637073860247,0.0,2,2,0,43.492063492063494,3.968253968253968,10.992063492063492,41.54761904761905,9
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.12153959494000621,0.28547835657186593,3.1047016308026345,-0.5061008799261114,299.49682066576406,303,1457.7457702341792,0.0,2,2,302,32.261904761904766,6.944444444444445,13.253968253968255,47.53968253968254,9
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.11664502379717678,0.2685829721943396,3.0840539090840506,-0.4707891984822785,287.11806666132713,300,1346.0653083478744,0.0,1,1,302,31.587301587301585,0.5555555555555556,38.57142857142858,29.28571428571429,9
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.26289168640028615,0.2111454858137977,3.4479857956159066,-0.24791430620304505,941.6982555391617,297,2138.9291444108317,0.0,2,1,0,33.69047619047619,39.12698412698413,9.523809523809524,17.658730158730158,10
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3888881688576815,0.24481200142527837,3.2480783008470486,-0.2269863312491334,2357.796178367655,266,2932.894119793587,0.0,2,2,245,27.579365079365083,28.809523809523807,24.365079365079364,19.246031746031747,10
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.46013112115933996,0.2662565807134748,3.324114740068673,-0.2658734998135986,3820.925082482799,254,4882.100005123976,0.0,6,1,245,25.595238095238095,9.325396825396826,52.06349206349207,13.015873015873018,10
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3098837929105054,0.3089433233982746,3.4624615104606318,-0.5224904962389765,1339.7992746717691,282,6176.065389244955,0.0,3,4,0,46.19047619047619,6.507936507936509,2.579365079365079,44.72222222222222,11
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.31481253508778706,0.311388472637171,3.0175311242192957,-0.34134700511601423,1389.252042533434,268,4178.309778704632,0.0,4,5,280,36.23015873015873,10.992063492063492,14.563492063492065,38.21428571428571,11
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3300921043586227,0.30361100358134785,3.06946134448678,-0.34179847738140257,1553.1314650653749,266,4513.529202251085,0.0,2,2,280,35.476190476190474,3.015873015873016,35.23809523809524,26.269841269841272,11
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.32094327453161875,0.2070183901786078,3.4238919781105865,-0.21501675416879099,1453.0451732276154,266,2472.0429723714715,0.0,4,0,0,36.98412698412699,23.253968253968253,39.76190476190476,0.0,12
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.36474781751742347,0.23480974694198245,2.860518935568565,-0.2967624887737815,1990.7454326791071,216,2987.6787129375007,0.0,4,0,225,30.674603174603178,16.38888888888889,52.93650793650794,0.0,12
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.37830486569571997,0.2400657679212931,2.94673270424981,-0.2967624887737814,2190.0094802703297,216,3266.65002598397,0.0,3,0,225,29.444444444444446,11.944444444444445,58.611111111111114,0.0,12
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.33970310965253336,0.2257643343125266,3.5552402260750195,-0.22666534018685472,1664.8887170111227,315,3278.303576289292,0.0,1,2,0,36.666666666666664,40.55555555555556,1.5873015873015872,21.19047619047619,13
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.376119718370332,0.24552797634122356,3.2390953537424365,-0.2461475449189638,2156.730196538591,303,3497.8518145819553,0.0,2,3,260,33.80952380952381,40.55555555555556,1.8253968253968256,23.809523809523807,13
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.4076458489659447,0.28477678289047137,3.2321628425363436,-0.2531692350591206,2683.6986913688775,280,4558.514372187357,0.0,5,2,260,28.214285714285715,10.992063492063492,41.94444444444444,18.849206349206348,13
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.36007003651858005,0.2057901134446705,3.9322734061654687,-0.28959759519636086,1925.8607915730051,305,3326.2106716580515,0.0,3,1,0,36.11111111111111,32.46031746031746,19.88095238095238,11.547619047619047,14
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.38976983154081335,0.23484252418826798,3.4106744751763927,-0.2935279838966158,2372.2806651813426,279,3387.7704108100415,0.0,3,2,271,29.563492063492063,25.634920634920633,31.19047619047619,13.61111111111111,14
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.42091174079407523,0.24781249955045426,3.4822467187775286,-0.302817411743825,2937.97916921443,263,4471.47130165094,0.0,6,1,271,26.38888888888889,6.26984126984127,59.48412698412698,7.857142857142857,14
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2960289410523953,0.16620873483519674,3.8209089645577743,-0.24115442806188606,1209.1247341298135,285,1492.0028946801144,0.0,4,0,0,35.95238095238095,36.19047619047619,27.857142857142858,0.0,15
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3584442506557861,0.19835234901348414,3.5408094693296523,-0.18874793755382313,1903.7577841186376,269,2502.136453793388,0.0,4,0,259,29.72222222222222,26.42857142857143,43.84920634920635,0.0,15
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.40647188796014055,0.22462986725807774,3.512332044311733,-0.22603061734109278,2662.175991108908,254,3798.3456369852843,0.0,5,0,259,27.460317460317462,12.579365079365079,59.960317460317455,0.0,15
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.42739506309247544,0.23835739821498536,3.6581579533278266,-0.186264302398351,3069.9367938049622,332,4500.072185010768,0.0,2,2,0,38.88888888888889,33.05555555555556,18.095238095238095,9.96031746031746,16
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.4005442863614359,0.2533546593801561,3.1455955186132836,-0.2741157372465657,2555.847526056689,291,3003.2753993314823,0.0,5,3,305,32.53968253968254,29.404761904761905,31.150793650793652,6.904761904761905,16
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.4071272432372217,0.2644785841568376,3.2096518502134024,-0.2718058872838724,2674.1717263879646,281,3528.858657083986,0.0,4,0,305,29.12698412698413,9.563492063492063,61.30952380952381,0.0,16
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3440309481176622,0.24143896707818402,3.5102825182912434,-0.37657144083770305,1717.5258974619942,320,4915.578450449318,0.0,3,1,0,39.56349206349206,26.38888888888889,25.71428571428571,8.333333333333332,17
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.40000709050472794,0.26209926509820547,3.238978788094424,-0.267311700896839,2546.402150667912,282,5559.522558782345,0.0,3,2,234,32.46031746031746,19.761904761904763,39.36507936507937,8.412698412698413,17
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.41706696994672754,0.27359821993334515,3.287698778728941,-0.2689203527067582,2862.1487743929083,270,6366.133009882924,0.0,4,1,234,31.071428571428573,7.738095238095238,54.88095238095239,6.309523809523809,17
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.40334452690162714,0.2922297176404586,3.3417785464373035,-0.4975599767533429,2605.59386725701,292,3318.2580668291503,0.0,3,2,0,38.17460317460317,24.00793650793651,6.309523809523809,31.507936507936506,18
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.42206105628818946,0.28825408171004474,2.9721545167855847,-0.45481532398461577,2960.994101553347,254,3442.6851809475515,0.0,4,3,243,31.19047619047619,22.142857142857142,18.571428571428573,28.095238095238095,18
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.459298299224451,0.26849828592801095,3.060945892460731,-0.422357936500051,3799.944067642594,242,3833.856894671257,0.0,4,2,243,30.277777777777775,9.920634920634921,52.73809523809524,7.063492063492063,18
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3259426983258049,0.23236395962012885,3.3789744714952055,-0.2900196401267105,1506.9967189625165,311,3417.7652545142178,0.0,4,1,0,40.79365079365079,24.92063492063492,28.76984126984127,5.515873015873016,19
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.37574899180488286,0.2592291335642324,3.013672076342517,-0.257445653884399,2151.129317620022,281,3968.3715574789267,0.0,5,3,283,33.214285714285715,19.166666666666668,43.095238095238095,4.523809523809524,19
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.41137290147022787,0.26669976288219316,3.194112541340071,-0.2596180116439854,2753.0658091241003,269,4490.893294129141,0.0,5,1,283,30.436507936507933,6.746031746031746,59.6031746031746,3.214285714285714,19
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.34167288939317997,0.25979499210853696,3.1705117264862523,-0.2817194649856101,1688.6640600963776,282,1699.1579301443635,0.0,2,2,0,33.29365079365079,32.857142857142854,8.492063492063492,25.357142857142854,20
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.41488641477296984,0.25809976931464634,2.994787067263413,-0.2792272315727788,2819.9257928906322,242,1744.071974240407,0.0,4,3,245,26.42857142857143,25.436507936507937,29.96031746031746,18.174603174603174,20
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.4228747177358252,0.27299186353652727,3.0653847249650594,-0.2687568668388333,2977.385160388217,237,2138.967053892241,0.0,6,2,245,24.285714285714285,7.6190476190476195,52.38095238095239,15.714285714285714,20
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.5370279480519096,0.3731833304365972,3.3452547649644977,-0.4340577850902011,6270.2768976249645,304,7635.241758898583,0.0,1,1,0,45.0,6.626984126984127,6.626984126984127,41.74603174603175,21
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.5333123417893646,0.40208640702692133,3.153483680323534,-0.38169138634310074,6125.510866049311,292,8247.843788922064,0.0,1,1,243,35.43650793650794,1.6666666666666667,16.626984126984127,46.26984126984127,21
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.5552181965404044,0.40310894740040826,3.1932020976102007,-0.38169138634310074,7024.230254173678,294,8510.152883343704,0.0,2,1,243,35.3968253968254,0.873015873015873,17.46031746031746,46.26984126984127,21
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.40559632726943873,0.24411068366127311,3.699622786672325,-0.2768288444741673,2646.224851480945,288,3265.7220167448277,0.0,5,3,0,37.420634920634924,24.682539682539684,9.563492063492063,28.333333333333332,22
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3997564363257853,0.26584922699919983,3.1741617239236075,-0.33424352585654754,2542.0056787847893,262,2681.036144083721,0.0,6,4,238,30.992063492063494,24.285714285714285,18.373015873015873,26.34920634920635,22
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3467389560846208,0.23149206342798065,3.317129185546891,-0.28008043117373677,1751.215875939725,268,1973.7533726149404,0.0,4,1,238,30.158730158730158,18.333333333333332,45.476190476190474,6.031746031746032,22
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3446729426801225,0.22048059092686914,3.6321279309503276,-0.2073507495977149,1725.4598891317717,280,3444.5818063948723,0.0,2,2,0,37.06349206349206,26.944444444444443,14.087301587301587,21.904761904761905,23
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.36108477310820675,0.21890872244225595,3.323283042295611,-0.25565889152457977,1939.772734637769,263,2439.4920746229677,0.0,4,3,273,31.150793650793652,29.166666666666668,26.150793650793652,13.531746031746032,23
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.40105325714239703,0.23869960000924156,3.218441573840217,-0.2560369945037719,2564.8255883106385,247,2860.608379503701,0.0,4,1,273,27.857142857142858,12.222222222222221,57.49999999999999,2.420634920634921,23
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.24748192038765504,0.20521534062705551,3.7176559696736273,-0.28908812019238134,836.4780385134756,305,1724.8578754934613,0.0,3,1,0,39.32539682539682,20.833333333333336,24.682539682539684,15.158730158730158,24
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.29316642670534176,0.24056935597699716,3.2344447628218225,-0.26730365078459434,1183.5961060259458,276,1871.9888370303613,0.0,4,2,287,29.484126984126984,9.761904761904763,47.93650793650794,12.817460317460316,24
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2666732834238943,0.229403104362594,3.164107868485819,-0.2673036507845953,969.26727693525,261,1547.5256765597176,0.0,3,1,287,28.293650793650794,4.2063492063492065,64.28571428571429,3.214285714285714,24
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3178850830964679,0.25835088163718506,3.3199808911526603,-0.33305651342114184,1420.9023996745223,282,2461.425471430173,0.0,4,3,0,41.07142857142857,19.325396825396826,15.753968253968253,23.84920634920635,25
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.38889916778922107,0.2574948009887042,3.0385618168499957,-0.29764604143053464,2357.9763860300463,240,2736.8879138488182,0.0,4,3,261,32.976190476190474,16.26984126984127,34.92063492063492,15.833333333333332,25
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3889577653068297,0.25076420965700585,3.1188370344175183,-0.28288422833937704,2358.9366620965293,236,3053.1551024127593,0.0,3,1,261,32.57936507936508,12.579365079365079,45.0,9.841269841269842,25
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.19717480503690754,0.1655763164555702,3.8558640202546197,-0.2168732378471127,562.2480385411419,311,1565.26006358143,0.0,5,0,0,40.039682539682545,20.634920634920633,39.32539682539682,0.0,26
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2521257476762484,0.19758622570454817,3.3852962777330973,-0.2542510272973736,867.0179796269836,249,1930.4560047693794,0.0,3,0,271,30.158730158730158,7.341269841269842,62.5,0.0,26
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2430834838077871,0.20794653142330652,3.375968427895847,-0.2542510272973738,808.4448038626588,265,1912.2659941299542,0.0,3,0,271,30.238095238095237,4.444444444444445,65.31746031746032,0.0,26
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2788835418112281,0.2859697194926994,3.2165916099176046,-0.39526157380172083,1063.2932172118312,312,1712.583392421389,0.0,4,2,0,39.8015873015873,21.03174603174603,8.095238095238095,31.071428571428573,27
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.37672578718341465,0.288343141395322,2.748894401682816,-0.24018159766864042,2165.9147471754163,240,1830.0081074519615,0.0,4,2,261,31.11111111111111,11.428571428571429,43.2936507936508,14.166666666666666,27
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.40145996911137805,0.29537818172362107,2.8214472976122664,-0.24018159766864028,2572.0201513484926,247,2174.9391044302156,0.0,4,1,261,30.555555555555557,8.095238095238095,52.023809523809526,9.325396825396826,27
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.31698576228953246,0.20260205981471863,3.9787144982319624,-0.3003388840787479,1411.5722484338019,286,2548.6933657483214,0.0,5,1,0,37.77777777777778,22.023809523809522,25.912698412698415,14.285714285714285,28
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.40176906720320726,0.22240809740286244,3.4559865508417107,-0.1705877672111342,2577.500059035258,240,3639.373598035713,0.0,4,1,251,30.07936507936508,16.46825396825397,44.404761904761905,9.047619047619047,28
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.4216166577322584,0.22513216542311834,3.559282289895159,-0.20324534794395555,2952.075970273099,233,3714.1160060409534,0.0,5,1,251,28.174603174603174,4.0476190476190474,64.76190476190476,3.015873015873016,28
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2330692182817049,0.2513078438167002,3.123268381617904,-0.39426246734126197,747.7358844950388,289,2296.565088344576,0.0,4,2,0,40.0,21.865079365079364,14.96031746031746,23.174603174603174,29
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3283619249569174,0.27543289199408033,2.960206869933225,-0.4679858282535992,1533.7429658732394,263,2716.4793453405964,0.0,4,3,240,33.05555555555556,17.539682539682538,26.23015873015873,23.174603174603174,29
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3117276931717321,0.2661903705754661,3.075630506475883,-0.4679858282536002,1358.112257892114,268,2856.679647618055,0.0,4,1,240,31.706349206349206,9.563492063492063,46.46825396825397,12.261904761904761,29
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.25646687818699676,0.26433909414416273,3.3188883508995852,-0.40638456340720125,896.4671771170109,312,3165.683133688335,0.0,1,1,0,40.63492063492063,30.992063492063494,0.5555555555555556,27.81746031746032,30
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3119327697083867,0.25131221433474443,2.9790408268221684,-0.27216114224337534,1360.1628088224093,283,2312.696167141729,0.0,3,3,291,34.24603174603175,32.261904761904766,12.936507936507939,20.555555555555554,30
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.33514146931699784,0.2530864448535482,3.252625627571149,-0.2231640824865396,1610.9775470429652,270,2767.1637557778804,0.0,2,1,291,29.682539682539684,8.214285714285714,55.35714285714286,6.746031746031746,30
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2585803557617168,0.30729362600860777,3.463153042126809,-0.4102385141525862,911.1264278160459,292,2415.075125257327,0.0,1,1,0,43.17460317460318,4.0476190476190474,0.873015873015873,51.90476190476191,31
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3691471083261202,0.3383595151578792,3.1484318556482704,-0.3042483045180717,2053.5480693463514,265,3699.3769434078754,0.0,2,2,258,33.80952380952381,4.0476190476190474,5.238095238095238,56.904761904761905,31
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3627792629302198,0.34327879632512986,3.1268384653685306,-0.3042483045180718,1963.204949548579,268,3378.120910370732,0.0,2,2,258,33.05555555555556,2.6587301587301586,8.253968253968253,56.03174603174603,31
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.38855218939132974,0.251691732311213,3.392481710508292,-0.17608821276891917,2352.2973998001908,283,3601.741499682102,0.0,4,2,0,37.976190476190474,33.05555555555556,10.198412698412698,18.76984126984127,32
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2816098364582498,0.24696883553873797,3.2659619262661086,-0.501501760277572,1085.3718220390303,304,2787.677063972832,0.0,4,2,285,30.039682539682538,25.634920634920633,34.88095238095238,9.444444444444445,32
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.290953556461492,0.2505630537776277,3.306352117204392,-0.46263248879859953,1164.1934335248734,308,2826.168185068265,0.0,5,1,285,28.92857142857143,18.61111111111111,47.5,4.9603174603174605,32
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.39715392321985443,0.24329437923239478,3.587960181541729,-0.2741835808989041,2496.7580608051408,311,3192.7622275779026,0.0,2,1,0,35.35714285714286,35.91269841269841,7.936507936507936,20.793650793650794,33
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.39380325947552963,0.23468390237009976,3.3790409220291644,-0.17451698851158945,2439.5666168425164,302,3028.7884054423407,0.0,4,2,269,30.198412698412696,30.198412698412696,32.02380952380952,7.579365079365079,33
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.45693510366771006,0.2500779336967931,3.4551048855868283,-0.17435805108406724,3740.969942451017,281,4892.849122580312,0.0,5,1,269,27.81746031746032,18.333333333333332,49.84126984126984,4.007936507936508,33
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2658093974872413,0.17814621901951286,3.6629058821425216,-0.24419465330365261,962.9063060941324,285,2445.084753482404,0.0,3,1,0,37.023809523809526,37.420634920634924,19.126984126984127,6.428571428571428,34
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.29391735298291866,0.21297669964168034,3.2981076724876743,-0.26920536405825674,1190.2458723995496,282,2879.4055539952487,0.0,4,2,261,30.634920634920636,29.96031746031746,32.8968253968254,6.507936507936509,34
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.30508684958665966,0.2255994537877111,3.537805064959119,-0.2973052350544686,1293.1901550778146,280,3635.734823437821,0.0,4,0,261,27.6984126984127,10.0,62.301587301587304,0.0,34
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.36112240704897625,0.25891657882977454,3.497235226052115,-0.2993396981435483,1940.290420387823,315,3473.5419618453684,0.0,4,1,0,35.63492063492063,27.22222222222222,13.80952380952381,23.333333333333332,35
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.40627821194980007,0.24268180135340855,3.2225002849118067,-0.205589125966772,2658.6401579211033,277,3089.572381867275,0.0,5,3,267,29.484126984126984,27.61904761904762,31.26984126984127,11.626984126984127,35
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.460399488994365,0.2538620239222792,3.4589073830156023,-0.20582021284114585,3827.7080746591423,271,4416.522968225597,0.0,5,1,267,26.34920634920635,10.0,59.523809523809526,4.1269841269841265,35
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.25210948022780966,0.31661959887792834,3.3396011510961734,-0.38998704941270945,866.909275986778,316,3224.0194397149207,0.0,2,2,0,41.94444444444444,8.174603174603174,7.896825396825396,41.98412698412699,36
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.320279407710393,0.3130394252624315,3.011981457702746,-0.3432472707690593,1446.0128163466406,278,3334.5391903438485,0.0,4,4,256,32.698412698412696,7.341269841269842,28.333333333333332,31.626984126984127,36
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3065942622433624,0.2907342343195287,3.0351191999213145,-0.28796957760540354,1307.6776984533928,277,2799.3989713003566,0.0,4,3,256,32.5,6.349206349206349,40.63492063492063,20.515873015873016,36
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2894479455465586,0.26500934929817205,3.330516853778835,-0.2844101181080975,1151.1555742698833,290,2445.513104848463,0.0,2,1,0,40.833333333333336,18.849206349206348,11.666666666666666,28.65079365079365,37
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3239751501194792,0.2849213970816287,2.9518574119323486,-0.24663781287943332,1485.5532067667107,264,2476.7717764924414,0.0,3,2,237,34.32539682539682,19.365079365079367,13.76984126984127,32.53968253968254,37
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.355747464002927,0.28675649358146377,3.0523920114410017,-0.24661161805782372,1867.5952392421825,245,2884.5493182279088,0.0,2,1,237,32.301587301587304,8.80952380952381,30.357142857142854,28.53174603174603,37
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.23878699472641896,0.24935599061400246,3.5828094618304376,-0.3778989882862287,781.8774283420416,295,2555.635785775199,0.0,1,2,0,39.08730158730159,23.57142857142857,5.674603174603175,31.666666666666664,38
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.19808498431103017,0.2537351330947579,2.9298472615194906,-0.4137703129157841,566.3870328598337,289,1969.718062513207,0.0,2,3,292,33.214285714285715,29.444444444444446,12.222222222222221,25.11904761904762,38
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.23018632802925287,0.2495590233367912,2.9523139626350314,-0.4137703129157842,731.0338331045244,278,2188.7707878161323,0.0,4,3,292,30.396825396825395,16.03174603174603,39.48412698412698,14.087301587301587,38
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2553750386928717,0.14278792916257274,3.8326425195895237,-0.23070703015054644,888.9772222132956,273,1363.4749645819602,0.0,2,0,0,37.420634920634924,45.07936507936508,17.5,0.0,39
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2776348425672186,0.16957269822822538,3.615233508846898,-0.16934573693697205,1053.3158651170575,280,1623.5704786758781,0.0,2,0,237,33.13492063492063,37.10317460317461,29.761904761904763,0.0,39
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3440077471088663,0.22653602746085957,3.5507396874285386,-0.21451442361384498,1717.2397846120941,272,3138.8412478288046,0.0,4,0,237,28.41269841269841,6.23015873015873,65.35714285714286,0.0,39
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.14040422511820272,0.24807928271723223,3.5785837135098904,-0.47036906879589085,351.8078363084281,344,1284.2109978759975,0.0,3,2,0,43.92857142857143,15.396825396825397,11.30952380952381,29.365079365079367,40
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.143400217950296,0.2545686136175498,3.1532107261314475,-0.557569899343611,360.8297048769973,330,979.1293997603321,0.0,4,3,328,33.65079365079365,7.976190476190475,39.32539682539682,19.047619047619047,40
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.16715256157858494,0.22876963693262892,3.211794054033836,-0.40860977267968424,440.02649570641216,313,1009.8305958276266,0.0,2,0,328,31.706349206349206,2.579365079365079,65.71428571428571,0.0,40
