strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,sortino,end_value,rebalances,trading_costs_total,funding_costs_total,turnover_notional,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,win_rate,profit_factor
EMA100 1x/Cash,0.08588837704181285,0.11723901471031938,0.5604411301672695,-0.3303116845286761,0.2600222186035215,0.611052693337317,1182.9709097936025,396,129.08943433565713,0.0,129089.43433565703,27.871241224003178,72.12875877599681,0.0,0.0,0.6726063829787234,1.1215630515420258
EMA200 1x/Cash,0.10428678338204533,0.12240654790795803,0.7262357449908439,-0.25968108259394174,0.40159561235778024,0.8177344436997881,1958.1447446157304,238,140.97122739815993,0.0,140971.22739815994,24.506557159888725,75.49344284011127,0.0,0.0,0.6612581460300572,1.1562904941826444
SMA20/50 Cross 1x,0.09120598571467564,0.11987963538820777,0.5752608885246119,-0.27355144966301503,0.3334143753470555,0.5961268403358216,1369.6575689565639,162,72.40859176766594,0.0,72408.59176766589,34.786064379388,65.213935620612,0.0,0.0,0.7044125465178097,1.1330725098611332
SMA50/200 Cross 1x,0.11985175889715571,0.13720310005236303,0.7381570716514504,-0.3371726149351548,0.3554611305553556,0.781654823521112,2979.7490552050826,30,23.970537759109025,0.0,23970.537759109026,28.21565770300702,71.78434229699297,0.0,0.0,0.6800478532500333,1.175140279083075
MACD 12/26/9 1x/Cash,0.07364713072994378,0.11426905974342878,0.5080655010637461,-0.3064010244888896,0.24036189452302006,0.46997311835486316,841.9489912420723,647,216.1129012597261,0.0,216112.90125972562,49.7814280037091,50.2185719962909,0.0,0.0,0.766299296242199,1.140597713027917
MACD 6/19/6 1x/Cash,0.05811974278584886,0.11971861691342901,0.36047550883089546,-0.4307539557065218,0.13492561592503768,0.31728757863119056,543.887728175081,1050,227.20556996635165,0.0,227205.5699663518,50.35103987283084,49.64896012716916,0.0,0.0,0.7696189085114858,1.09998851558924
MACD 19/39/12 1x/Cash,0.08321934042485224,0.11230246378704299,0.5988451268916741,-0.26483800117426093,0.3142273391879842,0.5611503797014377,1098.7909717679154,429,179.24820360836867,0.0,179248.2036083686,47.820903430918,52.179096569082,0.0,0.0,0.7592297476759629,1.1646768323815915
RSI14 30/70 1x/Cash,0.0991018551091234,0.1673033460061348,0.49318355617508386,-0.5721947913239811,0.1731960105400735,0.5021388548956229,1700.337688589218,55,31.84407415504132,0.0,31844.07415504132,36.87905682871904,63.12094317128096,0.0,0.0,0.7111553784860558,1.1214829082101903
RSI14 25/75 1x/Cash,0.1023643242418204,0.17704351757538642,0.48307926652315386,-0.5207400339002264,0.19657471593865083,0.5553522877300981,1858.4297990647108,22,13.046568049037015,0.0,13046.568049037014,20.89018413034839,79.10981586965161,0.0,0.0,0.6384901648059543,1.1067998327703525
RSI Oversold Bounce 1x,0.07348746650294502,0.114271364656799,0.4173303640997531,-0.28319030337238066,0.2594985267073668,0.19423103189782792,838.2013537259917,77,30.370311149563896,0.0,30370.3111495639,88.75347728175917,11.246522718240827,0.0,0.0,0.9485888432489731,1.2363588997252246
"BB(20,2.0) Reversion 1x",0.08827623831021136,0.12965243626480036,0.5744753700121502,-0.30449231412607486,0.2899128622132007,0.34962853913185216,1263.5400503636586,265,134.78695376674142,0.0,134786.95376674153,80.39475427208902,19.605245727910983,0.0,0.0,0.9137062566277837,1.259900825474609
"BB(20,1.5) Reversion 1x",0.0839615036619552,0.13877378389417064,0.5251880458260176,-0.3231929529154359,0.259787544575342,0.35277095177313406,1121.5985935848464,353,170.09446507097368,0.0,170094.46507097367,75.51993641541927,24.48006358458074,0.0,0.0,0.8916732962079024,1.2084888528608206
DualFilter (SMA200+RSI) 1x,0.058457694730131626,0.09012208136491712,0.46501674315314634,-0.27554962341527783,0.21214942704541706,0.44347549519706037,549.1225695062229,714,192.93561323966887,0.0,192935.6132396691,45.2245330507352,54.7754669492648,0.0,0.0,0.749302510960542,1.1139593216740953
MACD+SMA200 Trend 1x,0.06277719067669563,0.06306087979276212,0.5736414196353883,-0.25787244404950516,0.24344280331342402,0.42899812044614544,620.474083519169,487,157.16489863026172,0.0,157164.8986302617,67.86329315141079,32.13670684858922,0.0,0.0,0.8523089171974523,1.184839228850777
DD Scale 1x,0.09509021367136339,0.14943943347687824,0.4554345857591281,-0.5175193268072213,0.1837423430309589,0.41694172340167196,1523.7033165975538,7,4.444238944554897,0.0,4444.238944554897,50.94714531726056,49.05285468273944,0.0,0.0,0.7776745420759225,1.1302585346992802
BB Mean Reversion 1x,0.08827623831021136,0.12965243626480036,0.5744753700121502,-0.30449231412607486,0.2899128622132007,0.34962853913185216,1263.5400503636586,265,134.78695376674142,0.0,134786.95376674153,80.39475427208902,19.605245727910983,0.0,0.0,0.9137062566277837,1.259900825474609
