simulation,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,worst_daily_return
251,0.18553935901903662,0.2537681195621407,3.420333854758461,-0.31111054583454545,511.6732005942183,318,42.301587301587304,12.857142857142856,20.396825396825395,24.444444444444443,2,1,-0.1284263769260589
252,0.27851581166055484,0.2963475915106616,3.547685582971909,-0.3676244407729513,1060.3462175167174,344,43.69047619047619,13.968253968253968,7.896825396825396,34.44444444444444,1,2,-0.11482686346025879
253,0.22733121628678354,0.2633804062231604,3.51785939234442,-0.4481116523586016,714.8230984172151,329,37.301587301587304,28.055555555555557,6.865079365079366,27.77777777777778,2,1,-0.07608861915184166
254,0.19086928541687964,0.24412755349356266,3.374600138995833,-0.39673258352730223,534.3106169843874,338,38.53174603174603,35.317460317460316,1.1111111111111112,25.039682539682538,1,1,-0.09008440147406616
255,0.3116143077886546,0.15902848209968196,3.892242869727311,-0.14628298944365123,1356.9797126072865,289,32.57936507936508,44.12698412698413,23.293650793650794,0.0,5,0,-0.04905097422766237
256,0.28320577026992266,0.2054257731823801,3.7441864832437157,-0.24206008192520928,1098.4861746268357,287,38.05555555555556,22.857142857142858,22.22222222222222,16.865079365079367,4,2,-0.07136560567514204
257,0.35532305022308397,0.22075180787214055,3.36431801666838,-0.24186419067424217,1861.9604933744915,293,36.11111111111111,42.817460317460316,11.30952380952381,9.761904761904763,2,1,-0.1251553289388613
258,0.22739792014981242,0.2132281647122812,3.818304409354988,-0.3501835345181387,715.1981221718373,299,41.785714285714285,17.5,19.563492063492063,21.150793650793652,4,2,-0.09770117192798669
259,0.34968930884329263,0.24746134078425938,3.9330933891596898,-0.37046532743343585,1788.5940380926945,333,37.182539682539684,23.134920634920636,18.571428571428573,21.11111111111111,3,1,-0.08807730635367025
260,0.19908129367988225,0.1840277777665909,3.7338827760078552,-0.3079021175594432,570.9489925443376,318,37.22222222222222,35.03968253968254,15.95238095238095,11.785714285714285,2,1,-0.10543308670169782
261,0.2756235948497969,0.3097503242665621,2.9646602646680784,-0.4285490967556347,1037.4219465947006,279,41.11111111111111,21.30952380952381,0.7142857142857143,36.86507936507937,1,2,-0.15810903942915186
262,0.16172939929753172,0.30733765724069323,3.361427655394811,-0.41111728714364404,420.68633951828144,339,46.86507936507937,3.7301587301587302,13.015873015873018,36.388888888888886,2,1,-0.1284263769260589
263,0.33498810164341153,0.21888776710283006,3.4597892300153736,-0.21741578712039955,1609.1925021108113,292,37.301587301587304,29.00793650793651,24.92063492063492,8.769841269841269,4,2,-0.10583369511396025
264,0.26500059447225266,0.2812481333249138,3.0087328334341166,-0.30655821748953066,956.9848656306867,313,41.50793650793651,21.03174603174603,15.873015873015872,21.58730158730159,3,2,-0.15554014533033284
265,0.27928328365113586,0.2363391841239027,3.6961084629878624,-0.36519344071095716,1066.5050859781118,290,38.41269841269842,19.642857142857142,13.214285714285715,28.730158730158728,3,2,-0.056935359574977314
266,0.26715894678044716,0.259927117643985,3.737571943967571,-0.362996649984743,972.8598328664727,339,40.75396825396825,11.230158730158731,17.341269841269842,30.674603174603178,3,1,-0.09285810257234461
267,0.3188765018287887,0.16574909357383913,3.7716926393495087,-0.17156177549783386,1431.2520651005418,293,36.269841269841265,46.111111111111114,17.61904761904762,0.0,2,0,-0.04774216371786472
268,0.2530281977595594,0.1725746622238215,3.740696417352237,-0.21222025102563066,873.0675779344316,341,36.11111111111111,49.166666666666664,12.619047619047619,2.1031746031746033,2,1,-0.058239320542761416
269,0.27910331606468497,0.2621522112031005,3.6569154055765556,-0.41828218833033276,1065.0579973139502,328,40.91269841269841,9.880952380952381,23.84920634920635,25.357142857142854,4,1,-0.1581090394291522
270,0.37932979973953507,0.3474026138063998,3.4389630943864584,-0.30856569333471834,2205.7769799197217,324,44.24603174603175,10.158730158730158,0.2380952380952381,45.357142857142854,1,2,-0.10451325381922366
271,0.29771913348306356,0.24389554874740094,3.5350520596545616,-0.27864352386269037,1224.4290011285864,299,37.22222222222222,29.96031746031746,5.992063492063492,26.825396825396826,2,1,-0.08953607905256526
272,0.36100263074981087,0.31260449426348585,3.3462656468111542,-0.34618580535958826,1938.643229080177,301,43.2936507936508,9.682539682539684,14.047619047619047,32.976190476190474,4,3,-0.14668216079070376
273,0.3368261390415621,0.265256277220918,3.702940965427071,-0.2518157329629425,1630.702561608992,283,41.62698412698413,3.7301587301587302,20.357142857142858,34.285714285714285,2,2,-0.09827831296621871
274,0.2639691211775792,0.262064493775166,3.270648778844281,-0.3599151008911775,949.4805693343338,328,37.420634920634924,18.849206349206348,28.61111111111111,15.119047619047619,3,2,-0.13247991004269608
275,0.265342730692141,0.2628436488119141,3.387678564932878,-0.3170075797832529,959.4857315866016,317,39.8015873015873,25.873015873015877,7.063492063492063,27.26190476190476,2,2,-0.07348666067060254
276,0.24712006057915192,0.2203843861685182,3.114241501202561,-0.4705998165261954,834.1392837643373,272,36.42857142857142,37.5,8.69047619047619,17.38095238095238,2,1,-0.10539306332320113
