strategy,sell_pct_above_sma20,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,profit_exits,cross_reentries
SMA20 1x/cash (x_0p1000),0.1,+10.00% above SMA20,0.1494852759368568,0.17088050692621445,0.7957111472425944,-0.4073889958176023,0.36693498712907036,3581.4917819127895,14,149.85110947726685,1.851566116340071,1.851566116340071,6,6
SMA20 1x/cash (x_0p1200),0.12,+12.00% above SMA20,0.14509636375659807,0.17587409134229712,0.7258133134896833,-0.4158084547671292,0.3489500083346269,3245.418491700739,4,70.62934484961058,0.3548835056318469,0.35488350563184695,1,1
SMA20 1x/cash (x_0p1500),0.15,+15.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p1800),0.18,+18.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p2000),0.2,+20.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p2500),0.25,+25.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p3000),0.3,+30.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p4000),0.4,+40.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p5000),0.5,+50.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_0p7500),0.75,+75.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
SMA20 1x/cash (x_1p0000),1.0,+100.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0
