strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.30247965251870657,0.27419339960782746,3.039973379919033,-0.2366932184914551,1.2779396657265296,1268.4720097232675,283,2441.1171253718253,0.0,29.96031746031746,0.9126984126984128,63.25396825396825,5.873015873015873,4,1,284,17
Guarded A5/B25 SMA20 Lead,0.49876673213485034,0.2565546843870344,3.196215841039862,-0.22279003802265446,2.238729956516876,4916.217713670546,245,5238.512007393136,0.0,30.714285714285715,10.476190476190476,57.65873015873015,1.150793650793651,4,1,234,18
Guarded A5/B25 SMA20 Lead,0.41854447471891176,0.22484947069984348,3.5163080419165342,-0.1821064765856666,2.298350297947915,2891.079481720731,232,4807.8474239307525,0.0,29.166666666666668,2.0238095238095237,68.80952380952381,0.0,3,0,199,19
Guarded A5/B25 SMA20 Lead,0.280323323885282,0.2146805101483723,3.378946182997864,-0.2546327561562415,1.100892627157823,1074.9024492019066,256,2157.309080137994,0.0,27.34126984126984,3.4523809523809526,64.44444444444444,4.761904761904762,4,2,243,20
Guarded A5/B25 SMA20 Lead,0.3965975107788282,0.20230636732279447,3.7952366150019916,-0.25885599449417157,1.5321163859999312,2487.1784043759835,253,2951.232403906339,0.0,26.865079365079364,9.206349206349207,63.92857142857142,0.0,4,0,282,21
Guarded A5/B25 SMA20 Lead,0.38038694598988476,0.23850501143864314,3.501966788164989,-0.2945041760207241,1.2916181737372618,2222.146562968511,266,4083.66243463835,0.0,30.039682539682538,11.428571428571429,49.642857142857146,8.88888888888889,5,3,245,22
Guarded A5/B25 SMA20 Lead,0.27379523219937707,0.26047841751789413,3.335515617149146,-0.2832236450095574,0.9667103613123045,1023.160186767919,310,2177.8167102897964,0.0,31.19047619047619,2.8968253968253967,50.83333333333333,15.079365079365079,3,2,306,23
Guarded A5/B25 SMA20 Lead,0.28577661546671496,0.24007292204217312,3.5200228279243935,-0.4190648421087054,0.6819388952523593,1119.910619004573,305,3414.432211680992,0.0,30.555555555555557,10.674603174603174,51.66666666666667,7.103174603174603,4,1,288,24
Guarded A5/B25 SMA20 Lead,0.24475703421477357,0.28631494764020526,2.906757404534623,-0.2999961567512098,0.8158672326517615,819.0102569766678,283,2692.1838860345274,0.0,37.53968253968254,7.738095238095238,36.98412698412699,17.738095238095237,4,3,267,25
Guarded A5/B25 SMA20 Lead,0.416002695052079,0.2608219792905054,3.25083822443723,-0.35389762195503344,1.1754888115776507,2841.470508915558,274,5030.788067172564,0.0,31.785714285714285,6.071428571428571,62.142857142857146,0.0,4,0,255,26
Guarded A5/B25 SMA20 Lead,0.42458819676400394,0.23866447300374136,3.260855238746365,-0.19798527506324015,2.144544318401369,3012.1691417851043,234,3712.7878330911553,0.0,24.72222222222222,8.769841269841269,66.5079365079365,0.0,6,0,218,27
Guarded A5/B25 SMA20 Lead,0.32389783288396656,0.21864409741909216,3.45114285677816,-0.36440079422264715,0.8888505130042789,1484.7161712383363,273,2293.8214007443858,0.0,32.38095238095238,13.730158730158731,53.888888888888886,0.0,3,0,254,28
Guarded A5/B25 SMA20 Lead,0.3585472152575102,0.2484881471641362,3.4261429259095633,-0.28058061529452183,1.2778759319532742,1905.150841806859,294,1970.4657630907975,0.0,27.81746031746032,12.023809523809524,58.13492063492064,2.0238095238095237,4,1,284,29
Guarded A5/B25 SMA20 Lead,0.2694105157059268,0.31630798298700796,2.972229179024936,-0.4709784849801955,0.572022978326187,989.6716050469468,252,2651.362425839908,0.0,31.507936507936506,0.2380952380952381,15.714285714285714,52.539682539682545,5,5,298,30
Guarded A5/B25 SMA20 Lead,0.35912483376094273,0.2774550448814884,3.1601308906069057,-0.25347760310625106,1.4167911853356416,1912.9826754624548,283,4401.825170286366,0.0,30.714285714285715,3.293650793650794,60.59523809523809,5.396825396825397,4,1,263,31
Guarded A5/B25 SMA20 Lead,0.310052285284097,0.24395193933231418,3.1710808175463874,-0.31634772716512555,0.980099613999305,1341.4634449611817,263,2568.0692206410777,0.0,29.166666666666668,8.055555555555555,57.22222222222222,5.555555555555555,4,1,248,32
