Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
EMA100 1x/cash,1.0,7.2,13.83,0.388,0.429,0.201,-35.83,1448.25,1987-12-30,2026-06-18,38.47,31.7,13.4,516,1.0,1,1,1,0,0.2,0,1
EMA100 2x/cash,2.0,6.49,27.66,0.37,0.41,0.097,-66.6,1119.05,1987-12-30,2026-06-18,38.47,31.7,13.4,516,2.0,1,0,1,0,0.2,0,0
EMA200 1x/cash,1.0,8.64,14.33,0.402,0.456,0.248,-34.78,2418.31,1987-12-30,2026-06-18,38.47,27.8,7.5,288,1.0,1,1,1,0,0.2,0,1
EMA200 2x/cash,2.0,9.22,28.66,0.385,0.436,0.147,-62.5,2965.56,1987-12-30,2026-06-18,38.47,27.8,7.5,288,2.0,1,1,1,0,0.2,0,0
SMA200 +-1% Band 2x,2.0,11.55,28.12,0.396,0.438,0.205,-56.25,6682.5,1987-12-30,2026-06-18,38.47,30.9,2.9,110,2.0,1,1,1,1,0.2,0,0
SMA200 +-2% Band 2x,2.0,13.82,28.26,0.458,0.513,0.269,-51.45,14519.0,1987-12-30,2026-06-18,38.47,30.8,1.8,70,2.0,1,1,1,1,0.2,1,0
SMA200 +-5% Band 2x,2.0,13.63,28.62,0.442,0.495,0.231,-59.14,13625.01,1987-12-30,2026-06-18,38.47,31.3,0.9,36,2.0,1,1,1,1,0.2,1,0
SMA200 +-10% Band 2x,2.0,11.11,28.62,0.35,0.385,0.162,-68.7,5746.45,1987-12-30,2026-06-18,38.47,31.4,0.6,24,2.0,1,1,1,1,0.2,0,0
SMA50 +-3% Band 2x,2.0,6.52,27.72,0.235,0.259,0.099,-66.16,1134.09,1987-12-30,2026-06-18,38.47,36.6,4.1,156,2.0,0,0,1,0,0.2,0,0
SMA100 +-3% Band 2x,2.0,5.72,27.57,0.195,0.208,0.082,-69.4,848.05,1987-12-30,2026-06-18,38.47,36.0,3.0,116,2.0,0,0,1,0,0.2,0,0
SMA20/50 Cross 2x,2.0,6.9,28.52,0.267,0.292,0.103,-67.1,1300.55,1987-12-30,2026-06-18,38.47,36.5,5.6,214,2.0,0,0,1,0,0.2,0,0
SMA20/100 Cross 2x,2.0,8.62,28.27,0.313,0.344,0.144,-59.85,2405.38,1987-12-30,2026-06-18,38.47,35.2,3.4,132,2.0,0,0,1,0,0.2,0,0
SMA10/50 Cross 2x,2.0,5.86,27.88,0.242,0.267,0.088,-66.71,891.39,1987-12-30,2026-06-18,38.47,36.3,6.8,260,2.0,0,0,1,0,0.2,0,0
SMA50/200 Cross +-3% Band 2x,2.0,14.4,28.21,0.469,0.522,0.259,-55.62,17637.57,1987-12-30,2026-06-18,38.47,31.9,1.3,50,2.0,1,1,1,1,0.2,1,0
SMA200 +-3% Band + RSI>20 Exit 2x,2.0,14.71,28.3,0.483,0.539,0.264,-55.67,19575.6,1987-12-30,2026-06-18,38.47,31.8,1.3,50,2.0,1,1,1,1,0.2,1,0
SMA200 +-3% Band + RSI>25 Exit 2x,2.0,14.8,28.3,0.485,0.542,0.266,-55.67,20163.76,1987-12-30,2026-06-18,38.47,31.8,1.3,50,2.0,1,1,1,1,0.2,1,0
SMA200 +-3% Band + RSI>35 Exit 2x,2.0,12.48,30.04,0.399,0.433,0.185,-67.28,9196.05,1987-12-30,2026-06-18,38.47,30.5,1.3,50,2.0,1,1,1,1,0.2,0,0
SMA200 +-3% Band + RSI>40 Exit 2x,2.0,13.2,30.14,0.423,0.461,0.198,-66.74,11772.83,1987-12-30,2026-06-18,38.47,30.0,1.2,48,2.0,1,1,1,1,0.2,0,0
Above SMA20 AND SMA200 -> 2x,2.0,2.21,21.06,0.342,0.321,0.026,-84.29,231.15,1987-12-30,2026-06-18,38.47,52.6,22.0,848,2.0,0,0,0,0,0.2,0,1
Above SMA50 AND SMA200 -> 2x,2.0,5.47,22.96,0.354,0.358,0.072,-76.32,774.23,1987-12-30,2026-06-18,38.47,46.0,13.8,532,2.0,1,0,0,0,0.2,0,0
Above SMA20 AND SMA50 AND SMA200 -> 2x,2.0,1.37,20.19,0.261,0.236,0.016,-86.35,168.51,1987-12-30,2026-06-18,38.47,55.3,21.0,806,2.0,0,0,0,0,0.2,0,1
Target 12% annualized vol 1-3x,3.0,8.58,21.98,0.325,0.435,0.119,-72.26,2368.76,1987-12-30,2026-06-18,38.47,0.0,252.3,9707,0.77,0,0,0,0,0.2,0,0
Target 15% annualized vol 1-3x,3.0,8.24,22.78,0.322,0.429,0.114,-72.4,2095.73,1987-12-30,2026-06-18,38.47,0.0,252.1,9697,0.96,0,0,0,0,0.2,0,0
Target 20% annualized vol 1-3x,3.0,7.46,25.64,0.303,0.41,0.103,-72.73,1587.92,1987-12-30,2026-06-18,38.47,0.0,250.4,9633,1.28,0,0,0,0,0.2,0,0
Target 15% vol with SMA200 filter,3.0,7.69,15.59,0.366,0.391,0.221,-34.86,1723.53,1987-12-30,2026-06-18,38.47,31.0,177.0,6809,1.08,1,1,1,0,0.2,0,1
Guarded A5/B25 with SMA50 lead,2.0,5.36,25.89,0.364,0.397,0.074,-72.01,742.69,1987-12-30,2026-06-18,38.47,36.0,17.7,679,1.83,1,0,0,0,0.2,0,0
Guarded A5/B25 with SMA100 lead,2.0,7.17,26.07,0.376,0.4,0.106,-67.35,1432.23,1987-12-30,2026-06-18,38.47,34.6,11.8,455,1.86,1,0,1,0,0.2,0,0
Guarded A5/B25 with SMA200 lead,2.0,9.62,27.03,0.378,0.409,0.151,-63.6,3417.2,1987-12-30,2026-06-18,38.47,31.0,6.2,237,1.88,1,1,1,0,0.2,0,0
Guarded A10/B20 with SMA50 lead,2.0,4.97,23.56,0.311,0.327,0.072,-69.54,645.89,1987-12-30,2026-06-18,38.47,36.0,17.2,663,1.62,0,0,1,0,0.2,0,0
Guarded A3/B15 with SMA20 lead,2.0,3.19,26.49,0.447,0.47,0.039,-81.24,334.47,1987-12-30,2026-06-18,38.47,40.1,28.3,1090,1.92,1,0,0,0,0.2,1,0
Guarded A5/B15 with SMA20 lead,2.0,3.18,25.85,0.436,0.454,0.042,-75.23,333.14,1987-12-30,2026-06-18,38.47,40.1,28.2,1085,1.84,1,0,0,0,0.2,0,0
SMA200 2x + 10% trailing stop,2.0,10.83,27.85,0.419,0.465,0.168,-64.58,5205.44,1987-12-30,2026-06-18,38.47,31.2,6.2,240,2.0,1,1,1,1,0.2,1,0
SMA200 2x + 15% trailing stop,2.0,10.5,27.98,0.4,0.442,0.162,-64.78,4642.24,1987-12-30,2026-06-18,38.47,31.0,5.7,220,2.0,1,1,1,1,0.2,0,0
SMA200 +-3% Band 2x + 10% trailing stop,2.0,14.44,28.04,0.483,0.541,0.253,-57.03,17856.34,1987-12-30,2026-06-18,38.47,32.1,2.3,90,2.0,1,1,1,1,0.2,1,0
SMA200 +-3% Band 2x + 15% trailing stop,2.0,13.84,28.15,0.454,0.504,0.243,-56.93,14617.85,1987-12-30,2026-06-18,38.47,31.9,1.5,58,2.0,1,1,1,1,0.2,1,0
SMA200 2x + VIX>20 de-lever to 1x,2.0,10.5,23.42,0.492,0.544,0.214,-49.17,4653.34,1987-12-30,2026-06-18,38.47,31.0,14.7,567,1.76,1,1,1,1,0.2,1,0
SMA200 2x + VIX>25 de-lever to 1x,2.0,11.65,26.33,0.473,0.533,0.237,-49.2,6920.85,1987-12-30,2026-06-18,38.47,31.0,10.0,384,1.94,1,1,1,1,0.2,1,0
SMA200 2x + VIX>30 de-lever to 1x,2.0,11.38,27.56,0.436,0.487,0.185,-61.61,6301.43,1987-12-30,2026-06-18,38.47,31.0,6.8,263,1.99,1,1,1,1,0.2,1,0
SMA200 +-3% Band 2x + VIX>25 de-lever to 1x,2.0,14.39,26.27,0.518,0.587,0.349,-41.17,17562.03,1987-12-30,2026-06-18,38.47,31.9,6.0,232,1.93,1,1,1,1,0.2,1,0
Momentum 3m 2x/cash,2.0,6.3,27.77,0.324,0.351,0.098,-64.49,1046.72,1987-12-30,2026-06-18,38.47,35.2,12.6,486,2.0,0,0,1,0,0.2,0,0
Momentum 6m 2x/cash,2.0,12.32,28.21,0.487,0.543,0.207,-59.48,8697.51,1987-12-30,2026-06-18,38.47,31.5,6.4,248,2.0,1,1,1,1,0.2,1,0
Momentum 9m 2x/cash,2.0,11.09,29.05,0.409,0.447,0.188,-59.03,5693.92,1987-12-30,2026-06-18,38.47,31.9,4.9,190,2.0,1,1,1,1,0.2,0,0
"Keltner(20, 2ATR) breakout 2x",2.0,5.41,27.25,0.262,0.273,0.073,-74.47,756.41,1987-12-30,2026-06-18,38.47,40.8,8.8,337,2.0,0,0,0,0,0.2,0,0
"Keltner(20, 1.5ATR) breakout 2x",2.0,3.74,27.3,0.194,0.199,0.054,-69.44,410.11,1987-12-30,2026-06-18,38.47,39.9,11.3,433,2.0,0,0,1,0,0.2,0,0
Donchian(20) breakout 2x,2.0,6.0,0.15,-0.004,-0.336,4120.964,-0.0,939.31,1987-12-30,2026-06-18,38.47,100.0,0.0,1,0.0,0,1,1,0,0.2,0,1
Donchian(55) breakout 2x,2.0,6.0,0.15,-0.004,-0.336,4120.964,-0.0,939.31,1987-12-30,2026-06-18,38.47,100.0,0.0,1,0.0,0,1,1,0,0.2,0,1
MACD 2x/cash,2.0,2.63,27.31,0.229,0.219,0.031,-85.18,270.5,1987-12-30,2026-06-18,38.47,49.4,21.9,841,2.0,0,0,0,0,0.2,0,0
MACD 5/35/5 2x,2.0,1.45,27.62,0.272,0.263,0.017,-85.66,173.82,1987-12-30,2026-06-18,38.47,49.5,35.3,1358,2.0,0,0,0,0,0.2,0,0
MACD 8/17/9 2x,2.0,2.7,27.69,0.262,0.249,0.031,-86.24,277.93,1987-12-30,2026-06-18,38.47,49.9,26.9,1036,2.0,0,0,0,0,0.2,0,0
RSI 30/70 2x,2.0,4.91,15.21,0.131,0.03,0.088,-55.92,630.32,1987-12-30,2026-06-18,38.47,97.3,5.2,199,2.0,0,0,1,0,0.2,0,1
RSI 40/60 2x,2.0,1.81,25.16,0.085,0.046,0.022,-81.67,199.3,1987-12-30,2026-06-18,38.47,86.1,16.8,647,2.0,0,0,0,0,0.2,0,0
RSI 25/75 2x,2.0,4.52,12.22,-0.01,-0.001,0.089,-51.06,546.75,1987-12-30,2026-06-18,38.47,98.9,1.9,73,2.0,0,0,1,0,0.2,0,1
RSI momentum 2x,2.0,2.01,27.13,0.378,0.414,0.022,-89.51,214.75,1987-12-30,2026-06-18,38.47,37.8,27.8,1070,2.0,1,0,0,0,0.2,0,0
SMA200 + RSI>50 2x,2.0,2.75,22.02,0.35,0.345,0.032,-86.56,282.96,1987-12-30,2026-06-18,38.47,49.1,21.5,826,2.0,1,0,0,0,0.2,0,0
SMA200 + MACD bull cross 2x,2.0,1.91,5.19,0.134,0.037,0.045,-42.72,206.59,1987-12-30,2026-06-18,38.47,96.8,16.1,619,2.0,0,0,1,0,0.2,0,1
SMA200 +-3% Band + ADX>25 2x,2.0,6.34,20.06,0.434,0.357,0.102,-62.09,1061.76,1987-12-30,2026-06-18,38.47,64.3,15.1,579,2.0,1,0,1,0,0.2,0,1
SMA200 +-3% Band + low VIX (<20) 2x,2.0,10.02,20.39,0.526,0.505,0.274,-36.61,3931.64,1987-12-30,2026-06-18,38.47,51.8,10.3,396,2.0,1,1,1,0,0.2,1,1
"Sell in May (May-Oct -> cash, Nov-Apr -> 1x)",1.0,12.11,14.97,0.562,0.541,0.312,-38.79,8113.54,1987-12-30,2026-06-18,38.47,50.8,2.1,79,1.0,1,1,1,1,0.2,1,1
"Sell in May 2x (May-Oct -> cash, Nov-Apr -> 2x)",2.0,16.59,29.94,0.55,0.529,0.245,-67.76,36600.6,1987-12-30,2026-06-18,38.47,50.8,2.1,79,2.0,1,1,1,1,0.2,1,0
