name,fast,slow,signal,hist_pct,confirm_days,req_sma200,exit_sma200,final,full_return,full_max_dd,crash_return,crash_max_dd,y2008_return,bh_crash_return,crash_vs_bh,avg_leverage,rebalances,trading_costs
MACD 8/26/5 3x,8,26,5,0.1,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/5 3x,8,26,5,0.2,1,False,False,75273.84856282397,751.7384856282397,-0.5119182883557318,-0.16541340362294643,-0.5075951448708346,-0.3808299114226906,-0.37595493994012186,0.21054153631717543,1.1049284578696343,62,5863.472088158142
MACD 8/26/5 3x,8,26,5,0.2,1,True,False,20302.579662069777,202.02579662069778,-0.5119619778116834,-0.37595493994012086,-0.4857631397702349,-0.3758465002718233,-0.37595493994012186,9.992007221626409e-16,1.0241123476417595,20,240.69288056935335
MACD 8/26/5 3x,8,26,5,0.2,1,True,True,20670.736411862545,205.70736411862543,-0.5119619778116838,-0.37595493994012097,-0.48576313977023516,-0.3758465002718234,-0.37595493994012186,8.881784197001252e-16,1.0227874933757286,20,244.30251685524564
MACD 8/26/5 3x,8,26,5,0.2,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/5 3x,8,26,5,0.2,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/5 3x,8,26,5,0.2,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.0,1,False,False,5190.608146184307,50.906081461843065,-0.8198505195068023,-0.5582222609856304,-0.694178827313344,-0.5053703786309102,-0.37595493994012186,-0.18226732104550858,1.9973502914679386,749,11866.085944454375
MACD 8/26/9 3x,8,26,9,0.0,1,True,False,1603.3894478965674,15.033894478965674,-0.6587257810035946,-0.42509164046805037,-0.5181641047618364,-0.37584650027182387,-0.37595493994012186,-0.04913670052792851,1.6653418124006358,556,6063.72954480957
MACD 8/26/9 3x,8,26,9,0.0,1,True,True,1262.1476879536087,11.621476879536088,-0.7233924195450089,-0.4009103784733761,-0.4978975704037727,-0.3758465002718234,-0.37595493994012186,-0.024955438533254215,1.6428192898781133,556,4728.316397414364
