simulation,strategy,group,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
171,ADX trend strength,Long-hold momentum,0.248458086729195,0.33302736330574445,1.5187769945185103,-0.36032192933211105,842.8164935949396,177,37.976190476190474,24.365079365079364,1.984126984126984,35.67460317460318
171,Keltner trend channel,Long-hold momentum,0.39448833297390906,0.37089034743206806,2.164831762418377,-0.3502451193743997,2451.1634862477135,263,37.023809523809526,5.277777777777778,9.365079365079366,48.333333333333336
171,Monthly momentum regime,Long-hold momentum,0.24187035311042893,0.3689688007154014,0.7250614815042203,-0.623518139917839,800.8626254211821,22,43.84920634920635,3.492063492063492,2.5,50.15873015873016
171,Guarded A10/B20 SMA20,Reference,0.4565980669353853,0.2533046593954166,3.4122138002500453,-0.2437577424448793,3732.626301278462,289,40.23809523809524,29.08730158730159,16.547619047619047,14.126984126984127
171,SMA20 3x/cash,Reference,0.6974202091442354,0.4044292431517518,3.5712230548711994,-0.3422598715029817,16342.365961315552,286,40.23809523809524,0.0,0.0,59.76190476190476
171,SMA20 2x/cash,Reference,0.4838305720399825,0.26961669177501557,3.602239238202081,-0.226919067647525,4463.260093466696,286,40.23809523809524,0.0,59.76190476190476,0.0
171,Buy & hold 1x,Reference,0.20287246950329374,0.19381194084306286,0.7754887049047762,-0.26010219818962194,594.5564868369315,0,0.0,100.0,0.0,0.0
172,SMA stack momentum,Momentum trigger,0.171508019121541,0.2570526742874946,1.9883166310703784,-0.27377317259659845,456.1319895523492,338,38.13492063492063,23.730158730158728,9.365079365079366,28.76984126984127
172,SMA slope momentum,Momentum trigger,0.11497420570122996,0.264638076056636,2.021388678863828,-0.31946004320092386,282.99866366277286,365,29.603174603174605,21.984126984126984,23.293650793650794,25.11904761904762
172,MACD momentum,Momentum trigger,-0.019027508923848968,0.21599223931305322,2.333918839578797,-0.5171196976292032,82.24620798816241,424,38.13492063492063,28.253968253968253,19.28571428571429,14.325396825396824
172,RSI momentum,Momentum trigger,-0.04326971595913809,0.2534598150924258,3.0995880901587176,-0.5635397812296906,64.60056602103899,705,39.166666666666664,15.674603174603174,9.285714285714286,35.87301587301587
172,Donchian breakout momentum,Momentum trigger,0.11955416286409326,0.28159467534609967,1.2155950087103713,-0.30638912595866785,294.4189887400112,180,33.13492063492063,28.41269841269841,6.388888888888888,32.06349206349206
172,Vol-adjusted SMA stack,Momentum trigger,0.14765034142950872,0.2424605462820916,1.9923970116239267,-0.27377317259659795,373.9839857314916,340,39.44444444444444,22.936507936507937,10.476190476190476,27.142857142857142
172,Long-hold 3/6/12m momentum,Long-hold momentum,0.04823810151363839,0.34785727008663714,0.7919968463291025,-0.4850940749982938,155.9884832043758,145,32.46031746031746,16.11111111111111,7.579365079365079,43.84920634920635
172,SMA stack hysteresis,Long-hold momentum,0.050005203141645804,0.3078704352471919,1.0113336570248677,-0.5248593512734213,158.54490119468562,248,38.13492063492063,11.984126984126984,12.063492063492063,37.817460317460316
172,Absolute momentum trailing stop,Long-hold momentum,-0.1049715154226506,0.3179555442551109,1.4129218465556028,-0.7645228495998555,33.94816948380645,310,47.73809523809524,7.658730158730159,0.0,44.60317460317461
172,ADX trend strength,Long-hold momentum,0.0490589705199147,0.2686236436137751,1.1799731800435873,-0.4608982012784295,157.1713800011712,213,38.13492063492063,24.484126984126984,3.373015873015873,34.007936507936506
172,Keltner trend channel,Long-hold momentum,0.17762292304596317,0.30927533592331335,2.081521753195405,-0.41499041347069887,479.63528691035424,280,39.24603174603175,4.365079365079365,9.920634920634921,46.46825396825397
172,Monthly momentum regime,Long-hold momentum,0.029365504896890826,0.3393387413640786,0.20805934985902214,-0.6244417133604707,130.90117670576987,32,49.12698412698413,3.4523809523809526,9.404761904761905,38.01587301587301
172,Guarded A10/B20 SMA20,Reference,0.24039354485144382,0.23195434602778664,3.303516911994741,-0.20853229567497802,791.7185057140991,318,38.41269841269842,27.142857142857142,12.579365079365079,21.865079365079364
172,SMA20 3x/cash,Reference,0.28498452267780094,0.32734126695777727,3.71166958430109,-0.3119197240824605,1113.2700419244643,314,38.41269841269842,0.0,0.0,61.58730158730159
172,SMA20 2x/cash,Reference,0.23025112182891205,0.21824303798786718,3.7504913635643726,-0.20853229567497908,731.4055119728845,314,38.41269841269842,0.0,61.58730158730159,0.0
172,Buy & hold 1x,Reference,0.1370458407711017,0.18439631997538167,0.4792722689336788,-0.238177286914234,345.38938693597964,0,0.0,100.0,0.0,0.0
173,SMA stack momentum,Momentum trigger,0.2816848907521756,0.3128994774716972,2.2693768676755406,-0.3126009345026748,1085.9854104726896,401,22.817460317460316,22.22222222222222,15.833333333333332,39.12698412698413
173,SMA slope momentum,Momentum trigger,0.28608168803499745,0.31356896307446164,2.104507245744656,-0.29016826770360465,1122.477676806739,357,18.412698412698415,26.071428571428573,25.07936507936508,30.436507936507933
173,MACD momentum,Momentum trigger,0.06702058774429198,0.24800755711956554,2.364461515263281,-0.288326281710439,185.15214074462136,441,22.817460317460316,36.07142857142857,24.08730158730159,17.023809523809526
173,RSI momentum,Momentum trigger,0.030410187598506333,0.26416476436140285,3.512274229311904,-0.4865698463826551,132.18893532756437,693,36.388888888888886,14.603174603174605,9.563492063492063,39.44444444444444
173,Donchian breakout momentum,Momentum trigger,0.24765234111829781,0.29653679968525387,1.3912496407088624,-0.29253639258413877,837.5815281143574,137,18.015873015873016,34.24603174603175,6.944444444444445,40.79365079365079
