strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,simulation
SMA20 1x/cash,4.220244055638826,0.5328867594578194,3.7821182236871698,-0.33944781418995856,835631208.0672096,280,44.24603174603175,68
SMA20 1x/cash,4.053507400455185,0.5001909654054106,3.975734828362775,-0.21530603249264885,610881361.9069632,300,43.84920634920635,69
SMA20 1x/cash,4.424220365113574,0.55878941516837,3.760935505081393,-0.3394478141899584,1209675614.437544,314,45.83333333333333,70
SMA20 1x/cash,4.618046074865934,0.5213047034482704,3.9992851254806014,-0.2632575165967792,1697563162.3594255,282,46.507936507936506,71
SMA20 1x/cash,3.4237346761029723,0.5023024140840504,3.630935978686259,-0.3271403353623223,169081642.14947152,267,48.41269841269841,72
SMA20 1x/cash,4.545636737108907,0.5839404577061349,3.6933348274267592,-0.28486927702796067,1497799937.161717,336,48.96825396825397,73
SMA20 1x/cash,3.6398055642689826,0.5066267135346402,3.7976335911694754,-0.3271403353623225,267900760.9654716,316,49.047619047619044,74
SMA20 1x/cash,3.653007340512932,0.5278070717702104,3.6095971506661346,-0.20063953669967044,275348532.0799257,286,49.60317460317461,75
SMA20 1x/cash,3.966013198405954,0.5062160575012233,3.9893788816392175,-0.20941501475699062,516124248.2908664,345,49.920634920634924,76
SMA20 1x/cash,4.214130204336094,0.588046050260204,3.4601915950157993,-0.3394478141899585,826233790.5975233,274,45.27777777777778,77
SMA20 1x/cash,3.143461969201777,0.46878479961634456,3.7937691879871682,-0.20941501475699045,89900487.92409359,299,53.84920634920635,78
SMA20 1x/cash,4.453298530315098,0.5428377738784964,3.9084755309501737,-0.33944781418995856,1273731443.2347794,338,45.317460317460316,79
SMA20 1x/cash,4.61952041882025,0.5394531706687554,3.9278158356304704,-0.21119766074451882,1701867451.0006769,310,48.25396825396825,80
SMA20 1x/cash,3.756866300375166,0.5033965424679109,3.8695903948168135,-0.33944781418995834,340728275.59567434,317,50.51587301587301,81
SMA20 1x/cash,5.932026243655714,0.5758979623174829,4.07655734552206,-0.2745952953145639,12903665102.125391,314,43.96825396825397,82
SMA20 1x/cash,2.9728465498198346,0.5063679430979976,3.482794812080121,-0.3271403353623223,59912999.29401755,307,52.301587301587304,83
SMA20 1x/cash,4.3599719312656715,0.5719702870271923,3.6371290589526195,-0.28486927702796067,1078269280.476973,299,43.05555555555556,84
SMA20 1x/cash,7.246503781752846,0.6160647599028064,4.1428501693156985,-0.33944781418995856,68942340559.52673,329,43.84920634920635,85
SMA20 1x/cash,4.506399283888606,0.5478999187671116,3.966479432595486,-0.3306054278047352,1398598571.2217927,379,43.2936507936508,86
SMA20 1x/cash,3.754655107276432,0.5653152390598255,3.4851532139523034,-0.19247633567054936,339202784.28936756,311,47.85714285714286,87
SMA20 1x/cash,5.006624865676279,0.5612992113579399,3.8905619350964042,-0.3394478141899585,3236973068.874679,296,45.87301587301587,88
