strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,exit_pct,entry_pct,y_le_x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage
SMA20 1x/cash entry-0.5%/exit-1.5%,2.0000924542137444,0.3761416249502462,3.587389987459959,-0.26159793861320896,7.645673604374316,265492875.99726033,282,50442839.23619238,31.81554524361949,asymmetric_xy,0.015,0.005,True,,,,,,,,,
SMA20 1x/cash entry-1%/exit-1.5%,2.0968922841457314,0.3776883371340141,3.6936663354252754,-0.23289272157144356,9.003683197984683,407253411.6111014,300,78155065.11586565,30.916473317865428,asymmetric_xy,0.015,0.01,True,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-1.5%,2.203020997014277,0.3802703528287482,3.794147811868132,-0.2223211663027443,9.909182439310923,641244785.5340264,318,125635670.24254659,29.988399071925755,asymmetric_xy,0.015,0.015,True,,,,,,,,,
SMA20 1x/cash entry-2%/exit-1.5%,2.2874327742804543,0.3819596164999138,3.916374788518355,-0.22232116630274448,10.288866383354415,910393601.494653,354,179045617.27657098,28.973317865429234,asymmetric_xy,0.015,0.02,False,,,,,,,,,
SMA20 1x/cash entry-3%/exit-1.5%,2.4065723778336467,0.3867892557457389,4.131711974769944,-0.22232116630274423,10.824755995371643,1470724024.0788662,442,283535486.0623611,27.1461716937355,asymmetric_xy,0.015,0.03,False,,,,,,,,,
SMA20 1x/cash entry-0%/exit-2%,1.7236566099417785,0.37782205009750436,3.253487844444186,-0.28981179122831796,5.94750338706494,72181690.67594206,250,13210779.420097638,31.69953596287703,asymmetric_xy,0.02,0.0,True,,,,,,,,,
SMA20 1x/cash entry-0.5%/exit-2%,1.8783123888819948,0.38071044232471046,3.393563127840792,-0.2615978966290978,7.180150961019111,151909113.38755578,258,26771324.807516377,30.655452436194896,asymmetric_xy,0.02,0.005,True,,,,,,,,,
SMA20 1x/cash entry-1%/exit-2%,1.9695573419325618,0.38226837588962226,3.4979820619241497,-0.2328926920314814,8.45693063510265,231309534.7872281,276,41400509.61320138,29.78538283062645,asymmetric_xy,0.02,0.01,True,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-2%,2.0807747560138927,0.3848467462618366,3.598900494918004,-0.22232116630274426,9.359319180524686,379605882.4247858,290,65760562.635832086,28.973317865429234,asymmetric_xy,0.02,0.015,True,,,,,,,,,
SMA20 1x/cash entry-2%/exit-2%,2.1856236188109572,0.3865453389014158,3.7205130634224806,-0.22232116630274418,9.83092907957626,595876057.3212879,316,99623204.78419471,28.045243619489558,asymmetric_xy,0.02,0.02,True,,,,,,,,,
SMA20 1x/cash entry-3%/exit-2%,2.328300530968586,0.39135776086336577,3.938058654976283,-0.22232116630274443,10.472689441535394,1075277242.9326074,394,177591799.65623355,26.30510440835267,asymmetric_xy,0.02,0.03,False,,,,,,,,,
SMA20 1x/cash entry-0%/exit-3%,1.4548058491642974,0.38871228967295135,2.8228783775216764,-0.35872534689808633,4.055486632723522,17795987.83993264,206,2737042.8683903967,29.147331786542924,asymmetric_xy,0.03,0.0,True,,,,,,,,,
SMA20 1x/cash entry-0.5%/exit-3%,1.5799504562975146,0.3914993552614043,2.945268801545061,-0.3247569668679463,4.86502405640449,34774444.30264288,212,5027948.456674897,28.219257540603248,asymmetric_xy,0.03,0.005,True,,,,,,,,,
SMA20 1x/cash entry-1%/exit-3%,1.654584435439876,0.393235536664026,3.029700860034942,-0.28361133924725834,5.833985481086052,51065224.60388394,224,7585101.877390648,27.291183294663572,asymmetric_xy,0.03,0.01,True,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-3%,1.7420115599483705,0.39593030800518,3.104368737162467,-0.26269194457671846,6.631385529370966,79018126.97280887,230,11480190.464003364,26.5661252900232,asymmetric_xy,0.03,0.015,True,,,,,,,,,
SMA20 1x/cash entry-2%/exit-3%,1.844295795094875,0.39772661715471946,3.2135986551694766,-0.26269194457671846,7.020755044722178,129425740.17641698,246,17956288.823241744,25.60904872389791,asymmetric_xy,0.03,0.02,True,,,,,,,,,
SMA20 1x/cash entry-3%/exit-3%,2.0301068513297618,0.40254736712683536,3.431633132198764,-0.2626919445767183,7.72808947225588,303599184.272173,298,41989755.009189144,24.129930394431554,asymmetric_xy,0.03,0.03,True,,,,,,,,,
SMA20 1x/cash entry-0%/exit-5%,1.2826161738249189,0.4018426281422336,2.472747346880037,-0.3959041589070408,3.239713817015194,6680185.486786718,158,740537.6560627157,24.94199535962877,asymmetric_xy,0.05,0.0,True,,,,,,,,,
SMA20 1x/cash entry-0.5%/exit-5%,1.3656512781213141,0.4039999892685528,2.5596332335433942,-0.3869402963825535,3.529359156667274,10810847.789166931,162,1163528.8798377942,24.33294663573086,asymmetric_xy,0.05,0.005,True,,,,,,,,,
SMA20 1x/cash entry-1%/exit-5%,1.41406267929393,0.40538671548093086,2.6141255559303604,-0.3631079678483057,3.894331175582128,14203403.22707395,168,1654248.29993683,23.607888631090486,asymmetric_xy,0.05,0.01,True,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-5%,1.4844584201969107,0.4082938030489852,2.6684688799401255,-0.29011060231205216,5.11687062922361,20920785.806870334,168,2142647.7798471963,22.940835266821345,asymmetric_xy,0.05,0.015,True,,,,,,,,,
SMA20 1x/cash entry-2%/exit-5%,1.5562935935487996,0.40995219337687494,2.735711519025251,-0.27072573690407176,5.748598605164209,30715655.997337073,172,2989574.33124267,22.331786542923435,asymmetric_xy,0.05,0.02,True,,,,,,,,,
