strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,exit_pct,entry_pct,y_le_x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,beats_cagr_vs_sma,beats_sharpe_vs_sma,beats_max_dd_vs_sma,fewer_rebalances_vs_sma,cagr_delta_pp_vs_sma,sharpe_delta_vs_sma,max_dd_delta_pp_vs_sma,rebalances_delta_vs_sma,cagr_delta_pp_vs_guard,sharpe_delta_vs_guard,max_dd_delta_pp_vs_guard,rebalances_delta_vs_guard,beats_cagr_vs_guard,beats_sharpe_vs_guard,beats_max_dd_vs_guard,fewer_rebalances_vs_guard
SMA20 1x/cash entry-3%/exit-5%,1.6950594562151822,0.4151848148181672,2.883303851210722,-0.26269194457671835,6.452651066047994,62613353.36633135,200.0,6211264.452577215,20.93967517401392,asymmetric_xy,0.05,0.03,True,,,,,,,,,,False,False,False,True,-59.95163018275509,-1.2861364198294094,-3.2624038168816205,-202.0,-69.62483148000946,-1.2092054599260562,-6.7789436009307895,-162.0,False,False,False,True
SMA20 1x/cash entry-1%/exit-3%,1.654584435439876,0.393235536664026,3.029700860034942,-0.28361133924725834,5.833985481086052,51065224.60388394,224.0,7585101.877390648,27.291183294663572,asymmetric_xy,0.03,0.01,True,,,,,,,,,,False,False,False,True,-62.91688728601641,-1.1317269222478585,-10.123878275485037,-164.0,-72.59008858327078,-1.0547959623445053,-13.640418059534207,-124.0,False,False,False,True
SMA20 1x/cash entry-0.5%/exit-3%,1.5799504562975146,0.3914993552614043,2.945268801545061,-0.3247569668679463,4.86502405640449,34774444.30264288,212.0,5027948.456674897,28.219257540603248,asymmetric_xy,0.03,0.005,True,,,,,,,,,,True,False,True,False,24.432580894412446,-0.016546644793252074,3.5165397840491526,24.0,14.759379597158073,0.06038431511010112,-1.6653345369377348e-14,64.0,True,True,False,False
SMA20 1x/cash entry-2%/exit-5%,1.5562935935487996,0.40995219337687494,2.735711519025251,-0.27072573690407176,5.748598605164209,30715655.997337073,172.0,2989574.33124267,22.331786542923435,asymmetric_xy,0.05,0.02,True,,,,,,,,,,False,False,False,True,-66.99120427305316,-1.3404797438391745,-10.562140370506972,-202.0,-76.66440557030754,-1.2635487839358213,-14.078680154556142,-162.0,False,False,False,True
SMA20 1x/cash entry-1.5%/exit-5%,1.4844584201969107,0.4082938030489852,2.6684688799401255,-0.29011060231205216,5.11687062922361,20920785.806870334,168.0,2142647.7798471963,22.940835266821345,asymmetric_xy,0.05,0.015,True,,,,,,,,,,False,False,False,True,-71.83234439031474,-1.3949720662261407,-12.945373223931755,-208.0,-81.50554568756911,-1.3180411063227875,-16.461913007980925,-168.0,False,False,False,True
SMA20 1x/cash entry-0%/exit-3%,1.4548058491642974,0.38871228967295135,2.8228783775216764,-0.35872534689808633,4.055486632723522,17795987.83993264,206.0,2737042.8683903967,29.147331786542924,asymmetric_xy,0.03,0.0,True,,,,,,,,,,True,False,True,True,10.164889678649569,-0.23409223634705434,3.5165397840491774,-54.0,0.49168838139519444,-0.15716127644370115,8.326672684688674e-15,-14.0,True,False,True,True
SMA20 1x/cash entry-1%/exit-5%,1.41406267929393,0.40538671548093086,2.6141255559303604,-0.3631079678483057,3.894331175582128,14203403.22707395,168.0,1654248.29993683,23.607888631090486,asymmetric_xy,0.05,0.01,True,,,,,,,,,,False,False,False,True,-80.13585481995426,-1.4818579528894977,-13.841759476380483,-212.0,-89.80905611720864,-1.4049269929861445,-17.358299260429654,-172.0,False,False,False,True
SMA20 1x/cash entry-0.5%/exit-5%,1.3656512781213141,0.4039999892685528,2.5596332335433942,-0.3869402963825535,3.529359156667274,10810847.789166931,162.0,1163528.8798377942,24.33294663573086,asymmetric_xy,0.05,0.005,True,,,,,,,,,,False,False,False,True,-5.386787069469978,-0.5229721675707708,-0.5205380433482343,-72.0,-15.059988366724353,-0.4460412076674176,-4.037077827397403,-32.0,False,False,False,True
SMA20 1x/cash entry-0%/exit-5%,1.2826161738249189,0.4018426281422336,2.472747346880037,-0.3959041589070408,3.239713817015194,6680185.486786718,158.0,740537.6560627157,24.94199535962877,asymmetric_xy,0.05,0.0,True,,,,,,,,,,False,False,False,True,-23.96789269295865,-0.7410066446000583,-0.5205380433482509,-124.0,-33.64109399021302,-0.6640756846967051,-4.03707782739742,-84.0,False,False,False,True
,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,-52.768112847566194,-1.218893780744284,-1.3239172760835805,-198.0,-62.441314144820566,-1.1419628208409307,-4.840457060132749,-158.0,False,False,False,True
,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,-52.768112847566194,-1.218893780744284,-1.3239172760835805,-198.0,-48.56472787818231,-0.9943704886554596,-4.037077827397409,-130.0,False,False,False,True
,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,-38.89152658092794,-1.0713014485588128,-0.5205380433482398,-170.0,-62.441314144820566,-1.1419628208409307,-4.840457060132749,-158.0,False,False,False,True
,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,-38.89152658092794,-1.0713014485588128,-0.5205380433482398,-170.0,-48.56472787818231,-0.9943704886554596,-4.037077827397409,-130.0,False,False,False,True
