strategy,sma_type,period,leverage,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,pct_days_in_market,borrowing_costs,trading_costs
SMA100d @ 1x/cash,daily,100,1.0,0.2192091448815936,380.93797504594266,-0.16400696846542118,-0.03519105326597705,0.04108672752120206,503.0,0.11108586194773415,0.09095168263609917,2.0319434294796137,2.48175933364413,1.3365843349992237,0.7022799575821845,1.521118540346575,0.22572018729277782,0.05543448436034493,-0.05894405927443824,0.1674487429595417,-0.0707097390392476,0.2702375766600255,0.1652719664174266,0.1418122488380844,0.18424701186191123,0.08980571226345506,5.113705601116208,37811.859529548325,0.0,0.0,0.0,69.54160042395337,0.0,14023.962460926348
SMA100d @ 2x/cash,daily,100,2.0,0.2979638851911459,2495.968811858835,-0.31338087108226925,-0.07939240231152013,0.09466828429325838,800.0,0.2221571676861424,0.1819465838036915,1.9117589735723872,2.3342617926019638,0.9508043173219847,0.6992182324102292,1.4854941757470246,0.4247109588674083,0.1106842465052796,-0.1179179995011439,0.23134215859438934,-0.13987859682779835,0.5403828438981484,0.19010795245764311,1.0547241836981875,0.21343898068130754,0.08814928610235906,5.108641774423833,247199.91237402466,0.0,0.0,0.0,69.54160042395337,20400.527818156374,107706.33692645504
SMA100d @ 3x/cash,daily,100,3.0,0.36315167132255,10857.575829407997,-0.4568065220406541,-0.14098540861234646,0.16717802751253238,936.0,0.33323100680715545,0.27294065053890043,1.8716797587896197,2.285118501808314,0.7949791734589788,0.698820723466278,1.4737646794888457,0.6237017304420387,0.16593400865021427,-0.17689193972784956,0.2970418134294066,-0.20600172187372368,0.8105281111362714,0.20137698431971135,1.4824963160468967,0.2860783002645112,0.08759529834410426,5.106809066157843,1074999.0071113918,0.0,0.0,0.0,69.54160042395337,143849.50992967328,482995.09840716445
SMA120d @ 1x/cash,daily,120,1.0,0.212533864591415,322.94597686200603,-0.15686988906171842,-0.037473210575940184,0.043296709596350715,251.0,0.11195850560700613,0.09105653765884292,1.9618149029754979,2.4121482154044984,1.3548416835291845,0.6990986214209968,1.4971317265002926,0.21964186481469042,0.05543448436034493,-0.05894405927443824,0.16744874295954149,-0.06266734346134417,0.27425791604419686,0.15779425973810313,0.10911738677035059,0.18374854099049487,0.12966819495890078,5.1358627755117015,32070.651709338596,0.0,0.0,0.0,70.08479067302596,0.0,12106.15718933549
SMA120d @ 2x/cash,daily,120,2.0,0.2835274250246054,1784.2925123726568,-0.3019410846405058,-0.08391721851337083,0.09768294255365495,561.0,0.22390125252672696,0.1821975922993128,1.842427042461706,2.2641447523554628,0.9390157201103523,0.6959056578773022,1.4623657034490505,0.41252172249628904,0.1106842465052796,-0.1179179995011439,0.23134215859438934,-0.1252245385973081,0.5484270912678134,0.17406592724959327,0.9973802958159189,0.2134892971022214,0.12749531950012885,5.130794714569238,176743.95872489302,0.0,0.0,0.0,70.08479067302596,15182.362012422287,80452.46795087981
SMA120d @ 3x/cash,daily,120,3.0,0.3401123508780943,6510.996425004298,-0.4301033614993818,-0.14505529817355,0.1668648408268332,892.0,0.335846512123874,0.2733324496829854,1.8026138677140433,2.214890990367374,0.7907688740037508,0.695508148933351,1.450917083516992,0.6054015801778878,0.16593400865021427,-0.17689193972784956,0.3473681207764705,-0.18512361711874714,0.8225962664914295,0.1759289601813821,1.4132265906166988,0.2871513164791635,0.12676826834283744,5.128965157974359,644687.6460754254,0.0,0.0,0.0,70.08479067302596,90233.64726407907,304798.04104338225
SMA150d @ 1x/cash,daily,150,1.0,0.21884441885029537,377.5255682029501,-0.12403683343724728,-0.03502989734422155,0.04134165001933082,367.0,0.11295824625979424,0.09209548537552273,1.8607142503220468,2.2822293367580095,1.764350256176228,0.6939289501590669,1.4608627557838878,0.21018301850698617,0.051152220494071754,-0.04097922480422822,0.16744874295954193,-0.06577773136683518,0.2788721415372353,0.16318385286726977,0.057819550970751504,0.18317877137096594,0.0577902217194429,4.223326894425049,37474.03125209206,0.0,0.0,0.0,70.90620031796503,0.0,12369.0120602419
SMA150d @ 2x/cash,daily,150,2.0,0.2967630721296366,2427.597510694422,-0.2520369512863838,-0.08349915252518596,0.09732423431546847,474.0,0.22590088326969646,0.18430376869114837,1.7421567353162177,2.13535918498603,1.1774585853977877,0.6903405326619849,1.4273527916532027,0.3935547453021843,0.10207864733129478,-0.08204011627292815,0.23134215859438956,-0.13111063436435444,0.5576609913204688,0.1854585645067123,0.908227919742956,0.2135620771910824,0.05505393952346112,4.219896131163048,240431.15355874778,0.0,0.0,0.0,70.90620031796503,21276.38569162587,94463.41869669255
SMA150d @ 3x/cash,daily,150,3.0,0.3607006159420898,10286.932551990893,-0.3966965469808319,-0.13722852330189583,0.15834929560237138,510.0,0.3388460207918244,0.27650309926971656,1.7026213580705638,2.0865099654257993,0.9092607906151464,0.6898105207367166,1.416315580443664,0.5769264720973825,0.1530050741685178,-0.12310100774162806,0.3473681207764707,-0.1934429864894065,0.8364498411037026,0.19375216667926676,1.3083551088310188,0.2884039396884981,0.05414082117839801,4.218642835775367,1018505.3226470983,0.0,0.0,0.0,70.90620031796503,146773.68695160164,413301.659352445
SMA200d @ 1x/cash,daily,200,1.0,0.2198948874682667,387.4345295462835,-0.10797363210998788,-0.033044876678175905,0.037691632534062075,250.0,0.11534414437770618,0.09647339462241226,1.5526511096738294,1.856358579102167,2.036560993375398,0.6852637158759608,1.3703254210969293,0.17908921376242384,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.0710181960640709,0.2875461691914948,0.16250305752345867,-0.11238086575507146,0.1824375555283875,-0.12897464276090564,5.122571755906248,38455.01842508207,0.0,0.0,0.0,71.78060413354531,0.0,8745.447586474558
SMA200d @ 2x/cash,daily,200,2.0,0.298641842459765,2535.387934417268,-0.21291824103747356,-0.06911285815281965,0.0806496364806385,371.0,0.23067342653865713,0.19304503501950376,1.4362931897081865,1.7162558547576812,1.4026127634935897,0.6818603418576918,1.3393901512868198,0.33131467158412486,0.10207864733129478,-0.13753391084657318,0.22409477172772907,-0.14126333706676486,0.5750307112343491,0.18387048283777102,0.6131338287591078,0.2148355892412097,-0.13255364955411103,5.123455412468025,251102.40550730954,0.0,0.0,0.0,71.78060413354531,22750.164070618084,69876.94323318546
SMA200d @ 3x/cash,daily,200,3.0,0.3631026263811319,10845.863097945383,-0.31345207764040706,-0.10972461360417007,0.12794568920183783,473.0,0.3460051562107714,0.28961742130633844,1.3974939989370394,1.6695823311484037,1.1583991693865372,0.6813303299324235,1.3291980060498745,0.48354012940582586,0.1530050741685178,-0.20641098531369442,0.3473681207764707,-0.20835153438676068,0.8625152532772032,0.19095173708195198,0.9703537636580791,0.2926236140275713,-0.13374376269671004,5.123621985347211,1073839.446696593,0.0,0.0,0.0,71.78060413354531,161982.03209026696,316212.2002990135
SMA250d @ 1x/cash,daily,250,1.0,0.21640609778101916,355.45791171346445,-0.13969387908531114,-0.033353903906900906,0.038965064302618486,267.0,0.11804031549797493,0.10015058893745658,1.4216141401723799,1.6755546163300645,1.54914516797733,0.679697853167241,1.3339838796237755,0.16780778162233007,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.0951162682235509,0.3008055993609915,0.1563677955719744,-0.17585751385374887,0.18073679014389954,-0.22648487754337512,5.5206654494430305,35289.33325963298,0.0,0.0,0.0,72.76099629040806,0.0,8884.746549989084
SMA250d @ 2x/cash,daily,250,2.0,0.2904350550024226,2096.151470564091,-0.2740581071915569,-0.07278356289247397,0.08538695651603026,363.0,0.23606535135549614,0.20035437313038945,1.3076590105324595,1.540734943547401,1.0597572098074035,0.6761627136610574,1.3044260122363247,0.3086929837745255,0.10207864733129478,-0.13753391084657318,0.2240947717277295,-0.1884249355186659,0.6015561943122627,0.17036942900820762,0.5077142855078977,0.2148871573830975,-0.22970638231041787,5.520195118522023,207617.99558584503,0.0,0.0,0.0,72.76099629040806,19185.736070466224,69563.70638459308
SMA250d @ 3x/cash,daily,250,3.0,0.34900249522109394,7939.514736181699,-0.392857769289144,-0.11897730618878394,0.1385571546714153,784.0,0.35409277388315064,0.30056861783985017,1.2696621311879133,1.4957589024356044,0.888368571283689,0.675632701735789,1.2946849203906468,0.44957818592672083,0.1530050741685178,-0.20641098531369442,0.3473681207764716,-0.2781936194678385,0.9023067892635336,0.1689095454417088,0.8448734620308396,0.2958862989102301,-0.23077560338471548,5.519904124184266,786110.9588819882,0.0,0.0,0.0,72.76099629040806,120819.34019635012,293679.442340856
SMA300d @ 1x/cash,daily,300,1.0,0.21137924543125308,313.81966016129076,-0.14298656861687153,-0.03291600880466779,0.038292442693148514,250.0,0.1208052655294182,0.1024750788104688,1.2407412235882291,1.4626782892852848,1.4783153933684343,0.672806785051683,1.2849110857798363,0.14988807296887122,0.051152220494071754,-0.06865683637945197,0.1617965745380805,-0.09245304165232138,0.31472165920434814,0.14856341312233828,-0.27777573613321244,0.1789343875817701,-0.22853121204301566,5.495305485969696,31167.146355967783,0.0,0.0,0.0,73.59565447800742,0.0,4934.270432650546
SMA300d @ 2x/cash,daily,300,2.0,0.2790759598155772,1607.611223799748,-0.275366819794952,-0.07078602206390594,0.08412183497212658,521.0,0.2416028576413123,0.20500354317721656,1.1291401502434235,1.3307257169722437,1.0134698146399308,0.6692725586325692,1.2570056518384358,0.2728034869763518,0.10207864733129478,-0.13753391084657318,0.22409477172772907,-0.18424122414387034,0.6293982158152857,0.15345329730123025,0.34059982653926246,0.21494955978484456,-0.23146028671212543,5.493535146862299,159252.51115617505,0.0,0.0,0.0,73.59565447800742,15287.382201059647,30766.568509733264
SMA300d @ 3x/cash,daily,300,3.0,0.3301661261201738,5206.960293388788,-0.39158910209729675,-0.11952632186940726,0.13701350931023104,548.0,0.36240277101568474,0.30754134538103295,1.0919312230278335,1.2867177273141948,0.8431443172239728,0.6687425467073009,1.247806973765754,0.39571890098383244,0.1530050741685178,-0.20641098531369442,0.34736812077647095,-0.27062851311765057,0.9440747724262231,0.14173663340039472,0.6553067324532855,0.29929067881027877,-0.232432116825123,5.4928177746123135,515588.06904549006,0.0,0.0,0.0,73.59565447800742,83155.20693294292,104960.69731980957
SMA3m @ 1x/cash,monthly,3,1.0,0.22322823721897023,420.56598523397685,-0.11866588416709574,-0.032835413616326824,0.03813202833964835,259.0,0.11082643137924571,0.08848740523086843,2.350983103271699,2.9444989022868873,1.8811492349784222,0.713016967126193,1.6437895544169867,0.260551067568507,0.07075754864749229,-0.05894405927443824,0.16744874295954126,-0.07375712477283891,0.2722715512747221,0.16888509429515858,0.3320760977852937,0.18357046404760438,0.4219952039695744,6.774075853733227,41735.03253816371,0.0,0.0,0.0,68.20349761526232,0.0,27858.769599545674
