strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,sortino,end_value,rebalances,trading_costs_total,funding_costs_total,turnover_notional,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,win_rate,profit_factor
SMA50 Cash/3x,0.08082209122154449,0.3283707610533589,0.3858865158534967,-0.8583003692175266,0.09416527607372034,0.4084731159025636,1028.1423544193221,524,355.2687574039237,0.0,355268.75740392384,33.911776394224404,0.0,0.0,66.0882236057756,0.6935633709356337,1.0859967437763007
SMA100 Cash/3x,0.10458990044081196,0.33935458937875473,0.399122589891187,-0.8896338186457353,0.11756511302597088,0.42857461277065806,1974.331670671659,348,306.20906586200465,0.0,306209.0658620047,30.467611604185986,0.0,0.0,69.53238839581401,0.6795382165605095,1.086578999053005
SMA200 Cash/3x,0.13586299833534787,0.3486336255731079,0.5083549998623387,-0.6642675744919296,0.20453052889005424,0.5556668704186656,4561.596274155812,206,360.82579905641467,0.0,360825.7990564147,28.228904490661016,0.0,0.0,71.77109550933899,0.6717091295116773,1.1098098531337317
EMA10 Cash/2x,0.02816701516155984,0.22801501104935615,0.2683030670260071,-0.8313900512883348,0.03387942292298519,0.2681006934638501,229.8401822478024,1404,362.4499694384336,0.0,362449.96943843324,38.402437408928336,0.0,61.597562591071664,0.0,0.7125979025620602,1.0637642216736678
EMA20 Cash/2x,0.0620298151229941,0.22287174817695446,0.42725657007955153,-0.7280878000900249,0.08519551503997784,0.448479323235239,607.5183858593628,954,417.1735586778374,0.0,417173.5586778377,35.554378063319646,0.0,64.44562193668035,0.0,0.7020175205734006,1.0994484802804587
EMA50 Cash/2x,0.08806327556681892,0.2201134396733989,0.49469548624668397,-0.545007641264055,0.16158172638198381,0.5432769699120675,1256.1442756557565,596,415.8101545696445,0.0,415810.15456964436,31.7393032189694,0.0,68.2606967810306,0.0,0.6860480552236825,1.109088476359008
EMA100 Cash/2x,0.09457241707802067,0.22924731968123138,0.42783619681851975,-0.6628790464432762,0.14266919068487013,0.46797513885568215,1502.239977316001,398,219.31751551588005,0.0,219317.5155158802,27.91098158696516,0.0,72.08901841303484,0.0,0.6706491437674234,1.0913828034191448
EMA200 Cash/2x,0.1261547352614747,0.23882415409919802,0.584761475481754,-0.48117733690999104,0.26217929562437636,0.6599036097394438,3526.1079619661114,244,353.32536657934827,0.0,353325.3665793482,24.572791098158696,0.0,75.4272089018413,0.0,0.6582127207542159,1.1237845389765575
EMA10 Cash/3x,0.016154575572433272,0.34634277451680445,0.17455014992190301,-0.9716417555179641,0.01662606148890912,0.17191832765550236,161.55865078043362,1404,390.8261245090154,0.0,390826.1245090157,38.402437408928336,0.0,0.0,61.597562591071664,0.7095276008492569,1.0413793951844654
EMA20 Cash/3x,0.05549426572852467,0.3369296389604889,0.35367574505409966,-0.9330699018229012,0.059474928534408576,0.36827677008578935,504.83040857818145,954,460.6660359548763,0.0,460666.0359548773,35.554378063319646,0.0,0.0,64.44562193668035,0.6993099787685775,1.0819386592765396
EMA50 Cash/3x,0.08575519212578886,0.3309719435166388,0.43667077996624903,-0.8093000302470403,0.10596217585660034,0.47982330116439736,1178.6264711996128,596,491.34916747865617,0.0,491349.16747865634,31.7393032189694,0.0,0.0,68.2606967810306,0.6829462508294625,1.0957590089400089
EMA100 Cash/3x,0.09782847222889268,0.3442342814868629,0.3782241743242569,-0.8358904905512919,0.11703503429542811,0.41400818407928214,1642.2290236221745,398,259.9808075683736,0.0,259980.8075683736,27.91098158696516,0.0,0.0,72.08901841303484,0.6670205706702057,1.0804043454110377
EMA200 Cash/3x,0.1381644581052459,0.35804212453503337,0.5385950459703234,-0.6376915145892786,0.21666347276744655,0.6083629773837943,4847.136554644795,244,555.4541743162399,0.0,555454.1743162401,24.572791098158696,0.0,0.0,75.4272089018413,0.654943596549436,1.1135193071586837
SMA20/50 Cross 2x,0.1394174839971698,0.2787918112203867,0.5299182759600869,-0.6342191375753049,0.21982541323205634,0.686809499550313,5009.7849388964105,163,132.36228751131216,0.0,132362.28751131217,0.013246787653993907,34.772817591734004,65.213935620612,0.0,0.5418660287081339,1.099832211800405
SMA20/50 Cross 3x,0.14052691944362516,0.38293326373904185,0.4751488634748639,-0.8053009889835953,0.17450235547455392,0.5969704104378012,5158.188102624672,163,233.77832271738103,0.0,233778.32271738115,0.013246787653993907,34.772817591734004,0.0,65.213935620612,0.5393706015137432,1.0909093038668345
SMA50/200 Cross 2x,0.1642281480412724,0.30220547131163383,0.5918611015928,-0.5934106069866362,0.27675297021606976,0.7556178660748362,9559.543208448875,31,40.92527601352447,0.0,40925.27601352447,0.013246787653993907,28.202410915353028,71.78434229699297,0.0,0.5421926910299003,1.1158838990306843
SMA50/200 Cross 3x,0.18493874343041639,0.4270116130711585,0.5745391154501407,-0.7681682246404173,0.24075292038666005,0.7153847555367837,16223.32338045842,31,111.15590007870692,0.0,111155.90007870692,0.013246787653993907,28.202410915353028,0.0,71.78434229699297,0.5393810599017134,1.1153805800814258
SMA20/100 Cross 3x,0.15123423755626075,0.3897031685380736,0.4866479420010005,-0.7811693869764795,0.19359980060357168,0.622578303120847,6826.926262489978,91,156.33609347935885,0.0,156336.09347935885,0.013246787653993907,29.990727248642205,0.0,69.9960259637038,0.5393094289508632,1.0917118516547328
SMA10/50 Cross 3x,0.15035688583695994,0.3758274758055548,0.519928628410259,-0.8330791264874213,0.1804833191187034,0.6616085824589205,6672.576409388756,193,331.83430546501825,0.0,331834.30546501826,0.013246787653993907,34.37541396211419,0.0,65.61133925023182,0.5399840595111584,1.0990490979302583
Dual SMA10/50 Tiered 1x/3x,0.04725291115587971,0.2717169751090157,0.3277649147273175,-0.8641119117275353,0.0546837863412987,0.33253107111074304,399.0528616435614,1318,391.610580655487,0.0,391610.5806554866,33.911776394224404,16.134587362564577,0.0,49.95363624321102,0.6951672862453532,1.0758211645180324
Dual SMA20/50 Tiered 1x/3x,0.06341095836468402,0.2923097135477179,0.35858727435579313,-0.8578817345150087,0.0739157343180089,0.37094704626852437,631.6693053685107,995,372.18564057707806,0.0,372185.64057707804,33.911776394224404,9.829116439263478,0.0,56.25910716651212,0.6940536235731352,1.0817503391064867
Dual SMA20/100 Tiered 1x/3x,0.06822295869474049,0.2768566920487042,0.34783418714518005,-0.8399511889223081,0.08122252768315424,0.36589931447815277,723.2775970023202,929,367.0967544248819,0.0,367096.75442488154,30.467611604185986,16.134587362564577,0.0,53.397801033249436,0.6801221617315097,1.0771240107599886
Dual SMA50/200 Tiered 1x/3x,0.0968230829510297,0.28808693107417727,0.44624985504234277,-0.6097298360781069,0.1587966952278625,0.47392716529527323,1597.7105689694292,593,373.2191418742458,0.0,373219.1418742453,28.228904490661016,14.756921446549212,0.0,57.01417406278977,0.6742796441375647,1.0973450950062424
SMA20/SMA50 Tiered 1x/2x/3x,0.058173385587066084,0.2955371412431787,0.35975845724697075,-0.850026853877994,0.06843711504132764,0.3949675908476052,544.7154166858666,1680,405.4159659633368,0.0,405415.9659633374,27.354616505497418,6.557159888726984,19.512518214333024,46.575705391442575,0.663083864118896,1.0767186371308042
SMA20/SMA100 Tiered 1x/2x/3x,0.07558844643210638,0.29884914874380036,0.4005274665395327,-0.7941502518669052,0.09518154310775759,0.45882437127185954,888.8313845362927,1587,436.54890766013125,0.0,436548.90766013117,21.59226387601007,8.875347728175917,23.923698503112995,45.60868989270102,0.6393790632877803,1.0817842438196428
SMA50/SMA200 Tiered 1x/2x/3x,0.09384517816594284,0.29837386231622126,0.4894833996931817,-0.6370534059979119,0.1473113200280895,0.5660629723298469,1472.587828301092,1368,608.8130235190049,0.0,608813.0235190052,20.99615843158034,7.232746059080673,26.692277122797723,45.078818386541265,0.6393790632877803,1.0997996157043375
SMA200 Trend 3x,0.1646466808686633,0.38033760603453665,0.5555099433709875,-0.7602624399745376,0.2165655860549649,0.7181442129935727,9663.166068521876,207,396.70916324017674,0.0,396709.16324017674,0.013246787653993907,28.228904490661016,0.0,71.757848721685,0.5394317578332448,1.10329087983801
Golden Cross 3x,0.17888005488360048,0.4089720215169642,0.5590342764954958,-0.7681682246404172,0.2328657306377584,0.6927897396963614,13911.071423021769,29,94.24349024533628,0.0,94243.49024533629,0.013246787653993907,33.19644986090873,0.0,66.79030335143727,0.5389420520999468,1.1127340502279897
MACD Momentum 3x,0.1158068457744097,0.3751379224222902,0.45258318824372273,-0.8862193363844235,0.1306751511954994,0.5608759207753591,2673.256913376543,648,668.601059049028,0.0,668601.059049028,0.013246787653993907,49.754934428401114,0.0,50.231818783944895,0.5418549030029232,1.0938136990720984
MACD + SMA200 3x,0.11833401519399134,0.2603981565724346,0.5312968414147793,-0.6793392593847107,0.17418986693212532,0.6912696448595556,2860.961761231694,488,750.7208982603622,0.0,750720.8982603617,0.013246787653993907,67.85004636375679,0.0,32.13670684858922,0.5426026850990296,1.1012125566956894
RSI Momentum 3x,0.11158255430047781,0.3599157902865378,0.44904549171722175,-0.8947998499012907,0.12470113211662583,0.5676541648382523,2385.769487693079,517,515.615156913817,0.0,515615.1569138168,0.013246787653993907,49.595972976553185,0.0,50.39078023579282,0.5446808510638298,1.089211902594792
RSI Oversold 2x,0.12978385308155915,0.2724663446679184,0.5047712318257962,-0.6461235231653817,0.2008653894006885,0.5955915274835047,3883.3698351193084,78,62.02748417697845,0.0,62027.48417697845,0.013246787653993907,88.74023049410518,11.246522718240827,0.0,0.5439787092481704,1.1179970563340107
