strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.6533391003694662,0.42159159897854787,2.916743908090243,-0.45104455038946956,1.4485023703430595,12677.384280998958,300,9829.014836161428,0.0,31.785714285714285,10.793650793650794,37.579365079365076,19.841269841269842,8,2,206,10
Guarded A5/B25 SMA20 Lead,0.9506533476593308,0.34961268224288483,3.688967973560972,-0.23300141344355885,4.080032535466196,62537.60830214837,310,66642.92303390123,0.0,30.793650793650794,9.484126984126984,52.22222222222223,7.5,11,3,192,11
Guarded A5/B25 SMA20 Lead,0.8341951010146591,0.3569636041603767,3.3577960167589556,-0.3014584478670748,2.7671976251350214,34524.54637607566,269,42020.17336293892,0.0,34.007936507936506,10.476190476190476,43.214285714285715,12.3015873015873,6,4,162,12
Guarded A5/B25 SMA20 Lead,0.88859064646767,0.3526336318870696,3.242814254702497,-0.1973921072641305,4.501652364846819,45774.167571934755,245,48075.03707770279,0.0,28.452380952380953,8.373015873015872,50.91269841269841,12.261904761904761,9,5,185,13
Guarded A5/B25 SMA20 Lead,0.7627368312917853,0.3313776717116726,3.525430718264268,-0.2823379083656772,2.701503442123355,23527.28695469522,292,31051.373604572873,0.0,32.57936507936508,9.206349206349207,48.25396825396825,9.96031746031746,7,5,225,14
Guarded A5/B25 SMA20 Lead,0.9463477184473232,0.4073263903075801,3.2740608180117943,-0.3353478109402975,2.821988656475241,61218.06443613924,274,141002.76886956452,0.0,31.626984126984127,10.476190476190476,38.96825396825397,18.928571428571427,8,3,178,15
Guarded A5/B25 SMA20 Lead,1.3238022242541478,0.44825356863283056,3.3080342611870077,-0.34564674398990464,3.8299282353222814,338684.6354571595,276,211951.9725663327,0.0,32.34126984126984,5.079365079365079,50.23809523809524,12.341269841269842,8,3,157,16
Guarded A5/B25 SMA20 Lead,0.7281291160226993,0.42874159435028664,3.0920964678796237,-0.29650414868958813,2.4557130793639645,19429.647836731343,299,26125.84572433945,0.0,36.46825396825397,6.071428571428571,27.023809523809522,30.436507936507933,5,3,216,17
Guarded A5/B25 SMA20 Lead,1.0070153133880293,0.36429316744370727,3.3736603830743035,-0.28045817995253947,3.5906077460762296,82324.45799662407,252,82544.51236390248,0.0,32.301587301587304,9.365079365079366,52.301587301587304,6.031746031746032,7,4,166,18
Guarded A5/B25 SMA20 Lead,1.0295291219794884,0.3642228412379589,3.404323394390399,-0.35846722720998225,2.8720313708801415,91681.93257674224,241,96901.04394578021,0.0,32.261904761904766,2.142857142857143,56.388888888888886,9.206349206349207,6,3,174,19
