start_date,peak_date,trough_date,recovery_date,depth,calendar_days_to_recovery,trading_days_to_recovery
2014-05-14,2014-05-13,2014-05-15,2014-05-23,-0.01401880221900409,9.0,7
2014-05-28,2014-05-27,2014-05-28,2014-05-29,-0.0011140717108722997,1.0,1
2014-06-03,2014-06-02,2014-06-03,2014-06-04,-0.00037921654875650024,1.0,1
2014-06-10,2014-06-09,2014-06-12,2014-06-18,-0.010844236813913999,8.0,6
2014-06-23,2014-06-20,2014-06-24,2014-07-01,-0.006566922251856955,8.0,6
2014-07-07,2014-07-03,2014-07-17,2014-07-23,-0.013760147420884605,16.0,12
2014-07-25,2014-07-24,2014-08-07,2014-08-21,-0.03944206428135111,27.0,19
2014-08-22,2014-08-21,2014-08-22,2014-08-25,-0.0019925870761225983,3.0,1
2014-08-28,2014-08-27,2014-08-28,2014-08-29,-0.0016899010514689339,1.0,1
2014-09-02,2014-08-29,2014-09-04,2014-09-05,-0.002855174389686521,3.0,3
2014-09-08,2014-09-05,2014-09-15,2014-09-18,-0.011744702428869158,10.0,8
2014-09-19,2014-09-18,2014-10-15,2014-10-31,-0.07401459519995712,42.0,30
2014-11-03,2014-10-31,2014-11-04,2014-11-05,-0.002948426995476483,2.0,2
2014-11-12,2014-11-11,2014-11-12,2014-11-14,-0.0007011166816754955,2.0,2
2014-11-19,2014-11-18,2014-11-19,2014-11-20,-0.0015011590075549863,1.0,1
2014-11-25,2014-11-24,2014-11-25,2014-11-26,-0.0011500296768531815,1.0,1
2014-11-28,2014-11-26,2014-12-01,2014-12-03,-0.009354426551109074,5.0,3
2014-12-04,2014-12-03,2014-12-04,2014-12-05,-0.0011618962070774064,1.0,1
2014-12-08,2014-12-05,2014-12-16,2014-12-22,-0.049451481498734906,14.0,10
2014-12-24,2014-12-23,2014-12-24,2014-12-26,-0.00013929653841071588,2.0,1
2014-12-30,2014-12-29,2015-01-15,2015-02-13,-0.04682934377363013,45.0,31
2015-02-18,2015-02-17,2015-02-19,2015-02-20,-0.001376032736513877,2.0,2
2015-02-23,2015-02-20,2015-02-23,2015-02-24,-0.0003033391953459752,1.0,1
2015-02-25,2015-02-24,2015-02-27,2015-03-02,-0.005190302234066579,5.0,3
2015-03-03,2015-03-02,2015-03-11,2015-04-24,-0.036436323142079674,52.0,37
2015-04-27,2015-04-24,2015-05-06,2015-05-14,-0.017726881697124885,17.0,13
2015-05-19,2015-05-18,2015-05-20,2015-05-21,-0.0015732921249511644,2.0,2
2015-05-22,2015-05-21,2016-02-11,2016-07-11,-0.14160750444640424,416.0,285
2016-07-15,2016-07-14,2016-07-15,2016-07-18,-0.0009289473209127541,3.0,1
2016-07-19,2016-07-18,2016-07-19,2016-07-20,-0.0014351736522938419,1.0,1
2016-07-21,2016-07-20,2016-07-21,2016-07-22,-0.003612528916297486,1.0,1
2016-07-25,2016-07-22,2016-08-02,2016-08-05,-0.008275747809247003,11.0,9
2016-08-08,2016-08-05,2016-08-10,2016-08-11,-0.003380928116160087,3.0,3
2016-08-12,2016-08-11,2016-08-12,2016-08-15,-0.0007960463737501922,3.0,1
2016-08-16,2016-08-15,2016-11-04,2016-11-21,-0.04792821285465132,97.0,68
2016-11-28,2016-11-25,2016-12-01,2016-12-07,-0.010061679602712648,9.0,7
2016-12-12,2016-12-09,2016-12-12,2016-12-13,-0.0011374349205595102,1.0,1
2016-12-14,2016-12-13,2016-12-30,2017-01-06,-0.01447796955711278,23.0,15
2017-01-09,2017-01-06,2017-01-19,2017-01-24,-0.005836695612828402,15.0,10
