strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days,cap_type,default_cap,allow_3x_dd,mode,use_spx_lead,min_margin,score_lambda,trigger_a,trigger_b
"flat cap 1x, 3x if DD<=-20% + momentum + SPX lead",0.09407882534149947,0.1813657638943191,2.5741358201462425,-0.6135910295548868,0.15332496860285988,1468.7004088556096,906,3699.9078428633647,,37.86433492315845,51.49708532061473,0.7154213036565978,9.923158452570217,,,,risk_cap_sweep,37.86433492315845,3398.0,286.0,flat,1.0,0.2,momentum,True,0.0,,,
"flat cap 1x, 3x if DD<=-20% + momentum + SPX lead min_m=0.5%",0.09407882534149947,0.1813657638943191,2.5741358201462425,-0.6135910295548868,0.15332496860285988,1468.7004088556096,906,3699.9078428633647,,37.86433492315845,51.49708532061473,0.7154213036565978,9.923158452570217,,,,risk_cap_sweep,37.86433492315845,3398.0,286.0,flat,1.0,0.2,momentum,True,0.005,,,
"flat cap 1x, 3x if DD<=-25% + greedy",0.17633501950986497,0.1871578773224204,2.9076621429593605,-0.35924543896562156,0.4908483181236424,12920.410868126422,912,23708.11172999463,,34.44621091679915,56.92898781134075,0.43720190779014306,8.187599364069953,,,,risk_cap_sweep,34.44621091679915,4013.0,0.0,flat,1.0,0.25,greedy,False,0.0,,,
"flat cap 1x, 3x if DD<=-25% + greedy min_m=0.5%",0.13811933179813574,0.1813202517375283,2.8444170836633393,-0.35544071738196814,0.3885861271479154,4797.759238766385,924,16190.9903029048,,40.62003179650239,51.311605723370434,0.3047164811870694,7.763645998940117,,,,risk_cap_sweep,40.62003179650238,3764.0,0.0,flat,1.0,0.25,greedy,False,0.005,,,
"flat cap 1x, 3x if DD<=-25% + greedy + SPX lead",0.18869024810204005,0.18581873935978124,3.009908297789175,-0.35924543896562156,0.525240483624058,17676.15896478534,927,28861.349557636477,,34.85691573926868,56.531531531531535,0.4239533651298357,8.187599364069953,,,,risk_cap_sweep,34.85691573926868,3983.0,31.0,flat,1.0,0.25,greedy,True,0.0,,,
"flat cap 1x, 3x if DD<=-25% + greedy + SPX lead min_m=0.5%",0.1511568208547147,0.18018358638486212,2.92278974881102,-0.33995770587616414,0.4446341949071052,6751.789017398282,923,18783.434551655897,,40.85850556438791,51.0863804981452,0.29146793852676206,7.763645998940117,,,,risk_cap_sweep,40.85850556438792,3747.0,18.0,flat,1.0,0.25,greedy,True,0.005,,,
"flat cap 1x, 3x if DD<=-25% + best_margin",0.179606825310775,0.18033285341143868,3.0313495677965547,-0.33180450897666547,0.5413031482444564,14042.967419908053,956,26069.21560912316,,34.64493905670376,57.33969263381028,0.5961844197138315,7.419183889772126,,,,risk_cap_sweep,34.64493905670376,3791.0,0.0,flat,1.0,0.25,best_margin,False,0.0,,,
"flat cap 1x, 3x if DD<=-25% + best_margin min_m=0.5%",0.13956804788539978,0.17664584497419147,2.9363712299274742,-0.3559947572223666,0.39205085202482565,4984.367830245686,945,16545.418683590022,,40.62003179650239,51.51033386327504,0.50344462109168,7.366189719130896,,,,risk_cap_sweep,40.62003179650238,3704.0,0.0,flat,1.0,0.25,best_margin,False,0.005,,,
"flat cap 1x, 3x if DD<=-25% + best_margin + SPX lead",0.1937487917211227,0.17903649920919157,3.1273201597686584,-0.33180450897666547,0.5839245292918798,20077.409671577392,961,32402.600297136738,,34.949655537890834,57.04822469528352,0.5829358770535241,7.419183889772126,,,,risk_cap_sweep,34.949655537890834,3769.0,23.0,flat,1.0,0.25,best_margin,True,0.0,,,
"flat cap 1x, 3x if DD<=-25% + best_margin + SPX lead min_m=0.5%",0.15263701473955726,0.17547817792787376,3.0179598446676135,-0.3402720832960522,0.44857342765540986,7017.116668751496,944,19243.33448327379,,40.85850556438791,51.28510863804981,0.49019607843137253,7.366189719130896,,,,risk_cap_sweep,40.85850556438792,3687.0,18.0,flat,1.0,0.25,best_margin,True,0.005,,,
