Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
B-decay conv SMA50 e3% N5 d1% SL2.0% 2x,B-decay,2,4.244420755602785,12.630574131231388,0.3134167339620476,0.21751159135147993,0.060938551776811005,-69.65083074419103,2400.646611466077,22.84119952749141,1747,72.5562542223146,2.0,conv,50,0.03,0.03,0.02,0.0,decay,5,0.01,Neither
B-decay conv SMA50 e3% N5 d1% SL2.0% 3x,B-decay,3,2.8047051446208338,18.96700998062606,0.3001461725641234,0.20806982800314652,0.030392448816779008,-92.28296020268091,828.6561483907162,22.84119952749141,1747,72.5562542223146,3.0,conv,50,0.03,0.03,0.02,0.0,decay,5,0.01,Neither
B-decay conv SMA50 e3% N5 d2% 1x,B-decay,1,5.669266715348131,7.251395931211077,0.20893810826636472,0.16655394433945048,0.18754594123478965,-30.228682519184723,6780.656354879865,12.172385094501717,931,63.26976043236502,1.0,conv,50,0.03,0.03,0.0,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% 2x,B-decay,2,5.232272581302255,14.44802600459407,0.22324555746082428,0.1776543444118224,0.0765584043944392,-68.34354271994599,4938.772476147572,12.172385094501717,931,63.26976043236502,2.0,conv,50,0.03,0.03,0.0,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% 3x,B-decay,3,4.164875451323735,21.68880840397059,0.21485943166557747,0.1710956366552078,0.045234772103267006,-92.07243139891787,2264.497991257861,12.172385094501717,931,63.26976043236502,3.0,conv,50,0.03,0.03,0.0,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% SL1.0% 1x,B-decay,1,5.379730302520658,6.682931932502058,0.15781934829637678,0.11398259633505783,0.18024559847027413,-29.84666670464009,5497.077379231038,12.172385094501717,931,68.79904380813802,1.0,conv,50,0.03,0.03,0.01,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% SL1.0% 2x,B-decay,2,4.709412251991307,13.314165531811945,0.17292649829492146,0.12463386533781226,0.07284233733487881,-64.65212985053842,3374.158045149956,12.172385094501717,931,68.79904380813802,2.0,conv,50,0.03,0.03,0.01,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% SL1.0% 3x,B-decay,3,3.4897974844535717,19.984648116080837,0.16339192191159882,0.11792733512760148,0.038889979584919146,-89.73513284658175,1377.2020089020398,12.172385094501717,931,68.79904380813802,3.0,conv,50,0.03,0.03,0.01,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% SL2.0% 1x,B-decay,1,5.36449254338649,7.1445225020168746,0.1603241081638928,0.12497933445350774,0.17829103776333033,-30.088402707641997,5436.612699544431,12.172385094501717,931,64.47019695473679,1.0,conv,50,0.03,0.03,0.02,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% SL2.0% 2x,B-decay,2,4.656395030532812,14.23824395260988,0.17503528840191993,0.13622855004130086,0.06988947468790162,-66.62512561907792,3245.9555852066833,12.172385094501717,931,64.47019695473679,2.0,conv,50,0.03,0.03,0.02,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N5 d2% SL2.0% 3x,B-decay,3,3.433227499764757,21.369942850047742,0.16649006220307289,0.12967602389136543,0.03772070150650922,-91.01706391044469,1320.795463639862,12.172385094501717,931,64.47019695473679,3.0,conv,50,0.03,0.03,0.02,0.0,decay,5,0.02,Neither
B-decay conv SMA50 e3% N10 d1% 1x,B-decay,1,4.975631957187376,6.330858175733265,0.279753173322336,0.19275290480702686,0.12968974372875064,-38.365654940255226,4097.422966546412,23.233435352233677,1777,72.86805591643714,1.0,conv,50,0.03,0.03,0.0,0.0,decay,10,0.01,Neither
