strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x
Guarded max 1x (X=0.086),0.086,cross below SMA20+8.60%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,14,99.62968677673199
Guarded max 1x (X=0.087),0.087,cross below SMA20+8.70%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,14,99.62968677673199
Guarded max 1x (X=0.088),0.088,cross below SMA20+8.80%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,14,99.62968677673199
Guarded max 1x (X=0.089),0.089,cross below SMA20+8.90%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,13,99.62968677673199
Guarded max 1x (X=0.09),0.09,cross below SMA20+9.00%,0.1405524566701959,0.17740862922399592,0.714602549130492,-0.4171256036972652,0.3369547575703452,2929.496944069577,12,155.89206556873202,0.3703132232680142,0.3703132232680142,10,2,814,1964,12,99.62968677673199
Guarded max 1x (X=0.091),0.091,cross below SMA20+9.10%,0.1405524566701959,0.17740862922399592,0.714602549130492,-0.4171256036972652,0.3369547575703452,2929.496944069577,12,155.89206556873202,0.3703132232680142,0.3703132232680142,10,2,814,1964,11,99.62968677673199
Guarded max 1x (X=0.092),0.092,cross below SMA20+9.20%,0.1405524566701959,0.17740862922399592,0.714602549130492,-0.4171256036972652,0.3369547575703452,2929.496944069577,12,155.89206556873202,0.3703132232680142,0.3703132232680142,10,2,814,1964,11,99.62968677673199
Guarded max 1x (X=0.093),0.093,cross below SMA20+9.30%,0.1414437005945719,0.17741211038020216,0.7158946616180482,-0.4177921349422387,0.33855041482321585,2989.0340965646806,10,151.65736881488039,0.3548835056318469,0.35488350563184695,10,2,814,1964,9,99.64511649436815
Guarded max 1x (X=0.094),0.094,cross below SMA20+9.40%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,8,99.66054621200432
Guarded max 1x (X=0.095),0.095,cross below SMA20+9.50%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,8,99.66054621200432
