strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,delta_end_$,beats_baseline
Guarded max 1x (X=0.014),0.014,cross below SMA20+1.40%,0.17405001280529442,0.16151743512820166,1.5163940205936952,-0.42391012753203827,0.41058234163594043,6174.498425642123,236,3825.265579079639,10.924240086406419,10.924240086406419,10,2,814,1964,344,89.07575991359357,-1.165353491652188,-1.6594421510861705,-20.76643440791017,-1788.743285443923,False
Guarded max 1x (X=-0.029),-0.029,cross below SMA20-2.90%,0.17080915889810622,0.1547671474279512,1.4978304449176434,-0.24528420296132816,0.6963724399529969,5750.159790505926,213,3057.2379464706346,15.584014812528931,15.584014812528931,10,2,814,1964,82,84.41598518747107,-1.489438882371008,-1.6780057267622224,-2.9038419508391615,-2213.08192058012,False
Guarded max 1x (X=-0.03),-0.03,cross below SMA20-3.00%,0.17209635359262054,0.15521808034258885,1.4666931357513011,-0.24584458918724397,0.7000209122420256,5915.229289842034,199,3088.139418152812,15.090263848171578,15.090263848171578,10,2,814,1964,79,84.90973615182841,-1.3607194129195754,-1.7091430359285646,-2.9598805734307425,-2048.0124212440123,False
Guarded max 1x (X=0.015),0.015,cross below SMA20+1.50%,0.17310935078705358,0.16216226789994911,1.4593917027512524,-0.4155693244313711,0.4165595018927861,6048.328923381042,218,3524.3063320959254,9.736151828421539,9.73615182842154,10,2,814,1964,338,90.26384817157846,-1.2594196934762714,-1.7164444689286134,-19.932354097843458,-1914.9127877050041,False
Guarded max 1x (X=-0.031),-0.031,cross below SMA20-3.10%,0.17544380039567709,0.15562321562827558,1.4493282287469913,-0.249974445364842,0.7018469433530049,6366.106636266046,185,3007.938300584316,14.47307514272489,14.473075142724888,10,2,814,1964,73,85.5269248572751,-1.0259747326139212,-1.7265079429328745,-3.372866191190546,-1597.1350748200002,False
Guarded max 1x (X=0.016),0.016,cross below SMA20+1.60%,0.17233994267788022,0.16263616602698763,1.4095867581683974,-0.4154288232396775,0.4148483038175,5946.975424318742,200,3032.8074238648182,9.041814534794012,9.041814534794014,10,2,814,1964,334,90.95818546520599,-1.3363605043936078,-1.7662494135114684,-19.918303978674096,-2016.2662867673043,False
Guarded max 1x (X=-0.032),-0.032,cross below SMA20-3.20%,0.17188893726476273,0.15650154708958125,1.3953823590115624,-0.2614347644257412,0.6574830919764179,5888.325886246994,175,2671.7939880065283,13.670729825644191,13.670729825644191,10,2,814,1964,69,86.32927017435581,-1.3814610457053567,-1.7804538126683034,-4.518898097280466,-2074.915824839052,False
Guarded max 1x (X=0.017),0.017,cross below SMA20+1.70%,0.17532834973921685,0.1628700436626051,1.3810938280211054,-0.40437972340214273,0.4335735438565954,6350.020653866732,182,2866.6619434396207,8.764079617343002,8.764079617343002,10,2,814,1964,337,91.235920382657,-1.037519798259945,-1.7947423436587604,-18.81339399492062,-1613.2210572193144,False
Guarded max 1x (X=-0.033),-0.033,cross below SMA20-3.30%,0.17260351759811532,0.15717085015849386,1.3569650545993104,-0.24885423106014823,0.6935928590114947,5981.510698649644,160,2332.3845922858686,12.744946767474156,12.744946767474156,10,2,814,1964,63,87.25505323252585,-1.3100030123700979,-1.8188711170805554,-3.2608447607211684,-1981.7310124364021,False
Guarded max 1x (X=-0.034),-0.034,cross below SMA20-3.40%,0.1713114073487687,0.1575756298551213,1.3365072388495502,-0.25695796800556303,0.6666903878421855,5814.034274298944,156,2215.0323857952862,12.2049066502083,12.2049066502083,10,2,814,1964,61,87.7950933497917,-1.439214037304759,-1.8393289328303155,-4.071218455262649,-2149.207436787102,False
