name,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,rebalances,avg_lev,final
SMA stair 30/90/180 (stack),0.42077587980155506,37594.934029799944,-0.3454967298776193,-0.11300744924261234,0.13207893213100405,561.0,0.36046881178861445,0.2804835915816946,1.62820034125006,2.092512574637646,1.217886721968688,0.633894262620909,1.364438546838747,0.5869154423642258,0.1530050741685178,-0.20641098531369442,0.34736812077647117,-0.20945988245324598,1.0167359398042977,0.21784382085570142,1.3580375600804957,0.2852084136335115,-0.13024712763565482,4.3175114752975325,3721997.4689501943,0.0,0.0,0.0,439,2.3139904610492845,3721997.4689501943
SMA stair 30/90/180 (excl),0.34771431409114606,7715.191579314648,-0.6059678360593023,-0.1436131999913382,0.18523945229343722,1186.0,0.2671921492372485,0.1989790751511879,3.3388010621981694,4.483393196025775,0.5738164526229367,0.7511594010865245,2.098055034362732,0.8921014316843371,0.14243811404838344,-0.1179179995011439,0.28876198390667507,-0.17555368371715196,0.608017570638322,0.2263590509845422,2.798535257374814,0.24745435157926424,0.7695979623986028,5.325652022054361,763902.9663521502,0.0,0.0,0.0,850,1.7076046634870163,763902.9663521502
SMA stair 20/50/200 (stack) + RSI>=50 for 3x,0.4626015472381684,89763.1080411528,-0.28656166456192944,-0.09369471972242857,0.10803351808244169,430.0,0.327637927968996,0.21730550552432631,2.344720838828819,3.5352048510966143,1.6143176301873923,0.6268716046111037,1.5455406374810203,0.7682194772996004,0.14243811404838344,-0.13753391084657318,0.2958442896520026,-0.1539722118199811,0.9619270417554459,0.2706088896591512,2.2493348472005534,0.2527981877879821,0.36576939037687956,3.054446241912811,8886646.696074126,0.0,0.0,0.0,1064,2.2025702172760995,8886646.696074126
SMA stair 20/50/200 (stack) + RSI>=55 for 3x,0.4294309047283107,45107.43947346241,-0.28880544577778866,-0.0944283092076501,0.10886797654840703,813.0,0.31138501158148413,0.20720077330242895,2.3891395974366247,3.5904415285735074,1.4869210778619508,0.6268716046111037,1.559898821641425,0.7439422612175857,0.14243811404838344,-0.13753391084657318,0.29584428965200216,-0.1467900031083751,0.9185428158175394,0.24609737873959223,2.2681116403075343,0.24000165924144454,0.3733398421913015,3.476223923269462,4465735.507872778,0.0,0.0,0.0,1100,2.1014838367779545,4465735.507872778
SMA stair 20/50/200 (stack) + RSI>=60 for 3x,0.35891088670035654,9888.682577689617,-0.4043387317870585,-0.10995305703008879,0.1351164710793455,1243.0,0.2947065720109864,0.20083973832423843,2.337157633075314,3.4294792456907475,0.8876490389977626,0.6268716046111037,1.5481965676028786,0.6887757142929364,0.14243811404838344,-0.13753391084657318,0.2887619839066746,-0.15532210307729133,0.8735431976997261,0.18455891118007406,2.1509315925646892,0.2274289018697749,0.34070006513111567,3.968291606759271,979078.5751912721,0.0,0.0,0.0,1114,1.96767355590885,979078.5751912721
SMA stair 20/50/200 (excl) + RSI>=50 for 3x,0.35442830049667906,8955.52408630591,-0.5021953635238416,-0.13820860142339975,0.17286937634701552,1243.0,0.2615352221427087,0.18327577680342125,3.9318984309124696,5.610833834709271,0.7057578110831217,0.7675897707698424,2.4576631221818883,1.0283299295712605,0.14243811404838344,-0.10543308670169749,0.28876198390667485,-0.15456606466085832,0.6115889688574704,0.2323602159331423,3.44391543570201,0.24063837827753948,1.1133467341706196,6.031785914596788,886695.8845442851,0.0,0.0,0.0,1058,1.6442766295707472,886695.8845442851
SMA stair 20/50/200 (excl) + RSI>=55 for 3x,0.343542708075669,7030.00789633901,-0.45645627874704003,-0.14072932633180496,0.17263880568097617,1297.0,0.2521964713611802,0.17050034439393594,4.05957318648649,6.004738796884026,0.7526300416300206,0.7675897707698424,2.536332342302143,1.023810032864355,0.14243811404838344,-0.10543308670169749,0.2887619839066755,-0.1352166504148904,0.5920290095091217,0.2253786291325312,3.5161209071736117,0.2344112590052966,1.2106216756994113,6.344827101982797,696069.7817375619,0.0,0.0,0.0,1306,1.5994965553789082,696069.7817375619
SMA stair 20/50/200 (excl) + RSI>=60 for 3x,0.28299685211002434,1762.2880578044628,-0.4792545532852557,-0.15457897330004464,0.19570867779463333,1374.0,0.23265218684142316,0.15198761588131787,4.180538496188079,6.399280741875652,0.5904938203927352,0.7675897707698424,2.6334491235128836,0.9726114233129113,0.14243811404838344,-0.08560806080788427,0.2887619839066746,-0.1236943717682657,0.5492700042176901,0.17336711590285497,3.4746870290505654,0.2224717543338546,1.4015874873157534,7.520814161880799,174565.51772264182,0.0,0.0,0.0,1657,1.4692633810280868,174565.51772264182
SMA stair 20/100/200 (stack) + RSI>=50 for 3x,0.4343289393062666,49981.67624903461,-0.29611205284931236,-0.09670982372541226,0.11152265539148475,464.0,0.31959777965332564,0.21369665035875793,2.3259702966712004,3.4786457396861907,1.4667722408695436,0.627401616536372,1.5402840278185763,0.7433749423557027,0.14243811404838344,-0.13753391084657318,0.29584428965200305,-0.15397221181998133,0.9207532164840323,0.2505542356815603,2.173828258515239,0.25015004567480087,0.32277634482161166,2.971933091962832,4948284.948654426,0.0,0.0,0.0,1055,2.169183889772125,4948284.948654426
SMA stair 20/100/200 (stack) + RSI>=55 for 3x,0.40178956900858886,25111.05917861311,-0.36056922940877534,-0.10195363514452456,0.11859716778187704,1243.0,0.30290587113048156,0.20305838493941608,2.3739973199922724,3.541334806185107,1.1143201810853423,0.627401616536372,1.5546775253961356,0.7190977262736878,0.14243811404838344,-0.13753391084657318,0.2958442896520026,-0.14679000310837464,0.8773689905461255,0.22667399697418142,2.190154642270797,0.23720061225270847,0.3192160846046036,3.342816146456359,2486093.858682698,0.0,0.0,0.0,1093,2.0680975092739797,2486093.858682698
