strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
SMA50 3x/cash in+1%/out-2%,0.20600248693865075,0.3413545939063799,1.1545558454889695,-0.7182750871987507,0.2868016594339276,27273.898320980148,168,15953.254483050987,,29.292527821939586,0.0,0.0,70.70747217806041,,,,buffer,29.292527821939586,50.0,3.0,0.01,0.02,1.0,,
SMA200 3x/cash in+0.5%/out-0.5%,0.25410452157165975,0.342236930977837,1.145995286277397,-0.3675984069114262,0.691255774764244,88154.27334090229,124,20780.62477090755,,28.153153153153156,0.0,0.0,71.84684684684684,,,,buffer,28.153153153153152,200.0,3.0,0.005,0.005,1.0,,
SMA200 2x/cash in+0.5%/out-1%,0.20067823381009875,0.23048275351149083,1.1422122635261838,-0.29434526043610554,0.6817783765662523,23884.05916947609,108,5490.912943829742,,27.503974562798096,0.0,72.49602543720191,0.0,,,,buffer,27.503974562798092,200.0,2.0,0.005,0.01,1.0,,
SMA200 1x/cash in+0%/out-2%,0.13280713556020673,0.12258596735873872,1.1312081735343356,-0.18600846577004757,0.7139843609289761,4169.577663115574,88,921.9835835428792,,25.49019607843137,74.50980392156863,0.0,0.0,,,,buffer,25.49019607843137,200.0,1.0,0.0,0.02,1.0,,
SMA200 3x/cash in+0%/out-1%,0.24316109753348103,0.34898788055330515,1.116167628964827,-0.4038558275680458,0.6020987712316984,67774.96907253526,128,19937.90616142088,,26.828298887122415,0.0,0.0,73.17170111287759,,,,buffer,26.828298887122415,200.0,3.0,0.0,0.01,1.0,,
SMA100 2x/cash in+0.5%/out-2%,0.18515338951821958,0.23158800291155404,1.1031760473535437,-0.4532239861897367,0.4085251336205921,16164.754262829281,120,4370.968567485488,,27.106518282988873,0.0,72.89348171701113,0.0,,,,buffer,27.106518282988873,100.0,2.0,0.005,0.02,1.0,,
SMA100 3x/cash in+2%/out-0.5%,0.19085954305565234,0.31607983670501694,1.0996601300714088,-0.6705723316145412,0.2846218581612495,18669.809665724322,150,6425.844557823558,,35.4266030736619,0.0,0.0,64.5733969263381,,,,buffer,35.426603073661894,100.0,3.0,0.02,0.005,1.0,,
SMA50 2x/cash in+2%/out-2%,0.15371944371771584,0.21851530097808902,1.097965631352297,-0.4904477035289087,0.313426778454994,7217.495463439662,146,3807.8004016823315,,34.06200317965024,0.0,65.93799682034977,0.0,,,,buffer,34.06200317965024,50.0,2.0,0.02,0.02,1.0,,
SMA100 2x/cash in+2%/out-1%,0.16333579301355616,0.21437313360414476,1.0940659029221225,-0.45403220094840774,0.3597449534909006,9258.019112507433,128,3010.704467048101,,34.14149443561209,0.0,65.85850556438791,0.0,,,,buffer,34.14149443561208,100.0,2.0,0.02,0.01,1.0,,
SMA200 1x/cash in+2%/out-1%,0.12519137096121713,0.11528679666838772,1.0878764005956971,-0.16486631991142986,0.759350794197826,3405.7801264224736,72,644.3724559448711,,30.7498675145734,69.2501324854266,0.0,0.0,,,,buffer,30.749867514573396,200.0,1.0,0.02,0.01,1.0,,
