strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
SMA20 3x/cash in+1%/out-1%,0.3146499688242246,0.3276015743234734,2.08423210477013,-0.4494808046894432,0.7000298245030143,362619.64766057266,362,202405.52831350476,,37.029676735559086,0.0,0.0,62.97032326444091,,,,buffer,37.029676735559086,20.0,3.0,0.01,0.01,1.0,,
SMA20 3x/cash in+1%/out-2%,0.2907019821227863,0.3568158881414911,1.591904258499035,-0.4634941043937181,0.6271967202323843,208910.06638591707,258,88778.49060337698,,28.206147323794383,0.0,0.0,71.79385267620562,,,,buffer,28.206147323794383,20.0,3.0,0.01,0.02,1.0,,
SMA20 3x/cash in+2%/out-0%,0.22269313120670642,0.27024453821830036,2.114619910181376,-0.3669608535382297,0.6068580042244381,41190.85197759765,344,31376.806342804008,,59.27397986221516,0.0,0.0,40.72602013778484,,,,buffer,59.27397986221516,20.0,3.0,0.02,0.0,1.0,,
SMA20 3x/cash in+2%/out-0.5%,0.2401162402378474,0.28353727906809556,1.9221943999435076,-0.39167810273421066,0.6130448410612022,62968.480547420986,302,35729.07274052776,,53.669846316905144,0.0,0.0,46.33015368309486,,,,buffer,53.669846316905144,20.0,3.0,0.02,0.005,1.0,,
SMA20 3x/cash in+2%/out-1%,0.2362354486819518,0.3005175239080346,1.7221965520105316,-0.4704957623098011,0.5020989934578858,57318.22548066778,272,35406.50204119511,,49.05935347111818,0.0,0.0,50.94064652888183,,,,buffer,49.05935347111818,20.0,3.0,0.02,0.01,1.0,,
SMA20 3x/cash in+2%/out-2%,0.2651646992127361,0.33356910201991385,1.4726574684385045,-0.47037832422004794,0.5637264422258736,114716.9705572609,212,39990.24247410807,,36.4997350291468,0.0,0.0,63.5002649708532,,,,buffer,36.49973502914679,20.0,3.0,0.02,0.02,1.0,,
SMA30 1x/cash in+0%/out-0.5%,0.17625677417047614,0.11342155735712563,2.81508325440642,-0.1226715447075982,1.4368187389390468,12894.656741734716,496,10717.925533404772,,32.869634340222575,67.13036565977742,0.0,0.0,,,,buffer,32.869634340222575,30.0,1.0,0.0,0.005,1.0,,
SMA30 1x/cash in+0%/out-1%,0.1721716644738045,0.11614393280721272,2.447596193966375,-0.12840713678553942,1.3408262872597096,11616.85116901483,404,7652.269746221374,,30.339162692103866,69.66083730789613,0.0,0.0,,,,buffer,30.33916269210387,30.0,1.0,0.0,0.01,1.0,,
SMA30 1x/cash in+0%/out-2%,0.16196303722336425,0.12353661248132788,1.829421885315668,-0.13228270937243694,1.2243704259742931,8935.87031178419,258,4207.214541142536,,24.761526232114466,75.23847376788552,0.0,0.0,,,,buffer,24.761526232114466,30.0,1.0,0.0,0.02,1.0,,
SMA30 1x/cash in+0.5%/out-0%,0.15682197899049855,0.10647052830445142,2.9424613686699304,-0.10575366401890367,1.4828987765612198,7822.963695076308,536,8615.44443877583,,38.81822999470058,61.18177000529942,0.0,0.0,,,,buffer,38.81822999470058,30.0,1.0,0.005,0.0,1.0,,
