label,A_pct,B_pct,X_pct,Y_pct,trigger_a,trigger_b,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,ulcer_index,max_dd_duration_days,rebalances,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
A5/B35,5.0,35.0,40.0,15.0,0.05,0.35,0.4,0.15,0.8523260646415118,0.4275099427940035,3.1851840350649963,-0.3551050411675641,2.4002082928451673,10529167213.906075,0.09762107939310216,226.0,827,12,1,559,31.18208322289955,4.717731248343493,36.32388020143122,27.776305327325733
A5/B40,5.0,40.0,40.0,15.0,0.05,0.4,0.4,0.15,0.8585369541242918,0.42381374012656114,3.188557738666727,-0.35510504116756375,2.4176985809648732,11640752068.925985,0.09519309468366029,216.0,824,12,1,559,31.39411608799364,5.327325735489001,36.814206201961305,26.464351974556056
A5/B45,5.0,45.0,40.0,15.0,0.05,0.45,0.4,0.15,0.8585369541242918,0.42381374012656114,3.188557738666727,-0.35510504116756375,2.4176985809648732,11640752068.925985,0.09519309468366029,216.0,824,12,1,559,31.39411608799364,5.327325735489001,36.814206201961305,26.464351974556056
A7/B15,7.000000000000001,15.0,40.0,15.0,0.07,0.15,0.4,0.15,0.8903058025731823,0.4476260229227834,3.180797877377132,-0.35510504116756403,2.507161823571725,19349780624.83002,0.09980786181915349,226.0,853,11,5,559,31.672409223429632,10.031804929764114,21.004505698383248,37.291280148423006
A7/B20,7.000000000000001,20.0,40.0,15.0,0.07,0.2,0.4,0.15,0.9115886395471247,0.44402997771607267,3.2090840162370844,-0.3551050411675639,2.56709574313526,27068283522.81284,0.09818889805359306,216.0,835,13,3,559,31.36761197985688,5.4730983302411875,29.14126689636894,34.018022793533
A7/B25,7.000000000000001,25.0,40.0,15.0,0.07,0.25,0.4,0.15,0.905447924750183,0.43804297656883523,3.2098461618423086,-0.35510504116756403,2.549803071714005,24579038084.74953,0.09626999804957842,216.0,830,13,3,559,31.40736814206202,5.8971640604293665,30.612244897959183,32.083222899549426
A7/B30,7.000000000000001,30.0,40.0,15.0,0.07,0.3,0.4,0.15,0.8787633407993005,0.4304383187009846,3.208939832688332,-0.3551050411675636,2.4746574644786246,16103626260.512165,0.09533934554683247,216.0,834,12,2,559,31.606148953087725,7.30188179167771,30.5327325735489,30.559236681685658
A7/B35,7.000000000000001,35.0,40.0,15.0,0.07,0.35,0.4,0.15,0.8576254330147894,0.4253009242885226,3.199725196870124,-0.3551050411675655,2.415131675390935,11470788175.682978,0.09683908422492715,227.0,832,12,1,559,31.288099655446594,5.4730983302411875,35.46249668698648,27.776305327325733
A7/B40,7.000000000000001,40.0,40.0,15.0,0.07,0.4,0.4,0.15,0.8638539568090149,0.42158527180535843,3.2033918408242634,-0.35510504116756436,2.432671622933637,12681754348.790186,0.09438270567942363,216.0,829,12,1,559,31.500132520540685,6.082692817386695,35.952822687516566,26.464351974556056
A7/B45,7.000000000000001,45.0,40.0,15.0,0.07,0.45,0.4,0.15,0.8638539568090149,0.42158527180535843,3.2033918408242634,-0.35510504116756436,2.432671622933637,12681754348.790186,0.09438270567942363,216.0,829,12,1,559,31.500132520540685,6.082692817386695,35.952822687516566,26.464351974556056
