label,A_pct,B_pct,X_pct,Y_pct,trigger_a,trigger_b,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,ulcer_index,max_dd_duration_days,rebalances,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
A5/B45,5.0,45.0,40.0,15.0,0.05,0.45,0.4,0.15,0.8585369541242918,0.4238137401265611,3.188557738666727,-0.3551050411675637,2.417698580964873,11640752068.925983,0.0951930946836602,216.0,824,12,1,559,31.39411608799364,5.327325735489001,36.814206201961305,26.464351974556056
A7/B35,7.000000000000001,35.0,40.0,15.0,0.07,0.35,0.4,0.15,0.8576254330147894,0.4253009242885226,3.199725196870124,-0.3551050411675655,2.415131675390935,11470788175.682978,0.0968390842249271,227.0,832,12,1,559,31.288099655446597,5.473098330241188,35.46249668698648,27.776305327325733
A4/B35,4.0,35.0,40.0,15.0,0.04,0.35,0.4,0.15,0.855857686945712,0.4301336359272433,3.195566997942573,-0.3551050411675642,2.410153581970289,11147982235.7832,0.0980806047300674,226.0,828,13,1,559,30.99655446594222,3.4322820037105752,37.79485820302147,27.776305327325733
A5/B35,5.0,35.0,40.0,15.0,0.05,0.35,0.4,0.15,0.8523260646415118,0.4275099427940035,3.1851840350649963,-0.3551050411675641,2.400208292845168,10529167213.906076,0.0976210793931021,226.0,827,12,1,559,31.18208322289955,4.717731248343493,36.32388020143122,27.776305327325733
A12/B25,12.0,25.0,40.0,15.0,0.12,0.25,0.4,0.15,0.8281064015132142,0.4208746397472946,3.1221967012112346,-0.3551050411675643,2.332004070655965,7096050401.095601,0.0944566646377965,216.0,834,11,3,559,32.228995494301614,15.107341637953883,20.58043996819507,32.083222899549426
A10/B20,10.0,20.0,40.0,15.0,0.1,0.2,0.4,0.15,0.8230584817346864,0.4300172692136609,3.1137821282918736,-0.3551050411675637,2.3177887844918232,6531485942.330589,0.0973156960302883,216.0,837,10,3,559,31.963954412934005,13.013517095149748,21.004505698383248,34.018022793533
A12/B20,12.0,20.0,40.0,15.0,0.12,0.2,0.4,0.15,0.821114941151321,0.4232169046723378,3.069359473017972,-0.3551050411675646,2.3123156417367188,6325909120.249928,0.0933949289307346,216.0,829,10,3,559,32.94460641399417,19.42751126424596,13.609859528226876,34.018022793533
A12/B15,12.0,15.0,40.0,15.0,0.12,0.15,0.4,0.15,0.8127998834818091,0.4261596906271412,3.062744004388225,-0.3551050411675635,2.2888998725824146,5514847794.778483,0.0955690478628308,233.0,843,5,5,559,33.15663927908826,22.873045322024915,6.679035250463822,37.291280148423006
A10/B25,10.0,25.0,40.0,15.0,0.1,0.25,0.4,0.15,0.8126697068155699,0.4228460067957483,3.102128416231644,-0.3551050411675653,2.2885332862173904,5502986598.145603,0.0952559536106322,216.0,834,10,3,559,32.13623111582295,14.524251258945135,21.25629472568248,32.083222899549426
A12/B30,12.0,30.0,40.0,15.0,0.12,0.3,0.4,0.15,0.8025111604876598,0.4129320156675876,3.1221931510727288,-0.355105041167564,2.259926127348267,4649652051.318468,0.09350761245733,216.0,838,10,2,559,32.42777630532733,16.512059369202227,20.500927643784784,30.559236681685658
A10/B15,10.0,15.0,40.0,15.0,0.1,0.15,0.4,0.15,0.7906687558476511,0.4277942198225474,3.0394845726305006,-0.3551050411675646,2.2265771086999453,3815840442.488411,0.0962893352369133,233.0,847,6,5,559,33.09037900874635,22.714020673204345,6.904320169626292,37.291280148423006
A12/B35,12.0,35.0,40.0,15.0,0.12,0.35,0.4,0.15,0.787897141934166,0.406604320729361,3.0974468594372864,-0.3551050411675637,2.2187720550054943,3642674817.052604,0.0926024609932782,216.0,824,10,1,559,32.414524251258946,15.90246488205672,23.9067055393586,27.776305327325733
A10/B30,10.0,30.0,40.0,15.0,0.1,0.3,0.4,0.15,0.7872922110889673,0.4149405666173075,3.101462754524082,-0.3551050411675636,2.217068528513137,3605902643.7337456,0.0943148528946785,216.0,838,9,2,559,32.33501192684866,15.92896899019348,21.1767824012722,30.559236681685658
A12/B40,12.0,40.0,40.0,15.0,0.12,0.4,0.4,0.15,0.7856873862741538,0.4040844878256173,3.118123905312904,-0.3551050411675646,2.212549232449248,3510079748.011136,0.0926258007135559,216.0,831,10,1,559,32.228995494301614,15.06758547574874,26.239067055393583,26.464351974556056
A12/B45,12.0,45.0,40.0,15.0,0.12,0.45,0.4,0.15,0.7856873862741538,0.4040844878256173,3.118123905312904,-0.3551050411675646,2.212549232449248,3510079748.011136,0.0926258007135559,216.0,831,10,1,559,32.228995494301614,15.06758547574874,26.239067055393583,26.464351974556056
A10/B35,10.0,35.0,40.0,15.0,0.1,0.35,0.4,0.15,0.7754906388425786,0.4086940640172821,3.079688145188937,-0.3551050411675638,2.183834496668401,2956309661.612432,0.0934191661046954,216.0,824,9,1,559,32.321759872780284,15.094089583885504,24.80784521600848,27.776305327325733
A10/B40,10.0,40.0,40.0,15.0,0.1,0.4,0.4,0.15,0.7732970419536409,0.4061871995237733,3.100049657935617,-0.3551050411675649,2.177657178312886,2848738338.124629,0.0934423465779056,216.0,831,9,1,559,32.13623111582295,14.259210177577526,27.140206732043463,26.464351974556056
A10/B45,10.0,45.0,40.0,15.0,0.1,0.45,0.4,0.15,0.7732970419536409,0.4061871995237733,3.100049657935617,-0.3551050411675649,2.177657178312886,2848738338.124629,0.0934423465779056,216.0,831,9,1,559,32.13623111582295,14.259210177577526,27.140206732043463,26.464351974556056
A15/B25,15.0,25.0,40.0,15.0,0.15,0.25,0.4,0.15,0.7722262714696857,0.4121921976473058,3.068211962864618,-0.3551050411675645,2.174641815646016,2797613064.249944,0.0933201984243878,216.0,840,7,3,559,32.67956533262656,20.69970845481049,14.537503313013517,32.083222899549426
A15/B30,15.0,30.0,40.0,15.0,0.15,0.3,0.4,0.15,0.7633766168390528,0.4062052767331586,3.088792151955776,-0.3551050411675643,2.1497205850108907,2407706564.5372777,0.0930411117736756,216.0,839,7,2,559,32.639809170421415,19.387755102040817,17.413199045852107,30.559236681685658
