strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,win_rate,profit_factor,beta,alpha,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,avg_leverage,total_trades,simulation
SMA200 ±3% Band 1x/cash,0.1884714927688027,0.1652865665600781,0.8146017658441791,0.9520323668526413,-0.21953043661088895,0.8585210127507864,528.7816802774028,14,2.4744658504472006,0.0,0.6588562351072279,1.1943752382030643,,,25.396825396825395,74.60317460317461,0.0,0.0,1.0,13,28
SMA200 ±3% Band 1x/cash,0.1294872179956552,0.13086489556903416,0.5428354204791023,0.5906159885546906,-0.18626408509319958,0.6951808123979706,323.5333800482575,16,2.4694137619682097,0.0,0.7195073500198649,1.1284253089900722,,,37.93650793650794,62.06349206349206,0.0,0.0,1.0,15,29
SMA200 ±3% Band 1x/cash,0.09207539471283543,0.15558668224183447,0.24516924473995855,0.26855706329733847,-0.25241663377970314,0.36477546401793126,233.7430136596092,24,3.5507255407507285,0.0,0.665740373163954,1.0529836619351591,,,29.523809523809526,70.47619047619048,0.0,0.0,1.0,23,30
SMA200 ±3% Band 1x/cash,0.07245460485164634,0.12842619491569787,0.1614515119008332,0.15766549292307472,-0.2145585011115148,0.3376916061414352,196.22309468535593,19,3.111598753356138,0.0,0.7534736006351727,1.0409208198715234,,,50.27777777777778,49.72222222222222,0.0,0.0,1.0,18,31
SMA200 ±3% Band 1x/cash,0.1581958948737403,0.1476681654153655,0.761958869988314,0.7340657062894446,-0.27932035866812227,0.5663600592096568,412.2122840494583,16,3.639756922351423,0.0,0.7086145295752283,1.1896043360165052,,,33.96825396825397,66.03174603174602,0.0,0.0,1.0,15,32
SMA200 ±3% Band 1x/cash,0.16530650332875352,0.15185568420506831,0.6890015261019117,0.8019190595923336,-0.20919975974399027,0.7901849578175834,437.29501107986437,14,2.0789752809864837,0.0,0.6689162366018261,1.1630594123273283,,,26.23015873015873,73.76984126984128,0.0,0.0,1.0,13,33
SMA200 ±3% Band 1x/cash,0.1285499037236455,0.1472761702144709,0.5458365195569034,0.542186621403103,-0.1710756463887598,0.7514214117392435,320.9515152626758,18,3.286620377206233,0.0,0.7308151093439363,1.1389072621720737,,,39.24603174603175,60.753968253968246,0.0,0.0,1.0,17,34
SMA200 ±3% Band 1x/cash,0.06648485819870364,0.15543914424555275,0.07925644432004693,0.07819551377628024,-0.26912353544939455,0.24704215514887706,185.93198850241282,27,3.5495194520970315,0.0,0.7208101667990469,1.0188342960165564,,,38.53174603174603,61.468253968253975,0.0,0.0,1.0,26,35
SMA200 ±3% Band 1x/cash,0.07898961782961833,0.13263302948459815,0.09045167598774931,0.07984862485921125,-0.30232552176053057,0.26127340281971073,208.07150698732576,19,2.2416377720224507,0.0,0.7434471803018269,1.0219376967374274,,,43.25396825396825,56.74603174603175,0.0,0.0,1.0,18,36
SMA200 ±3% Band 1x/cash,0.2145238209743332,0.13294240607852506,1.1296701592174232,1.322578161371748,-0.16321211348490253,1.3143866370811816,651.8711198755418,8,1.3073564447171488,0.0,0.6673283048828901,1.262286518432068,,,27.53968253968254,72.46031746031746,0.0,0.0,1.0,7,37
SMA200 ±3% Band 1x/cash,0.14605767027128236,0.13655858555659112,0.6116378305507206,0.6779017629281979,-0.20572409063558109,0.7099687247129866,372.35968349063654,12,1.5170220427921635,0.0,0.6927662957074722,1.1361263966637776,,,32.857142857142854,67.14285714285714,0.0,0.0,1.0,11,38
SMA200 ±3% Band 1x/cash,0.12168505843074517,0.1400234106172952,0.4946658586622568,0.5525953713807676,-0.23020060712470855,0.5286044200779353,302.59802650819233,19,3.061522235427124,0.0,0.6899563318777293,1.1114638828813594,,,33.88888888888889,66.11111111111111,0.0,0.0,1.0,18,39
SMA200 ±3% Band 1x/cash,0.13904451956217567,0.13774696937778047,0.6367521413714095,0.6825167233562843,-0.21040244804262953,0.660850293595462,350.9421050484166,12,2.708324863704454,0.0,0.66626936829559,1.1440772887866373,,,26.904761904761905,73.09523809523809,0.0,0.0,1.0,11,40
SMA200 ±3% Band 1x/cash,0.06802740184354117,0.12375785375450438,0.04015866886769356,0.039007828344548155,-0.17415271643133093,0.3906192406155469,188.54369494258145,19,2.42292668945811,0.0,0.7747318235995232,1.0103887523857449,,,53.80952380952381,46.19047619047619,0.0,0.0,1.0,18,41
SMA200 ±3% Band 1x/cash,0.13497198190679494,0.1371100298059001,0.601113156557453,0.6628351685445691,-0.2702709599030451,0.4993950587781008,339.018113326471,14,2.8774481815055797,0.0,0.6994035785288271,1.1461898113934663,,,35.87301587301587,64.12698412698413,0.0,0.0,1.0,13,42
SMA200 ±3% Band 1x/cash,0.09617113997745852,0.13451344555950934,0.376746756854449,0.3826923049485492,-0.21799031221303136,0.44117162364295864,242.34192159089275,17,3.309197690895287,0.0,0.7413587604290822,1.0935260149348185,,,45.75396825396825,54.24603174603174,0.0,0.0,1.0,16,43
SMA200 ±3% Band 1x/cash,0.12716771295585483,0.12836202860017487,0.5819820352706396,0.648670653525219,-0.1634134662135711,0.7781960440742052,317.17791477375937,16,3.2220046318784035,0.0,0.6907502977371973,1.128938047592274,,,31.944444444444443,68.05555555555556,0.0,0.0,1.0,15,44
SMA200 ±3% Band 1x/cash,0.10439829616356722,0.1176683871105521,0.40826891249985364,0.35249169393565244,-0.17218750563756394,0.6063058743839076,260.4765386880062,14,2.4241761790360075,0.0,0.7823669579030977,1.1109390788808737,,,51.34920634920634,48.65079365079365,0.0,0.0,1.0,13,45
SMA200 ±3% Band 1x/cash,0.13514524309570142,0.12783168319608015,0.5953095849945083,0.5978499884702572,-0.17871573964000206,0.7562022425553153,339.517911581373,18,2.7805106115477356,0.0,0.7487077534791252,1.15185116323796,,,44.761904761904766,55.23809523809524,0.0,0.0,1.0,17,46
SMA200 ±3% Band 1x/cash,0.08436964192028285,0.144968164133686,0.20417129849665824,0.19244660084513115,-0.1775132654067428,0.47528640593120475,218.3028601215335,18,2.703365964585227,0.0,0.7525814138204925,1.0531811569267069,,,47.1031746031746,52.8968253968254,0.0,0.0,1.0,17,47
SMA200 ±3% Band 1x/cash,0.16679885652170978,0.14493717566268863,0.7864859479343587,0.7623006746485629,-0.2335640677392214,0.7141460505301004,442.72978894454025,11,2.266308546316633,0.0,0.723302897975387,1.2102769712028805,,,38.84920634920635,61.15079365079366,0.0,0.0,1.0,10,48
SMA200 ±3% Band 1x/cash,0.1286227704294467,0.14740911136252005,0.5152214045313722,0.5440087434709817,-0.17542870944014446,0.7331911113062839,321.15156500130473,14,2.370371145790107,0.0,0.7205240174672489,1.1249870632309107,,,39.76190476190476,60.238095238095234,0.0,0.0,1.0,13,49
SMA200 ±3% Band 1x/cash,0.1486242148422534,0.13150571375920914,0.7453179881586254,0.7819765445115853,-0.21783950304746996,0.6822647534679067,380.4858253207064,12,2.918017740815708,0.0,0.7079856972586412,1.1816831750716574,,,35.79365079365079,64.20634920634922,0.0,0.0,1.0,11,50
SMA200 ±3% Band 1x/cash,0.1735208371517889,0.1313884096082048,0.9409923618228975,1.034349649659955,-0.1429721243455267,1.2136690137752577,467.9678002655098,12,2.727665282261884,0.0,0.7359015091342335,1.251568869354918,,,41.62698412698413,58.37301587301587,0.0,0.0,1.0,11,51
SMA200 ±3% Band 1x/cash,0.10019544820629478,0.14781442659862606,0.3400747912688995,0.37363907009941705,-0.16804239551968142,0.5962510109215844,251.06594040055347,15,2.633897904234209,0.0,0.6442766295707473,1.0716759137456526,,,21.26984126984127,78.73015873015873,0.0,0.0,1.0,14,52
SMA200 ±3% Band 1x/cash,0.2034726457989875,0.15002202797529784,1.0778145136564554,1.2538776496098787,-0.20145866347172553,1.0099970003401946,596.8282474586084,13,5.253063854610851,0.0,0.6616362192216044,1.2550061848506944,,,26.111111111111114,73.88888888888889,0.0,0.0,1.0,12,53
SMA200 ±3% Band 1x/cash,0.06447435915151356,0.14662776688298385,0.06693388318664233,0.057935016997564474,-0.23958371560039268,0.2691099392541848,182.57667228218173,21,2.977076040326522,0.0,0.7374900714853058,1.0169268143648058,,,44.12698412698413,55.87301587301587,0.0,0.0,1.0,20,54
SMA200 ±3% Band 1x/cash,0.07402228401155275,0.13703598158460645,0.057310858946664295,0.05664631505289263,-0.24124541331237576,0.30683395383648293,199.00886176738774,27,3.200776432717566,0.0,0.7127532777115614,1.0131058349202837,,,39.48412698412698,60.51587301587301,0.0,0.0,1.0,26,55
