run_id,swing_family,swing_param,top_family,top_params,bottom_family,bottom_params,integration,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,pct_days_cash,rebalances,swing_count,structure_entries,structure_exits,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_1x
fractal_5p0__top_failed_hh_m3__bot_capitulation_k3__guarded,fractal,5.0,failed_hh,"{""m"": 3}",capitulation,"{""k"": 3}",guarded,0.1419143552315696,0.1328480445454704,2.855371227836631,-0.2566268827049537,0.5529987884968771,3020.94242900175,35.6735071748187,669,610.0,43.0,83.0,10.0,2.0,167.0,1964.0,64.3264928251813
fractal_5p0__top_failed_hh_m5__bot_capitulation_k3__structure_only,fractal,5.0,failed_hh,"{""m"": 5}",capitulation,"{""k"": 3}",structure_only,0.09361763887732377,0.0831038048913766,1.0751219421457185,-0.21946623466940238,0.4265696680783114,992.4788365346728,81.05230674278661,72,610.0,36.0,35.0,,,,,
fractal_5p0__top_failed_hh_m5__bot_capitulation_k3__guarded,fractal,5.0,failed_hh,"{""m"": 5}",capitulation,"{""k"": 3}",guarded,0.1419143552315696,0.1328480445454704,2.855371227836631,-0.2566268827049537,0.5529987884968771,3020.94242900175,35.6735071748187,669,610.0,43.0,93.0,10.0,2.0,167.0,1964.0,64.3264928251813
fractal_5p0__top_hl_decay_k3_n_hl2__bot_capitulation_k3__structure_only,fractal,5.0,hl_decay,"{""k"": 3, ""n_hl"": 2}",capitulation,"{""k"": 3}",structure_only,0.07078820740306746,0.10733481189241809,0.5509218507701176,-0.3181661003234801,0.22248821395835996,576.4094527275814,59.743866687239624,60,610.0,30.0,29.0,,,,,
fractal_5p0__top_hl_decay_k3_n_hl2__bot_capitulation_k3__guarded,fractal,5.0,hl_decay,"{""k"": 3, ""n_hl"": 2}",capitulation,"{""k"": 3}",guarded,0.13970283459183297,0.13263312244041875,2.8428291494044,-0.25557438106054314,0.5466229988002541,2873.8026022767203,35.90495293936121,669,610.0,43.0,52.0,10.0,2.0,315.0,1964.0,64.09504706063879
fractal_5p0__top_hl_decay_k3_n_hl3__bot_capitulation_k3__structure_only,fractal,5.0,hl_decay,"{""k"": 3, ""n_hl"": 3}",capitulation,"{""k"": 3}",structure_only,0.07078820740306746,0.10733481189241809,0.5509218507701176,-0.3181661003234801,0.22248821395835996,576.4094527275814,59.743866687239624,60,610.0,30.0,29.0,,,,,
fractal_5p0__top_hl_decay_k3_n_hl3__bot_capitulation_k3__guarded,fractal,5.0,hl_decay,"{""k"": 3, ""n_hl"": 3}",capitulation,"{""k"": 3}",guarded,0.13970283459183297,0.13263312244041875,2.8428291494044,-0.25557438106054314,0.5466229988002541,2873.8026022767203,35.90495293936121,669,610.0,43.0,52.0,10.0,2.0,315.0,1964.0,64.09504706063879
fractal_5p0__top_extension_ext_pct0.0_k2__bot_capitulation_k3__structure_only,fractal,5.0,extension,"{""ext_pct"": 0.0, ""k"": 2}",capitulation,"{""k"": 3}",structure_only,0.06563528038216448,0.09844248733991824,0.5362135349927769,-0.31816610032347925,0.20629250041231023,509.0600191874454,68.92454868075914,70,610.0,35.0,34.0,,,,,
fractal_5p0__top_extension_ext_pct0.0_k2__bot_capitulation_k3__guarded,fractal,5.0,extension,"{""ext_pct"": 0.0, ""k"": 2}",capitulation,"{""k"": 3}",guarded,0.13948893568381515,0.13259239407713005,2.8412766195911736,-0.25546906245683787,0.5460110681988437,2859.9423126065103,35.98210152754205,669,610.0,43.0,72.0,10.0,2.0,223.0,1964.0,64.01789847245796
fractal_5p0__top_extension_ext_pct0.0_k3__bot_capitulation_k3__structure_only,fractal,5.0,extension,"{""ext_pct"": 0.0, ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07147462436148388,0.12361219935675724,0.48867142242753947,-0.3218294049312035,0.22208854525509503,586.0028557574235,47.84755438975466,48,610.0,24.0,23.0,,,,,
fractal_5p0__top_extension_ext_pct0.0_k3__bot_capitulation_k3__guarded,fractal,5.0,extension,"{""ext_pct"": 0.0, ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13824996578381898,0.13303664637889595,2.823850545754192,-0.2548463031357709,0.5424837012847131,2780.9143849286684,35.704366610091036,669,610.0,43.0,39.0,10.0,2.0,403.0,1964.0,64.29563338990897
fractal_5p0__top_extension_ext_pct0.05_k2__bot_capitulation_k3__structure_only,fractal,5.0,extension,"{""ext_pct"": 0.05, ""k"": 2}",capitulation,"{""k"": 3}",structure_only,0.10591797939282888,0.14109705928785168,0.6735567555476911,-0.3239551307788509,0.3269526219207627,1323.8446506170667,27.0482950162012,32,610.0,16.0,15.0,,,,,
fractal_5p0__top_extension_ext_pct0.05_k2__bot_capitulation_k3__guarded,fractal,5.0,extension,"{""ext_pct"": 0.05, ""k"": 2}",capitulation,"{""k"": 3}",guarded,0.15376293662961782,0.136302632766194,2.9619817736595078,-0.2601796198191739,0.5909876289944762,3941.08256221713,32.680141953402256,699,610.0,43.0,21.0,10.0,2.0,611.0,1964.0,67.31985804659774
fractal_5p0__top_extension_ext_pct0.05_k3__bot_capitulation_k3__structure_only,fractal,5.0,extension,"{""ext_pct"": 0.05, ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.10433974087959985,0.1507022432949739,0.6048025517213627,-0.3787676390457431,0.2754716351757784,1276.0322340437497,18.700817775034718,22,610.0,11.0,10.0,,,,,
fractal_5p0__top_extension_ext_pct0.05_k3__bot_capitulation_k3__guarded,fractal,5.0,extension,"{""ext_pct"": 0.05, ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.15376293662961782,0.136302632766194,2.9619817736595078,-0.2601796198191739,0.5909876289944762,3941.08256221713,32.680141953402256,699,610.0,43.0,12.0,10.0,2.0,663.0,1964.0,67.31985804659774
fractal_5p0__top_extension_ext_pct0.1_k2__bot_capitulation_k3__structure_only,fractal,5.0,extension,"{""ext_pct"": 0.1, ""k"": 2}",capitulation,"{""k"": 3}",structure_only,0.14424474111612295,0.1728532972208014,0.7369739730342955,-0.4154851577823289,0.3471718265124942,3183.8171951618156,3.332819009412128,6,610.0,3.0,2.0,,,,,
fractal_5p0__top_extension_ext_pct0.1_k2__bot_capitulation_k3__guarded,fractal,5.0,extension,"{""ext_pct"": 0.1, ""k"": 2}",capitulation,"{""k"": 3}",guarded,0.1724968626523924,0.1379253894848677,3.040186635414451,-0.263487490706436,0.6546681293670195,5967.512928188887,31.661780589415212,695,610.0,43.0,2.0,10.0,2.0,803.0,1964.0,68.33821941058478
