date,buy and hold 1x,news aggressive tiers,news conservative tiers,news high-conviction 3x/cash,news rising-score tiers,news 5-day smoothed tiers,news 10-day smoothed tiers
2022-05-05,108.30621777107983,92.72362385886834,108.30621777107983,109.17807491573006,98.99259683827589,93.26693445057403,108.30621777107983
2022-05-06,107.69166393960768,92.1974891688832,107.69166393960768,109.18160587330134,98.99579838455315,92.73771689413225,107.69166393960768
2022-05-09,104.24153526470852,89.24374893032906,104.24153526470852,109.18507195607911,98.99894110835821,89.76666932557993,104.24153526470852
2022-05-10,104.49775026840446,89.46310091324028,104.49775026840446,109.18887610272468,99.00239035726179,89.9873065931971,104.49775026840446
2022-05-11,102.77738212204099,87.99025131895984,102.77738212204099,109.19270204635042,99.00585936965426,88.50582689203277,102.77738212204099
2022-05-12,102.6441862828044,87.87621907638773,102.6441862828044,109.1966234508039,99.00941493711048,88.39112648181786,102.6441862828044
2022-05-13,105.09427174632395,89.9737976606722,105.09427174632395,109.2007096578652,99.0131199323536,90.50099574904104,105.09427174632395
2022-05-16,104.67952761461329,89.61872498194847,104.67952761461329,109.20495635221233,99.01697044264814,90.14384253529131,104.67952761461329
2022-05-17,106.7908751891193,91.42630170619177,106.7908751891193,109.20945455631312,99.02104899876291,91.9620106874656,106.7908751891193
2022-05-18,102.47702993613453,87.73311240593783,102.47702993613453,109.21380126604373,99.02499019377177,88.24718128320691,102.47702993613453
2022-05-19,101.87920130387333,87.22129657143964,101.87920130387333,109.21813514704634,99.02891975687469,87.73236648304805,101.87920130387333
2022-05-20,101.89409011064326,87.23404324607249,101.89409011064326,109.22237385079869,99.03276302203572,87.7451878463422,101.89409011064326
2022-05-23,103.78473902137137,88.85267440183928,103.78473902137137,109.22667773230889,99.03666538436907,89.37330331057747,103.78473902137137
2022-05-24,102.94192416002745,88.13111981527717,102.94192416002745,109.23119850306284,99.04076440184112,88.64752080201386,102.94192416002745
2022-05-25,103.91480406655053,88.96402629441363,103.91480406655053,109.23572812995762,99.04487144924389,89.48530766538447,103.91480406655053
2022-05-26,105.98096873537267,90.73292081889312,105.98096873537267,109.24018425409274,99.04891185113144,91.26456696089818,105.98096873537267
2022-05-27,108.60317773206053,92.97785860447932,108.60317773206053,109.24462755513466,99.05294062622215,93.52265887512894,108.60317773206053
2022-05-31,107.92176136192045,92.39448124631424,107.92176136192045,109.24909271240672,99.05698921852418,92.93586323924279,107.92176136192045
2022-06-01,107.11420778598888,91.7031147157349,107.11420778598888,109.25387452804793,99.06132492739512,92.24044567244223,107.11420778598888
2022-06-02,109.08843168187059,93.39329647724597,109.08843168187059,109.25869990765922,99.06570013605145,93.94053099050902,109.08843168187059
2022-06-03,107.30512883622687,91.86656693494567,107.30512883622687,109.2636208847764,99.07016202369866,92.40485563379292,107.30512883622687
2022-06-06,107.64178803101902,92.15478917360343,107.64178803101902,109.26865047987876,99.07472239610505,92.69476669983374,107.64178803101902
2022-06-07,108.66690310030843,93.03241546370025,108.66690310030843,109.27396215049158,99.07953852853748,93.57753540821754,108.66690310030843
2022-06-08,107.49395843951818,92.02822861485043,107.49395843951818,109.27930876952765,99.08438634897297,92.56746456423977,107.49395843951818
2022-06-09,104.93574261830922,89.8380769648597,104.93574261830922,109.28467733254799,99.08925406618711,90.36447980290848,104.93574261830922
2022-06-10,101.88103131995169,87.22286329333242,101.88103131995169,109.2902629937801,99.09431862801286,87.73394238508892,101.88103131995169
2022-06-13,97.93126362112127,83.8413697653214,97.93126362112127,109.29675969285863,99.10020923483255,84.33263512274468,97.93126362112127
2022-06-14,97.56170239509449,83.52497928636147,97.56170239509449,109.3043193855364,99.10706366609129,84.01439076565552,97.56170239509449
2022-06-15,98.98537201134558,84.74381795244418,98.98537201134558,109.31167140248449,99.11372979617512,85.24037117112786,98.98537201134558
2022-06-16,95.7671643984749,81.98863105425255,95.7671643984749,109.31810430776498,99.11956256066948,82.46904035877911,95.7671643984749
